Source course,Dest course,Count
ISE10052.2,PCO10012.6,2
ISE10052.2,GEK20044.1,1
ISE10052.2,PCO10013.6,6
ISE10052.2,GEK20021.2,1
ISE10052.2,ISL10091.2,6
ISE10052.2,PCO10058.14,2
ISL10075.4,GEK10057.1,2
ISL10075.4,GEK10059.4,2
ISL10075.4,GEK10045.14,2
ISL20077.1,GEK20053.1,2
ISL20077.1,GEK30046.1,2
ISL20077.1,GEK10000.2,2
ISL20077.1,GEK10060.1,2
ISL20077.1,GEK10096.3,2
ISL10075.2,GEK20042.2,1
ISL10075.2,GEK10038.1,3
ISL10075.2,GEK10038.3,2
PCO10012.14,GEK20021.2,1
PCO10012.14,GEK10033.1,2
ISL10074.1,GEK10038.1,1
ISL10075.7,GEK20042.2,1
ISL10075.7,GEK10038.3,3
ISL10075.6,GEK10062.2,6
ISL10075.6,GEK20011.1,1
ISL10075.6,GEK10000.2,2
ISL10075.6,GEK10059.3,2
ISL10075.6,GEK10096.3,4
ISL10075.6,GEK10042.1,10
ISL10075.9,GEK20021.2,1
ISL10075.9,GEK10033.1,2
ISL10075.8,GEK10057.1,2
ISL10075.8,GEK10059.4,6
ISL10075.8,GEK10022.1,2
ISL10075.8,GEK10045.14,2
ISL10071.2,GEK20044.1,3
ISL10071.2,GEK10055.4,4
GEK20011.1,GEK10057.1,2
ISE10051.1,PCO10012.3,2
ISE10051.1,GEK10062.2,2
ISE10051.1,PCO10024.2,2
ISE10051.1,ISL10075.11,4
ISE10051.1,ISL10074.1,2
ISE10051.1,ISL10075.7,4
ISE10051.1,PCO10013.4,2
ISE10051.1,GEK20011.1,1
ISE10051.1,PCO10013.2,4
ISE10051.1,PCO20004.2,2
ISE10051.1,GEK20011.2,2
ISE10051.1,GEK10042.1,24
ISE10051.1,PCO10058.5,4
ISE10051.1,GEK20045.1,2
ISE10051.2,PCO10013.9,2
ISE10051.2,ISL10075.9,4
ISE10051.2,GEK10059.4,6
ISE10051.2,PCO10012.9,4
ISE10051.2,GEK10045.14,2
ISE10051.2,PCO10058.6,2
ISE10051.2,GEK10022.1,6
