course,classroom
ENG20022.1,NMH 410B
GCS10003.1,NMH 105
GCS10004.5,HDH 303B
GCS10004.6,HDH 303B
GCS10010.3,NMH 402
GCS10011.1,HDH 303A
GCS10012.1,HDH 303A
GCS10023.1,NMH 309
GCS10027.1,NMH 410A
GCS10027.2,NMH 410A
GCS10027.3,NMH 309
GCS10033.1,NMH 109
GCS10033.2,NMH 109
GCS10033.3,NMH 109
GCS10038.4,HDH 303B
GCS10038.5,HDH 303B
GCS10038.7,NMH 104A
GCS10038.8,NMH 104A
GCS10038.9,NMH 108
GCS10038.10,NMH 108
GCS10038.12,NMH 104A
GCS10040.3,NMH 104A
GCS10041.1,NTH 213
GCS10042.1,NTH 213
GCS10052.7,GLC 302
GCS10052.8,GLC 302
GCS10052.9,GLC 301
GCS10052.10,GLC 301
GCS10053.9,GLC 304
GCS10053.10,GLC 304
GCS10053.11,GLC 304
GCS10053.15,GLC 101
GCS10053.16,GLC 101
GCS10053.17,GLC 101
GCS10053.18,GLC 106
GCS10053.19,GLC 106
GCS10054.1,HDH 303A
GCS10056.1,HDH 303B
GCS10057.1,HDH 303A
GCS10058.4,HDH 425B
GCS10058.5,HDH 425B
GCS10061.2,NMH 404
GCS20001.8,GLC 303
GCS20001.9,GLC 303
GCS20001.10,GLC 303
GCS20001.11,GLC 305
GCS20001.12,GLC 305
GCS20001.13,GLC 305
GCS20001.14,GLC 302
GCS20001.15,GLC 302
GCS20001.16,GLC 304
GCS20001.17,GLC 304
GCS20002.2,GLC 202
GCS20002.11,GLC 301
GCS20002.12,GLC 301
GCS20002.13,GLC 202
GCS20002.14,GLC 202
GCS20002.15,GLC 304
GCS20002.16,GLC 303
GCS20002.17,GLC 303
GCS20002.18,GLC 202
GCS20005.1,HDH 403
GCS20005.2,HDH 403
GCS20007.1,HDH 403
GCS20007.2,HDH 403
GCS20008.1,HDH 402
GCS30006.1,GLC 305
GEE20034.1,OH 402
GEE40097.1,SU 101
GEK10015.2,OH 403
GEK10021.4,HDH 418B
GEK10021.5, 
GEK10030.1,OH 405
GEK10035.2,HDH 418B
GEK10035.3,HDH 418B
GEK10041.3,HDH 323C
GEK10041.4,NMH 410A
GEK10055.1,OH 420
GEK10056.1,OH 420
GEK10056.2,OH 420
GEK10058.1,NMH 410B
GEK10058.2,NMH 403
GEK10061.1,HCA 2Ãþ
GEK10061.2,HCA 2Ãþ
GEK10066.1,NTH 313
GEK10077.1,NTH 213
GEK10081.1,HDH 425B
GEK10088.1,OH 305
GEK10088.2,OH 305
GEK10090.1,HDH 425B
GEK10095.1,HDH 318
GEK10095.3,NMH 410B
GEK10098.1,HCA 2Ãþ
GEK20017.1,OH 420
GEK20017.2,OH 420
GEK20019.1,HDH 303A
GEK20021.1, 
GEK20028.4,NMH 404
GEK20042.2,OH 403
GEK20043.1,OH 403
GEK20059.1,NMH 410A
GEK20059.2,NMH 410A
GEK20060.3,NMH 403
GEK20062.2,OH 403
GEK30015.2,OH 405
GEK30022.2,NTH 213
CCE20001.1,ANH 313
CCE22002.1,OH 401
CCE30003.1,ANH 313
CCE40001.1,OH 306
GEA20004.1,ANH 305
GEA20020.1,NTH 214
GEA20051.1,ANH 313
GEA30005.1,ANH 313
GEA30018.1,ANH 313
ISE20044.1,HDH 323C
ISE20072.1,HDH 324
ISE20073.1,HDH 326A
ISE20083.1,HDH 320A
ISE20085.1,HDH 318
ISE30016.1,HDH 323C
ISE30092.1,HDH 320A
ISE40085.2,HDH 320A
ISE40085.3,HDH 326A
CCC20033.1,NMH 410B
CCC20034.1,NMH 410B
CCC20053.1,NMH 405
CCC20075.1,NMH 405
CCC20091.1,NMH 406
CCC30057.1,NMH 105
CCC30084.1,NMH 406
CCC40050.1,NMH 405
CCC40073.1,NMH 405
CCC40086.1,NMH 405
GMP10001.2,NMH 310
GMP10003.1,NMH 107
GMP20003.3,NMH 105
GMP20009.1,NMH 105
GMP20009.2,NMH 105
GMP30002.2,NMH 106
GMP30004.1,NMH 107
MEC10001.2,NMH 106
MEC10001.3,NMH 107
MEC10002.1,NMH 106
MEC10002.4,NMH 310
MEC20005.1,NMH 105
MEC20005.2,NMH 105
MEC20054.1,NMH 403
MEC20055.4,NMH 105
MEC20057.2,NMH 102B
MEC20057.3,NMH 102B
MEC20058.2,NMH 106
MEC20059.1,NMH 103A
MEC30001.1,NMH 309
MEC30002.1,NMH 307
MEC30008.1,NMH 106
MEC30011.1,NMH 106
MEC30058.1,NMH 107
MEC30068.2,NMH 107
MEC30069.2,NMH 107
MEC30074.2,NMH 103A
MEC40055.1,NMH 107
LAW10004.1,ANH 313
LAW20004.1,ANH 302
LAW20011.1,ANH 302
LAW30005.1,ANH 305
LAW30073.1,ANH 305
LAW30076.1,ANH 304
LAW40013.1,ANH 304
UIL30013.1,ANH 305
UIL30020.1,ANH 304
UIL30051.1,ANH 305
UIL40020.1,ANH 305
UIL40059.1,ANH 304
CSW20002.1,HDH 318
CSW20002.2,HDH 318
CSW20005.1,OH 306
CSW20020.1,NMH 207
CSW30010.1,NMH 207
CSW30017.1,HDH 320B
CSW30018.1,NMH 105
CSW30025.1,HDH 320B
CSW30026.1,HDH 318
CSW30035.1,NMH 410B
CSW30052.1,NMH 207
CSW30067.1,NMH 410B
CSW40009.1,NMH 105
CSW40010.1,HDH 320B
CSW40055.1,HDH 320A
CSW40062.1,HDH 320B
CSW40063.1,HDH 318
BFT20003.1,OH 405
BFT20011.1,OH 405
BFT20012.2,NMH 410B
BFT20013.2,NMH 307
BFT20014.1,NMH 307
BFT30006.1,NMH 307
BFT30026.1,NMH 310
BFT30056.2,NMH 307
BFT30058.1,ANH 302
BFT30059.1,NMH 310
BFT30059.2,NMH 309
ECE10020.1,NTH 412
ECE20021.1,OH 401
ECE20042.1,NTH 313
ECE20061.1,NTH 311
ECE20063.2,NTH 413
ECE30052.1,NTH 310
ECE30083.1,NTH 310
ECE40065.1,NTH 311
ECE40088.1,NTH 310
ITP20001.1,OH 401
ITP20002.1,NTH 313
ITP20003.1,OH 401
ITP20006.1,NTH 313
ITP20006.2,NTH 313
ITP30006.1,OH 405
IID10005.3,NMH 204
IID20003.2,NMH 204
IID20009.1,NMH 208
IID20009.2,NMH 208
IID20057.2,HDH 402
IID20057.3,HDH 402
IID20062.2,NMH 204
IID20062.3,NMH 204
IID20063.2,NMH 208
IID20063.3,NMH 208
IID30081.1,NMH 202
IID30081.2,NMH 202
IID30084.1,NMH 205B
IID30087.2,NMH 202
IID50019.1,NMH 110
IID50019.2,NMH 110
HMM20074.1,OH 305
HMM30006.1,NTH 120B
HMM30006.2,NTH 118
HMM30019.1,NTH 214
HMM30041.1,ANH 302
HMM40063.1,NTH 214
CUE20056.1,NTH 313
CUE20065.1,NTH 218
CUE30007.2,NTH 220
CUE30058.1,NTH 212
CUE30060.1,NTH 218
CUE40006.1,NTH 218
CUE40015.1,NTH 212
