년도,학기,학과명,과목코드,과목명,분반,주야,이수구분명,교수성명,학점,수강정원,개설여부,강의실명,수강인원,수업시간,성적평가방식구분,영의강의여부,학년,코드쉐어링과목코드,코드쉐어링분반,코드쉐어링되어진과목,코드쉐어링수강여부,비고,개설세부,인정영역구분,인정영역구분명
2015,2,글로벌리더십학부,ENG20022,일반화학,1,주간,교양선택필수,김한옥,3,60,Y,NMH 410B,9,"화6,금6",일반과목,N,1,GEK10058,1,C,N,,,W29,자연과학
2015,2,글로벌리더십학부,GCS10003,앱 프로그래밍,1,주간,교양선택필수,김상환,3,45,Y,NMH 105,37,"화4,금4",일반과목,Y,1,,,,N,"영어분반(재외, foreign students only) / 1학년 우선 과목 / 노트북  지참 요",,W58,프로그래밍기초
2015,2,글로벌리더십학부,GCS10004,파이썬 프로그래밍,5,주간,교양선택필수,홍최영,3,45,Y,HDH 303B,43,"화1,금1",일반과목,N,1,,,,N,1학년 우선 과목 / 노트북 지참 요,,W58,프로그래밍기초
2015,2,글로벌리더십학부,GCS10004,파이썬 프로그래밍,6,주간,교양선택필수,홍최영,3,45,Y,HDH 303B,47,"화2,금2",일반과목,N,1,,,,N,1학년 우선 과목 / 노트북 지참 요,,W58,프로그래밍기초
2015,2,글로벌리더십학부,GCS10010,대학 글쓰기 기초,3,주간,교양선택필수,최윤정,3,30,Y,NMH 402,26,"화2,금2",V학점(A+~F성적),N,1,,,,N,,,W55,소통
2015,2,글로벌리더십학부,GCS10011,이공계 글쓰기,1,주간,교양선택필수,김종록,3,30,Y,HDH 303A,37,"화3,금3",일반과목,N,1,,,,N,,,W55,소통
2015,2,글로벌리더십학부,GCS10012,인문사회계 글쓰기,1,주간,교양선택필수,김종록,3,30,Y,HDH 303A,34,"화2,금2",일반과목,N,1,,,,N,,,W55,소통
2015,2,글로벌리더십학부,GCS10023,러시아어1,1,주간,교양선택,이승억,3,30,Y,NMH 309,36,"화6,화7",일반과목,N,1,,,,N,,,W24,제2외국어
2015,2,글로벌리더십학부,GCS10027,스페인어1,1,주간,교양선택,박효영,3,30,Y,NMH 410A,30,"화1,금1",일반과목,N,1,,,,N,,,W24,제2외국어
2015,2,글로벌리더십학부,GCS10027,스페인어1,2,주간,교양선택,박효영,3,30,Y,NMH 410A,30,"화2,금2",일반과목,N,1,,,,N,,,W24,제2외국어
