Source course,Dest course,Count
MEC10001.3,GEK20062.2,2
MEC10001.3,GEK20060.3,4
MEC10001.3,GCS10038.8,2
MEC10001.3,GCS10038.10,4
MEC10001.3,GEK10095.1,4
MEC10001.2,GCS10053.18,2
MEC10001.2,GEK10041.3,1
MEC10001.2,GCS10027.3,2
MEC10001.2,GEK10095.1,8
MEC10001.2,GEK20059.1,8
MEC10001.2,GCS10058.5,2
MEC10001.2,GCS10038.10,2
MEC10001.2,GCS10053.10,4
MEC10001.2,GCS10038.8,4
MEC10001.2,GCS10033.2,2
MEC10001.2,GEK20062.2,6
MEC10001.2,GEK20060.3,2
MEC10001.2,GEK10061.2,10
LAW20004.1,GEK20059.1,2
LAW20004.1,GEK20062.2,2
LAW20004.1,GCS10038.8,2
LAW20004.1,MEC20058.2,2
LAW20004.1,GEK10061.2,2
GEK20059.1,GEK10088.1,4
GEK20059.1,GCS10003.1,2
GEK20059.1,GCS10052.9,4
GEK20059.1,GCS10053.16,2
GEK20059.1,GEK10030.1,6
GEK20059.2,GEK10041.4,1
GEK20059.2,GEK10090.1,8
GEK20059.2,GEK10058.2,4
GEK20059.2,GCS10038.12,2
GEK20059.2,GEK20042.2,6
GEK20059.2,GEK10098.1,2
GEK20059.2,GCS10033.3,2
GEK20059.2,GEK20017.1,6
GEK20059.2,GCS20001.16,2
GEK20059.2,GCS10038.5,4
GEK20059.2,GCS10052.10,2
CSW20020.1,GEK20017.1,1
CSW20020.1,GEK10098.1,1
GCS10052.7,GCS10004.6,2
GCS10052.7,GCS10012.1,2
GCS10052.7,GCS10038.9,2
MEC30002.1,ISE40085.3,1
GEK20028.4,GCS10061.2,1
GCS10053.10,GCS10040.3,2
GCS10052.9,GCS10033.3,2
GCS10052.8,GCS10011.1,2
GCS10052.8,GCS10033.2,4
BFT30059.1,BFT30056.2,4
ISE20083.1,GCS20002.17,4
ISE20083.1,GCS20007.1,2
CSW40055.1,GCS10033.1,2
CSW40055.1,GCS20002.12,2
HMM30041.1,HMM20074.1,14
HMM30041.1,GCS20005.1,2
HMM30041.1,CSW20002.2,2
HMM30041.1,GEK20043.1,2
HMM40063.1,HMM30006.1,1
ITP30006.1,GEK10095.1,2
ITP30006.1,ITP20001.1,2
ITP30006.1,CSW20020.1,1
ITP30006.1,ITP20006.2,12
ITP30006.1,GCS20001.12,2
ITP30006.1,GCS10011.1,2
