course,classroom
ENG10062.1,OH 420
GEE20034.1,OH 420
GEE30023.1,OH 420
GEE40097.1,SU 101
GEE40097.2,OH 401
GEK10020.1,HDH 418B
GEK10021.1,NTH 213
GEK10021.2,NTH 411
GEK10022.1,OH 403
GEK10029.1,OH 403
GEK10039.1,HDH 303B
GEK10040.1,OH 420
GEK10041.1,OH 402
GEK10042.1,OH 405
GEK10045.1,NMH 403
GEK10053.1,HDH 425B
GEK10056.2,HDH 425B
GEK10057.1,NMH 410A
GEK10057.2,NMH 404
GEK10057.3,NMH 410A
GEK10059.2,NTH 313
GEK10059.3,NMH 403
GEK10060.1,NMH 403
GEK10062.1,OH 403
GEK10062.2,OH 403
GEK10082.1,HDH 425B
GEK10097.1,HDH 425B
GEK20011.1,OH 420
GEK20011.2,OH 306
GEK20011.3,NMH 402
GEK20016.2,SU 101
GEK20019.1,HDH 303B
GEK20021.2,NTH 411
GEK20044.1,OH 402
GEK20045.3,OH 405
GEK20045.4,NMH 404
GEK20045.11,OH 401
GEK20045.12,OH 401
GEK20045.13,NMH 404
GEK30014.1,OH 405
GEK30046.1,GLC 204
GEK40094.1,SU 101
GEK40096.1,OH 403
ISL10011.1,NMH 109
ISL10011.2,NMH 109
ISL10071.2,OH 421
ISL10076.3,HDH 303B
ISL10076.5,NMH 108
ISL10076.6,NMH 108
ISL10076.7,NMH 108
ISL10076.8,NMH 108
ISL10076.9,NMH 104A
ISL10086.1,OH 421
ISL10091.1,NMH 109
ISL10091.2,NMH 109
ISL20076.1,NMH 104A
ISL30038.1,GLC 202
PCO10012.1,GLC 106
PCO10013.1,GLC 106
PCO10013.2,GLC 305
PCO10013.3,GLC 303
PCO10013.4,GLC 106
PCO10013.5,GLC 305
PCO10013.6,GLC 302
PCO10013.7,GLC 303
PCO10013.8,GLC 302
PCO10013.9,GLC 303
PCO10013.10,GLC 303
PCO10024.1,HDH 418B
PCO10024.2,HDH 418B
PCO10052.1,HDH 303A
PCO10052.2,HDH 303A
PCO10052.3,HDH 303A
PCO10052.4,HDH 418B
PCO10052.5,HDH 320B
PCO10057.1,NMH 402
PCO10057.2,NMH 402
PCO10057.3,NMH 402
PCO10057.6,HDH 425B
PCO10057.12,NMH 404
PCO10057.13,NMH 404
PCO10057.16,NMH 403
PCO10057.19,NMH 410A
PCO10057.20,HDH 303A
PCO20004.1,GLC 301
PCO20004.2,GLC 302
PCO20004.3,GLC 301
PCO20004.4,GLC 302
PCO20004.5,GLC 301
PCO20004.6,GLC 304
PCO20004.7,GLC 304
PCO20005.3,GLC 101
PCO20005.6,GLC 202
PCO20005.7,GLC 202
PCO20005.8,GLC 101
PCO20053.3,OH 302
GEA20008.1,ANH 313
ISE10051.1,HDH 318
ISE10052.1,NMH 105
ISE20039.1,HDH 323C
ISE20056.1,HDH 318
ISE20073.1,HDH 326A
ISE20084.1,HDH 318
CCC20050.1,NMH 405
CCC20052.1,NMH 309
CCC20053.1,NMH 410B
CCC20065.1,OH 306
CCC20086.1,NMH 405
GMP10001.2,NMH 106
MEC10001.1,NMH 106
MEC10001.2,OH 405
MEC10001.3,NMH 106
MEC10002.1,NMH 105
MEC10002.3,NMH 106
MEC10002.4,OH 305
MEC20006.2,NMH 410B
MEC20055.1,NMH 410B
MEC20055.2,NMH 106
LAW10004.1,ANH 302
UIL20010.1,ANH 302
UIL30051.1,ANH 305
CSW20001.1,NMH 207
CSW20016.2,NTH 411
CSW30010.1,OH 402
CSW30017.1,NMH 207
CSW30077.1,OH 402
ECE10002.1,NTH 313
ECE10002.2,NTH 313
ECE10020.1,NTH 412
ITP20001.1,NTH 310
IID10005.1,NMH 202
IID10005.2,NMH 202
IID30019.1,OH 306
HMM10001.1,ANH 313
HMM20042.1,ANH 302
CUE20004.1,NTH 212
CUE20012.1,NTH 212
CUE30001.1,NTH 211
