Source course,Dest course,Count
MEC10001.3,PCO10057.19,1
MEC10001.3,PCO10057.20,1
MEC10001.3,PCO10057.12,1
MEC10001.3,GEK10020.1,2
MEC10001.3,GEK20044.1,2
MEC10001.3,PCO10013.10,4
MEC10001.2,GEK20045.12,14
MEC10001.2,PCO10057.13,3
MEC10001.1,ISL10076.7,2
MEC10001.1,ISE10052.1,6
MEC10001.1,PCO10013.9,4
PCO10012.1,GEK20011.3,1
GEK40096.1,GEK20045.13,4
GEK40096.1,GEK10059.3,6
PCO10013.9,GEK20045.13,2
PCO10013.9,GEK10059.3,2
PCO10013.9,ISL10076.8,2
PCO10013.8,GEK10039.1,2
PCO10013.8,GEK10021.1,1
PCO10013.8,GEK20045.11,1
PCO10013.7,GEK20045.11,3
PCO10013.7,GEK20044.1,1
PCO10013.7,GEK10020.1,2
PCO10013.6,GEK10057.1,2
PCO10013.6,GEK10059.3,2
PCO10013.5,GEE40097.2,1
PCO10013.5,GEK40096.1,2
GEK20045.13,GEK10039.1,2
GEK20045.13,GEK10021.1,1
GEK20045.13,GEK20044.1,2
PCO10013.3,GEK10062.2,4
PCO10013.3,GEK20011.2,1
PCO10013.3,ISL10076.6,2
PCO10013.3,GEK10060.1,2
PCO10013.3,GEK10042.1,6
PCO10013.3,GEK20045.4,10
PCO10013.3,ISL10076.9,2
PCO10013.2,GEK10062.2,2
PCO10013.2,GEK20011.2,1
PCO10013.2,ISL10076.6,2
PCO10013.2,GEK10060.1,4
PCO10013.2,GEK10042.1,2
PCO10013.2,GEK20045.4,10
PCO10013.2,ISL10076.9,4
ISL10091.1,GEK20045.13,4
MEC10002.1,ISL10076.7,4
MEC10002.1,ISE10052.1,8
MEC10002.1,PCO10013.6,2
MEC10002.1,ISL10091.1,2
MEC10002.1,GEK40094.1,2
ECE10002.2,GEK10082.1,2
ECE10002.2,GEK20016.2,2
ECE10002.2,ISL10076.8,2
GEK20019.1,GEK10062.2,2
GEK20019.1,GEK10042.1,4
CCC20086.1,PCO10057.19,1
GEK10057.1,GEK10021.1,1
GMP10001.2,GEK20045.13,6
GMP10001.2,GEK30014.1,2
GMP10001.2,ISL10071.2,2
PCO20005.6,GEK20045.13,2
UIL30051.1,PCO10024.2,2
UIL30051.1,ISL10011.2,2
UIL30051.1,GEK10056.2,2
UIL30051.1,PCO20004.4,4
UIL30051.1,GEK10059.2,2
UIL30051.1,GEK20011.1,1
UIL30051.1,GEK10060.1,2
UIL30051.1,PCO10057.3,2
UIL30051.1,MEC10002.1,4
UIL30051.1,GEK10042.1,2
UIL30051.1,GEK20045.4,2
UIL30051.1,ISL10076.9,2
MEC20055.2,GEK20045.3,4
MEC20055.2,PCO10013.2,2
MEC20055.2,PCO20004.2,2
MEC20055.2,PCO10057.2,2
PCO10024.1,GEK10062.2,2
PCO10024.1,ISL10011.2,1
PCO10024.1,GEK10056.2,2
PCO10024.1,PCO10013.5,2
PCO10024.1,PCO10013.4,2
PCO10024.1,GEK10060.1,2
PCO10024.1,GEK10042.1,2
PCO10024.1,GEK20045.4,2
PCO10024.2,PCO10012.1,2
PCO10024.2,GEK10053.1,2
GEK10045.1,GEK10042.1,4
IID30019.1,PCO10013.10,1
ISL10076.7,GEK10059.3,2
