year,semester,subjectCode,num,time,classroom,capacity,student_count,time_conv,course
2013,2,ISE20073,1,"Th5,Th6",HDH 326A,40,38,"[41, 42]",ISE20073.1
2013,2,ISE20084,1,"M5,Th5",HDH 318,60,59,"[5, 41]",ISE20084.1
2013,2,ISE30077,1,"M6,M7",HDH 320A,40,17,"[6, 7]",ISE30077.1
2013,2,ISE30078,1,"M3,Th3",HDH 320A,40,42,"[3, 39]",ISE30078.1
2013,2,ISE30092,1,"M2,Th2",HDH 320A,25,14,"[2, 38]",ISE30092.1
2013,2,ISE30096,1,"M3,Th3",HDH 324,25,24,"[3, 39]",ISE30096.1
2013,2,ISE30098,1,"M6,Th6",HDH 323C,30,24,"[6, 42]",ISE30098.1
2013,2,ISE40051,1,"M2,Th2",HDH 323C,40,21,"[2, 38]",ISE40051.1
2013,2,ISE40075,1,"M4,M5",HDH 320A,40,23,"[4, 5]",ISE40075.1
2013,2,ISE40080,1,"M2,Th2",HDH 326A,25,6,"[2, 38]",ISE40080.1
2013,2,CCC20050,1,"M6,Th6",NMH 405,30,31,"[6, 42]",CCC20050.1
2013,2,CCC20052,1,"M6,Th6",NMH 309,40,39,"[6, 42]",CCC20052.1
2013,2,CCC20053,1,"M5,Th5",NMH 410B,50,58,"[5, 41]",CCC20053.1
2013,2,CCC20055,1,"M7,Th7",HDH 424,30,43,"[7, 43]",CCC20055.1
2013,2,CCC20065,1,"M2,Th2",OH 306,45,46,"[2, 38]",CCC20065.1
2013,2,CCC20086,1,"M5,Th5",NMH 405,30,33,"[5, 41]",CCC20086.1
2013,2,CCC20092,1,"M4,Th4",NMH 405,30,29,"[4, 40]",CCC20092.1
2013,2,CCC30052,1,"M4,Th4",NMH 309,30,28,"[4, 40]",CCC30052.1
2013,2,CCC30069,1,"M7,M8",NMH 405,30,15,"[7, 8]",CCC30069.1
2013,2,CCC30077,1,"Th6,Th7",NMH 403,25,7,"[42, 43]",CCC30077.1
2013,2,GMP10001,2,"M4,Th4",NMH 106,10,10,"[4, 40]",GMP10001.2
2013,2,GMP20003,1,"M1,Th1",NMH 106,5,2,"[1, 37]",GMP20003.1
2013,2,GMP20005,1,"M2,Th2",NMH 106,5,2,"[2, 38]",GMP20005.1
2013,2,GMP30001,1,"M1,Th1",NMH 103A,5,5,"[1, 37]",GMP30001.1
2013,2,GMP30001,2,"M2,Th2",NMH 103A,5,6,"[2, 38]",GMP30001.2
2013,2,GMP30002,1,"M6,Th6",NMH 105,5,8,"[6, 42]",GMP30002.1
2013,2,GMP30004,1,"M2,Th2",NMH 405,5,13,"[2, 38]",GMP30004.1
2013,2,GMP30004,2,"M6,Th6",NMH 103A,5,4,"[6, 42]",GMP30004.2
2013,2,GMP30005,1,"M5,Th5",NMH 110,5,5,"[5, 41]",GMP30005.1
2013,2,GMP30007,1,"M2,Th2",NMH 105,5,8,"[2, 38]",GMP30007.1
2013,2,GMP40005,1,"M3,Th3",NMH 107,5,4,"[3, 39]",GMP40005.1
2013,2,GMP40006,1,"M3,Th3",NMH 103A,40,9,"[3, 39]",GMP40006.1
2013,2,MEC10001,1,"M3,Th3",NMH 106,70,63,"[3, 39]",MEC10001.1
2013,2,MEC10001,2,"M6,Th6",OH 405,80,114,"[6, 42]",MEC10001.2
2013,2,MEC10001,3,"M5,Th5",NMH 106,80,43,"[5, 41]",MEC10001.3
2013,2,MEC10002,1,"M3,Th3",NMH 105,80,91,"[3, 39]",MEC10002.1
2013,2,MEC10002,3,"M4,Th4",NMH 106,70,47,"[4, 40]",MEC10002.3
2013,2,MEC10002,4,"M2,Th2",OH 305,80,64,"[2, 38]",MEC10002.4
2013,2,MEC20001,1,"M2,Th2",NMH 106,55,24,"[2, 38]",MEC20001.1
2013,2,MEC20002,1,"M2,Th2",NMH 107,60,36,"[2, 38]",MEC20002.1
2013,2,MEC20005,3,"M4,Th4",NMH 103A,40,19,"[4, 40]",MEC20005.3
2013,2,MEC20006,2,"M1,Th1",NMH 410B,60,33,"[1, 37]",MEC20006.2
2013,2,MEC20051,1,"M1,Th1",NMH 107,40,38,"[1, 37]",MEC20051.1
2013,2,MEC20055,1,"M6,Th6",NMH 410B,40,59,"[6, 42]",MEC20055.1
2013,2,MEC20055,2,"M1,Th1",NMH 106,35,26,"[1, 37]",MEC20055.2
2013,2,MEC20057,1,"M7,M8",NMH 102B,30,10,"[7, 8]",MEC20057.1
2013,2,MEC20058,1,"M6,Th6",NMH 105,35,75,"[6, 42]",MEC20058.1
