course,classroom
ENG10062.1,HDH 318
ENG20021.1,NMH 410A
GEE40097.1,SU 101
GEE40097.2,SU 101
GEK10021.2,NTH 411
GEK10022.1,OH 402
GEK10022.2,OH 402
GEK10033.1,HDH 418B
GEK10035.1,HDH 425B
GEK10038.2,HDH 419
GEK10040.1,HDH 318
GEK10041.1,ANH Auditorium
GEK10041.2,HDH 318
GEK10042.1,OH 405
GEK10045.3,OH 403
GEK10045.4,OH 403
GEK10045.5,OH 405
GEK10045.6,OH 402
GEK10045.11,OH 403
GEK10045.12,OH 403
GEK10045.13,NMH 405
GEK10055.1,NMH 410A
GEK10055.2,NMH 410A
GEK10057.1,NMH 410A
GEK10057.2,NMH 410A
GEK10057.3,NMH 405
GEK10059.2,NMH 410B
GEK10059.3,NMH 207
GEK10060.1,NMH 105
GEK10062.1,NMH 403
GEK10062.2,NMH 403
GEK10077.1,NTH 213
GEK10094.1,NMH 411
GEK10095.2,SU 101
GEK10096.1,HDH 425B
GEK10096.2,NMH 105
GEK10096.3,HDH 425B
GEK20011.1,NMH 309
GEK20011.2,OH 420
GEK20011.3,OH 420
GEK20016.1,OH 420
GEK20019.1,HDH 425B
GEK20019.2,HDH 303A
GEK20021.1,NTH 213
GEK20021.2,NTH 411
GEK20028.3,NTH 411
GEK20031.1,NMH 105
GEK20031.2,NMH 105
GEK20031.3,NMH 402
GEK20042.1,OH 402
GEK20043.1,HDH 418B
GEK20044.1,NMH 410A
GEK20045.1,NMH 404
GEK20053.1,HDH 303A
GEK30014.1,OH 401
GEK30022.1,NMH 404
GEK30022.2,NTH 213
GEK40096.2,NMH 403
ISL10011.1,NMH 109
ISL10011.2,NMH 109
ISL10046.1,GLC 204
ISL10071.1,OH 421
ISL10071.2,OH 421
ISL10073.3,GLC 304
ISL10075.2,NMH 104A
ISL10075.5,NMH 104A
ISL10075.7,NMH 108
ISL10075.8,NMH 108
ISL10075.11,NMH 104A
ISL10075.12,NMH 108
ISL10085.1,NMH 108
ISL10091.1,NTH 213
ISL10091.2,NTH 213
ISL20077.4,NMH 108
PCO10012.1,GLC 304
PCO10012.2,GLC 304
PCO10012.3,GLC 304
PCO10012.5,GLC 101
PCO10012.6,GLC 101
PCO10012.15,GLC 301
PCO10012.16,GLC 301
PCO10012.17,GLC 301
PCO10013.1,GLC 305
PCO10013.2,GLC 305
PCO10013.3,GLC 305
PCO10013.4,GLC 303
PCO10013.5,GLC 303
PCO10013.6,GLC 303
PCO10013.7,GLC 106
PCO10013.8,GLC 106
PCO10015.1,HDH 303A
PCO10016.1,HDH 303A
PCO10024.1,HDH 418B
PCO10024.2,HDH 418B
PCO10052.1,HDH 303B
PCO10058.1,HDH 403
PCO10058.4,HDH 403
PCO10058.5,HDH 403
PCO10058.6,HDH 403
PCO10058.8,HDH 402
PCO10058.9,HDH 402
PCO10058.10,HDH 403
PCO10058.14,OH 302
PCO10058.15,OH 302
PCO10058.16,OH 302
PCO10058.17,HDH 424
PCO20004.1,GLC 302
PCO20004.2,GLC 302
PCO20004.4,GLC 301
