year,semester,subjectCode,num_x,time,classroom,capacity,student_count,time_conv,course,random.ID,num_y
2014,1,ENG10062,1,"M1,M2",HDH 318,60,47,"[1, 2]",ENG10062.1,1gBuWhMp,1
2014,1,ENG10062,1,"M1,M2",HDH 318,60,47,"[1, 2]",ENG10062.1,qOzR86HS,1
2014,1,ENG20021,1,"M5,Th5",NMH 410A,30,9,"[5, 41]",ENG20021.1,DoWup2SG,1
2014,1,ENG20021,1,"M5,Th5",NMH 410A,30,9,"[5, 41]",ENG20021.1,JNyLWQU1,1
2014,1,ENG20021,1,"M5,Th5",NMH 410A,30,9,"[5, 41]",ENG20021.1,Kn1sVti1,1
2014,1,ENG20021,1,"M5,Th5",NMH 410A,30,9,"[5, 41]",ENG20021.1,NefirZAk,1
2014,1,ENG20021,1,"M5,Th5",NMH 410A,30,9,"[5, 41]",ENG20021.1,6oO5W8en,1
2014,1,GEE40097,1,"Th2,Th3",SU 101,80,90,"[38, 39]",GEE40097.1,z6h0lJxC,1
2014,1,GEE40097,1,"Th2,Th3",SU 101,80,90,"[38, 39]",GEE40097.1,PFvZnLBP,1
2014,1,GEE40097,1,"Th2,Th3",SU 101,80,90,"[38, 39]",GEE40097.1,S6PYI8ZC,1
2014,1,GEE40097,1,"Th2,Th3",SU 101,80,90,"[38, 39]",GEE40097.1,jwyFyq76,1
2014,1,GEE40097,2,"Th4,Th5",SU 101,80,104,"[40, 41]",GEE40097.2,MQumjHSH,2
2014,1,GEE40097,2,"Th4,Th5",SU 101,80,104,"[40, 41]",GEE40097.2,IViHSj7v,2
2014,1,GEE40097,2,"Th4,Th5",SU 101,80,104,"[40, 41]",GEE40097.2,u1LFmIFT,2
2014,1,GEE40097,2,"Th4,Th5",SU 101,80,104,"[40, 41]",GEE40097.2,7MFWZRiK,2
2014,1,GEE40097,2,"Th4,Th5",SU 101,80,104,"[40, 41]",GEE40097.2,O1KtX6CP,2
2014,1,GEE40097,2,"Th4,Th5",SU 101,80,104,"[40, 41]",GEE40097.2,JNXfk309,2
2014,1,GEE40097,2,"Th4,Th5",SU 101,80,104,"[40, 41]",GEE40097.2,0IL7XMT3,2
2014,1,GEE40097,2,"Th4,Th5",SU 101,80,104,"[40, 41]",GEE40097.2,IY8uBaGf,2
2014,1,GEE40097,2,"Th4,Th5",SU 101,80,104,"[40, 41]",GEE40097.2,PNapyqbI,2
2014,1,GEE40097,2,"Th4,Th5",SU 101,80,104,"[40, 41]",GEE40097.2,QXuOddXh,2
2014,1,GEK10021,2,"Th5,Th6",NTH 411,20,18,"[41, 42]",GEK10021.2,G0aWq1bG,2
2014,1,GEK10021,2,"Th5,Th6",NTH 411,20,18,"[41, 42]",GEK10021.2,Ed3By3Rs,2
