year,semester,subjectCode,num,time,classroom,capacity,student_count,time_conv,course
2014,1,ENG10062,1,"M1,M2",HDH 318,60,47,"[1, 2]",ENG10062.1
2014,1,ENG20021,1,"M5,Th5",NMH 410A,30,9,"[5, 41]",ENG20021.1
2014,1,GEE30023,1,"M4,Th4",OH 421,25,31,"[4, 40]",GEE30023.1
2014,1,GEE40097,1,"Th2,Th3",SU 101,80,90,"[38, 39]",GEE40097.1
2014,1,GEE40097,2,"Th4,Th5",SU 101,80,104,"[40, 41]",GEE40097.2
2014,1,GEK10021,2,"Th5,Th6",NTH 411,20,18,"[41, 42]",GEK10021.2
2014,1,GEK10022,1,"M5,Th5",OH 402,40,47,"[5, 41]",GEK10022.1
2014,1,GEK10022,2,"M6,Th6",OH 402,40,42,"[6, 42]",GEK10022.2
2014,1,GEK10033,1,"M6,Th6",HDH 418B,60,60,"[6, 42]",GEK10033.1
2014,1,GEK10035,1,"M6,Th6",HDH 425B,50,46,"[6, 42]",GEK10035.1
2014,1,GEK10038,2,"Th4,Th5",HDH 419,20,25,"[40, 41]",GEK10038.2
2014,1,GEK10040,1,"M1,M2",HDH 318,60,47,"[1, 2]",GEK10040.1
2014,1,GEK10041,1,"M3,Th3",ANH Auditorium,180,207,"[3, 39]",GEK10041.1
2014,1,GEK10041,2,"M4,Th4",HDH 318,60,61,"[4, 40]",GEK10041.2
2014,1,GEK10042,1,"M3,Th3",OH 405,120,108,"[3, 39]",GEK10042.1
2014,1,GEK10045,3,"M5,Th5",OH 403,70,76,"[5, 41]",GEK10045.3
2014,1,GEK10045,4,"M6,Th6",OH 403,70,71,"[6, 42]",GEK10045.4
2014,1,GEK10045,5,"M2,Th2",OH 405,70,78,"[2, 38]",GEK10045.5
2014,1,GEK10045,6,"M3,Th3",OH 402,70,70,"[3, 39]",GEK10045.6
2014,1,GEK10045,11,"M2,Th2",OH 403,70,80,"[2, 38]",GEK10045.11
2014,1,GEK10045,12,"M3,Th3",OH 403,70,73,"[3, 39]",GEK10045.12
2014,1,GEK10045,13,"M6,Th6",NMH 405,70,69,"[6, 42]",GEK10045.13
2014,1,GEK10055,1,"M2,Th2",NMH 410A,50,62,"[2, 38]",GEK10055.1
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2
2014,1,GEK10059,3,"M3,Th3",NMH 207,50,42,"[3, 39]",GEK10059.3
2014,1,GEK10060,1,"M3,Th3",NMH 105,60,28,"[3, 39]",GEK10060.1
2014,1,GEK10062,1,"M2,Th2",NMH 403,60,59,"[2, 38]",GEK10062.1
2014,1,GEK10062,2,"M3,Th3",NMH 403,60,42,"[3, 39]",GEK10062.2
