Source course,Dest course,Count
MEC10001.1,PCO10058.16,8
MEC10001.1,GEK20021.2,1
ISE10022.1,GEK10062.2,2
ISE10022.1,GEK10045.6,2
ISE10022.1,PCO10024.2,2
ISE10022.1,GEK10059.3,4
ISE10022.1,GEK10045.12,2
ISE10022.1,PCO10058.9,2
ISE10022.1,GEK10042.1,2
ISE10022.1,PCO10058.5,2
ISE10022.1,ISE10002.1,6
ISE10022.1,PCO10012.15,2
PCO10013.7,GEK10095.2,2
PCO10013.7,GEK10022.2,2
PCO10013.6,GEK10021.2,1
PCO10013.6,GEK10096.3,2
PCO10013.6,GEK20031.2,2
PCO10013.6,GEK10045.3,2
PCO10013.6,GEK10057.1,2
PCO10013.5,GEK10041.1,2
PCO10013.5,GEK10055.2,2
PCO10013.5,GEK10045.12,4
PCO10013.5,ISL10075.12,2
PCO10013.5,GEK10042.1,4
PCO10013.4,GEK10045.5,2
PCO10013.4,GEK10062.1,2
PCO10013.4,ISL10075.5,2
PCO10013.4,ISL10011.1,2
PCO10013.3,GEK10045.4,4
PCO10013.3,GEK10045.13,2
PCO10013.3,GEK10077.1,1
PCO10013.1,GEK20045.1,2
GEK20019.1,GEK10041.1,4
HMM30012.1,HMM20031.1,40
HMM30012.1,GEK10038.2,1
ISE20081.1,GEK10022.2,2
ISE20081.1,PCO10013.8,1
ITP20003.2,GEK10041.2,2
ITP20003.2,ECE20051.2,12
GEA20011.1,GEK10022.1,2
GEA20011.1,GEA20002.1,4
GEK10045.12,GEK10041.2,4
GEA20008.1,ISL20077.4,2
GEA20008.1,PCO20005.1,1
GEA20008.1,PCO10013.5,1
GEA20008.1,PCO10013.1,1
GEA20008.1,GEK10045.11,1
GEA20008.1,GEK20031.3,1
GEA20008.1,PCO20058.1,1
GEA20008.1,GEK10057.3,1
CUE30051.1,CUE20002.1,2
CCC20074.1,PCO10058.16,1
ISE20040.1,GEK10041.1,6
ISE20040.1,GEK20045.1,2
CUE20051.1,CUE20002.1,4
PCO10058.16,GEK10094.1,1
IID20059.1,GEE40097.2,2
CSW20002.1,CSW20001.1,20
CSW20002.1,PCO20004.12,2
CSW20002.1,GEK10022.1,6
CSW20002.1,GEK30022.1,1
CSW20001.1,GEK30022.2,1
CSW20001.1,GEK20044.1,1
CSW20001.1,GEK10033.1,2
CSW20001.1,CCC20050.1,2
CSW20001.1,GEK10077.1,1
CSW20001.1,GEK10022.2,6
GEK30014.1,GEK10045.13,6
GEK30014.1,GEK10095.2,2
IID10005.2,PCO10058.16,1
ITP20003.1,GEK10041.1,8
ITP20003.1,GEK10045.6,2
ITP20003.1,MEC20055.1,4
ITP20003.1,ISL10075.12,2
ITP20003.1,GEK20011.1,1
ITP20003.1,GEK20011.3,1
ITP20003.1,ECE30011.1,2
ITP20003.1,ECE20051.1,30
ISL20077.4,GEK10041.1,6
ISL20077.4,GEK10045.6,6
ISL20077.4,GEK20045.1,2
ISL20077.4,GEK20011.2,2
GMP30001.1,GEK20016.1,2
GEK10096.1,GEK10045.5,4
GEK10096.1,GEK10045.11,6
GEK10096.1,GEK10057.3,2
GEK10096.1,GEK10055.1,48
GEK10096.3,GEK10045.4,2
GEK10096.3,GEK10045.13,4
GEK10096.3,GEK10095.2,4
GEK10096.2,GEK10041.1,2
GEK10096.2,GEK10062.2,2
GEK10096.2,GEK10045.6,6
GEK10096.2,GEK10055.2,50
GEK10096.2,GEK10059.3,2
GEK10096.2,GEK10045.12,6
IID20061.2,GEA20011.1,2
ISL10075.11,GEE40097.2,1
ISL10075.11,GEK20031.1,2
HMM20031.1,PCO20004.12,2
HMM20031.1,GEK10096.3,4
HMM20031.1,GEK30014.1,4
HMM20031.1,GEK10022.1,2
ISL10075.12,GEK10038.2,1
PCO10058.8,GEK10041.1,26
PCO10058.8,GEK10062.2,2
PCO10058.8,GEK10045.6,4
PCO10058.8,ISL10075.11,4
PCO10058.8,PCO10024.2,4
PCO10058.8,ISL10075.12,2
PCO10058.8,GEK10060.1,2
PCO10058.8,GEK10059.3,2
PCO10058.8,GEK20011.2,1
PCO10058.8,GEK10045.12,8
PCO10058.8,GEK10042.1,10
PCO10058.8,PCO10012.15,2
PCO10058.9,ISL10075.2,6
PCO10058.9,PCO10012.6,4
PCO10058.9,GEK40096.2,2
PCO10058.9,ISL10075.7,4
PCO10058.9,PCO10013.6,2
PCO10058.9,GEK20031.1,4
PCO10058.9,GEK10038.2,1
PCO10058.4,GEK10041.1,10
PCO10058.4,GEK10062.2,2
PCO10058.4,GEK10045.6,12
PCO10058.4,PCO10024.2,6
PCO10058.4,GEK10055.2,4
PCO10058.4,GEK10045.12,6
PCO10058.4,GEK10042.1,12
PCO10058.4,PCO10012.15,2
PCO10058.5,GEK20031.1,2
PCO10058.5,GEK10041.2,4
PCO10058.5,ISL10075.7,2
PCO10058.5,GEK40096.2,2
PCO10058.5,ISL10075.2,4
IID20016.1,GEE40097.2,1
IID20016.1,GEA20011.1,2
IID20016.1,GEK40096.2,1
IID20016.1,PCO20058.2,1
ISE10002.1,GEK10041.2,2
ISE10002.1,PCO20004.11,2
UIL30051.1,GEK10045.6,2
UIL30051.1,ISL10075.11,2
UIL30051.1,ISL10011.2,1
UIL30051.1,MEC20055.1,2
UIL30051.1,GEK10059.3,4
UIL30051.1,GEK20011.2,1
UIL30051.1,PCO10024.2,2
UIL30051.1,GEK10042.1,4
UIL30051.1,ISE20075.1,2
UIL30051.1,ISE10052.2,6
UIL30051.1,ISE10002.1,2
UIL30051.1,PCO10012.15,2
IID20016.2,GEE40097.2,1
IID20016.2,PCO20058.2,1
PCO10024.1,GEK10041.1,12
PCO10024.1,GEK10062.2,2
PCO10024.1,GEK10045.6,6
PCO10024.1,PCO10012.15,2
PCO10024.1,GEK10059.3,6
PCO10024.1,GEK20011.2,1
PCO10024.1,GEK10045.12,8
PCO10024.1,GEK10042.1,16
MEC30066.1,MEC30057.1,4
PCO10024.2,PCO10012.6,2
PCO10024.2,GEK40096.2,2
PCO10024.2,PCO10013.6,2
PCO10024.2,ISL10091.1,2
PCO10024.2,GEK20031.1,2
PCO10024.2,GEK10038.2,1
PCO20004.4,GEK10057.3,2
PCO20004.4,ISL20077.4,2
PCO20004.5,GEK20045.1,2
PCO20004.1,GEK10045.12,2
PCO20004.1,GEK10042.1,2
CCC20065.1,PCO10013.6,1
CCC20065.1,GEK20031.1,1
CCC20065.1,GEK40096.2,1
GEK10045.11,GEK10041.1,30
GEK10045.11,GEK10042.1,14
IID10005.1,PCO10012.3,1
IID10005.1,GEK10041.2,2
IID10005.1,PCO10012.6,1
IID10005.1,GEK40096.2,1
IID10005.1,ISL10075.2,1
LAW20003.1,GEK10095.2,1
LAW20003.1,GEK10035.1,1
LAW20003.1,GEK20021.1,1
LAW20003.1,MEC20006.1,1
LAW20003.1,PCO10058.6,1
LAW20003.1,GEK10022.2,2
BFT30016.1,GEK20045.1,2
CUE20002.1,GEK10038.2,1
CSW20064.1,ISE10052.3,2
CSW20064.1,GEK10021.2,1
CSW20064.1,CSW20001.1,6
ISL10011.2,GEK20031.1,1
ISL10011.2,GEK10041.2,2
ISL10011.1,GEK10041.1,1
ISL10011.1,GEK10045.12,4
ISL10011.1,GEK20011.1,1
ISL10011.1,GEK10059.3,1
ISL10011.1,GEK10060.1,2
ISL10011.1,GEK10042.1,5
CSW20065.1,GEK10041.1,6
CSW20065.1,ISL10075.11,2
CSW20065.1,ISL10011.2,1
CSW20065.1,PCO10013.2,2
CSW20065.1,PCO20004.2,2
CSW20065.1,GEK10042.1,2
CSW20065.1,GEK20045.1,2
CSW20065.1,ISE10002.1,2
CSW20065.1,CSW20012.2,2
ITP20001.1,GEK20021.2,1
ITP20001.1,ECE20060.1,1
GEK20031.3,GEK10041.1,14
GEK20031.3,GEK10062.2,2
GEK20031.3,GEK10045.6,4
GEK20031.3,GEK20011.3,1
GEK20031.3,GEK10045.12,2
GEK20031.3,GEK10042.1,6
GEK20031.2,GEK10045.4,4
GEK20031.1,GEK10057.1,2
GEK20031.1,GEK10059.2,6
GEK20031.1,GEK10022.1,2
GEK20031.1,GEK10045.3,2
ECE20010.1,GEK10033.1,2
ECE20010.1,GEK20044.1,1
ISL10091.2,GEK10045.4,4
ISL10091.2,GEK10045.13,4
ISL10091.2,GEK10077.1,1
ISL10091.2,GEK10095.2,2
ISL10091.2,GEK10022.2,2
ISL10091.1,ISL10075.8,2
ISL10091.1,GEK30022.1,1
ISL10091.1,GEK10045.3,6
ISL10091.1,GEK10057.1,2
ISE10052.2,PCO10012.3,4
ISE10052.2,GEK20053.1,2
ISE10052.2,GEK10041.2,4
ISE10052.2,ISL10075.7,4
ISE10052.2,ISL10075.2,4
ISE10052.2,GEK20031.1,6
ISL10046.1,GEK40096.2,2
ECE20016.1,GEK10041.1,2
