Source course,Dest course,Count
CCE20003.1,GEK10038.2,3
CCE20003.1,GEK10040.2,1
CCE20003.1,GCS10037.6,2
CCE20003.1,GEK10042.1,4
MEC10001.1,GEK10059.2,2
MEC10001.1,GEK10075.1,4
MEC10001.1,GCS10002.4,4
MEC10001.1,GEK30007.1,1
UIL40075.1,UIL30011.1,10
UIL40075.1,MEC10001.1,2
GEK20059.1,GEK10041.2,6
GEK20059.1,GCS10037.2,2
GEK20059.1,GEK20058.10,2
GEK20059.1,GCS10002.2,6
GEK20059.1,GCS10002.3,6
GEK20059.1,GEK10096.4,2
GEK20059.1,GCS10052.12,4
GEK20059.1,GEK10022.2,2
CSW20020.1,GEK10058.2,2
CSW20020.1,GEK20028.2,1
CSW20020.1,GEK10022.1,2
CSW20020.1,CSW20005.2,2
CSW20020.1,MEC20059.2,2
GEK10099.1,GCS10001.6,2
GEK10099.1,GEK10041.3,1
GEK10099.1,GEK10057.1,2
GEK10099.1,GEK10095.1,2
GEK20019.1,GEK10041.1,2
GEK20019.1,GEK10038.2,1
CCC20092.1,GEK30014.1,2
CCC20092.1,GEK10022.1,2
CUE30031.1,GEK20062.1,2
CUE30031.1,GEK10053.1,2
CCC20065.1,GEK10062.1,2
CCC20065.1,ISE30096.1,2
CCC20065.1,GEK20058.7,2
CCC20065.1,GCS10037.5,2
CCC20065.1,CCC20056.1,12
CCC20065.1,GCS20001.16,2
CCC20065.1,ISE10002.1,2
ISE40073.2,GCS20008.2,1
ISE40073.2,GEK30014.1,4
ISE40073.2,ISE10051.2,1
ISE40073.2,GEA30020.1,1
GCS10052.6,GCS10001.5,4
GCS10052.5,GCS10002.2,4
GCS10052.5,GCS10002.3,2
GCS10052.5,GCS10037.2,2
GCS10052.4,GCS10001.6,2
GCS10052.4,GCS10037.11,4
GCS10052.3,GCS10002.4,2
GCS10052.2,GCS10001.6,4
GEK20028.1,GCS10007.1,1
GEK20028.1,GCS10037.10,1
GEK20028.1,GCS10004.1,1
