year,semester,subjectCode,num,capacity,classroom,student_count,time,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,time_conv,course
2016,1,GCS20002,4,0,GLC 202,20,"M2,Th2",,,,,,,,,"[2, 38]",GCS20002.4
2016,1,GCS20002,5,20,GLC 303,16,"M2,Th2",,,,,,,,,"[2, 38]",GCS20002.5
2016,1,GCS20002,6,20,GLC 303,18,"M3,Th3",,,,,,,,,"[3, 39]",GCS20002.6
2016,1,GCS20002,7,20,GLC 101,20,"M4,Th4",,,,,,,,,"[4, 40]",GCS20002.7
2016,1,GCS20002,8,20,GLC 101,20,"M6,Th6",,,,,,,,,"[6, 42]",GCS20002.8
2016,1,GCS20005,1,45,HDH 403,48,"M2,Th2",,,,,,,,,"[2, 38]",GCS20005.1
2016,1,GCS20005,2,45,HDH 403,47,"M3,Th3",,,,,,,,,"[3, 39]",GCS20005.2
2016,1,GCS20005,3,45,HDH 403,45,"M1,Th1",,,,,,,,,"[1, 37]",GCS20005.3
2016,1,GCS20008,1,29,HDH 402,29,"M2,M3",,,,,,,,,"[2, 3]",GCS20008.1
2016,1,GCS20008,2,29,HDH 402,29,"M5,M6",,,,,,,,,"[5, 6]",GCS20008.2
2016,1,GCS30008,1,20,NTH 412,9,"M2,Th2",,,,,,,,,"[2, 38]",GCS30008.1
2016,1,GCS30008,2,20,NTH 412,7,"M3,Th3",,,,,,,,,"[3, 39]",GCS30008.2
2016,1,GCS40001,1,4,GLC 302,4,"M4,Th4",,,,,,,,,"[4, 40]",GCS40001.1
2016,1,GEE30023,1,25,OH 402,52,"M4,Th4",,,,,,,,,"[4, 40]",GEE30023.1
2016,1,GEK10015,2,0,HDH 303A,37,Th1,,,,,,,,,[37],GEK10015.2
2016,1,GEK10021,2,25,NTH 213,12,"Th5,Th6",,,,,,,,,"[41, 42]",GEK10021.2
2016,1,GEK10022,1,40,NMH 410A,41,"M5,Th5",,,,,,,,,"[5, 41]",GEK10022.1
2016,1,GEK10022,2,40,NMH 410B,40,"M6,Th6",,,,,,,,,"[6, 42]",GEK10022.2
2016,1,GEK10035,1,60,NMH 410B,33,"Th2,Th3",,,,,,,,,"[38, 39]",GEK10035.1
2016,1,GEK10035,2,40,OH 306,39,"Th5,Th6",,,,,,,,,"[41, 42]",GEK10035.2
2016,1,GEK10038,1,25,HDH 419,15,"Th1,Th2",,,,,,,,,"[37, 38]",GEK10038.1
2016,1,GEK10038,2,25,HDH 419,23,"Th3,Th4",,,,,,,,,"[39, 40]",GEK10038.2
2016,1,GEK10038,3,25,HDH 419,28,"Th5,Th6",,,,,,,,,"[41, 42]",GEK10038.3
2016,1,GEK10040,1,60,NMH 410B,45,"M1,M2",,,,,,,,,"[1, 2]",GEK10040.1
2016,1,GEK10040,2,60,NMH 410B,57,"M3,M4",,,,,,,,,"[3, 4]",GEK10040.2
2016,1,GEK10041,1,150,ANH Auditorium,187,"M3,Th3",,,,,,,,,"[3, 39]",GEK10041.1
2016,1,GEK10041,2,60,NMH 410A,57,"M6,Th6",,,,,,,,,"[6, 42]",GEK10041.2
2016,1,GEK10041,3,60,NMH 307,53,"Th5,Th6",,,,,,,,,"[41, 42]",GEK10041.3
2016,1,GEK10042,1,100,OH 405,102,"M3,Th3",,,,,,,,,"[3, 39]",GEK10042.1
2016,1,GEK10053,1,40,NTH 212,32,"M6,Th6",,,,,,,,,"[6, 42]",GEK10053.1
2016,1,GEK10053,2,60,HDH 425B,63,"M5,Th5",,,,,,,,,"[5, 41]",GEK10053.2
2016,1,GEK10055,3,60,NMH 404,61,"M2,Th2",,,,,,,,,"[2, 38]",GEK10055.3
2016,1,GEK10057,1,60,OH 405,94,"M5,Th5",,,,,,,,,"[5, 41]",GEK10057.1
2016,1,GEK10057,3,60,NMH 403,76,"M2,Th2",,,,,,,,,"[2, 38]",GEK10057.3
2016,1,GEK10058,2,60,NMH 410B,24,"M5,Th5",,,,,,,,,"[5, 41]",GEK10058.2
2016,1,GEK10059,2,60,NMH 307,60,"M7,Th7",,,,,,,,,"[7, 43]",GEK10059.2
2016,1,GEK10059,3,50,NMH 403,51,"M3,Th3",,,,,,,,,"[3, 39]",GEK10059.3
2016,1,GEK10060,1,60,NMH 410A,27,"M3,Th3",,,,,,,,,"[3, 39]",GEK10060.1
2016,1,GEK10062,1,70,NMH 105,70,"M2,Th2",,,,,,,,,"[2, 38]",GEK10062.1
