course,classroom
ENG20022.1,NMH 404
GEK10017.1,HDH 418B
GEK10017.2,HDH 418B
GEK10030.1,OH 405
GEK10035.1,HDH 425B
GEK10035.3,HDH 418B
GEK10036.1,HDH 418B
GEK10037.1,OH 305
GEK10037.2,OH 305
GEK10040.2,NMH 403
GEK10041.2,SU 101
GEK10055.1,OH 421
GEK10058.1,NMH 404
GEK10058.2,NMH 403
GEK10059.1,NMH 410A
GEK10061.1,HCA 2Ãþ
GEK10061.2,HCA 2Ãþ
GEK10066.1,NTH 313
GEK10070.1,NMH 410A
GEK10084.1,NTH 411
GEK10085.1,HDH 418B
GEK10093.1,HDH 425B
GEK10096.1,HDH 425B
GEK10097.2,OH 302
GEK20016.1,HDH 425B
GEK20017.1,OH 421
GEK20019.2,HDH 320A
GEK20021.1,NTH 213
GEK20022.1,NMH 109
GEK20028.1,SU 101
GEK20028.2,SU 101
GEK20031.1,OH 403
GEK20031.2,OH 401
GEK20038.2,HDH 419
GEK20042.1,NMH 402
GEK20042.2,NMH 402
GEK20043.1,OH 403
GEK20045.1,OH 401
GEK20045.2,OH 401
GEK20045.5,NMH 404
GEK20045.6,NMH 404
GEK20045.7,NMH 403
GEK20045.8,OH 403
GEK20045.9,OH 403
GEK20045.10,NMH 104A
GEK20053.1,HDH 303A
GEK20053.2,HDH 303A
GEK30022.1,OH 402
GEK30022.2,NTH 411
GEK30045.1,NMH 106
GEK30046.1,GLC 204
GEK40096.2,HCA 2Ãþ
GEK40096.4,HDH 418B
ISL10011.1,NMH 109
ISL10011.2,NMH 109
ISL10071.4,NMH 108
ISL10071.5,NMH 108
ISL10073.1,NTH 213
ISL10073.2,NTH 213
ISL10074.1,OH 421
ISL10075.1,HDH 303B
ISL10076.2,HDH 303B
ISL10076.4,HDH 303B
ISL10076.10,NMH 104A
ISL10076.11,NMH 104A
ISL10080.1,NTH 213
ISL10085.1,NMH 108
ISL20076.2,NMH 104A
PCO10012.2,GLC 106
PCO10012.3,GLC 106
PCO10013.11,GLC 101
PCO10013.12,GLC 303
PCO10013.13,GLC 303
PCO10013.14,GLC 305
PCO10013.15,GLC 303
PCO10013.17,GLC 101
PCO10013.18,GLC 305
PCO10013.19,GLC 101
PCO10024.3,HDH 303A
PCO10053.1,OH 302
PCO10057.4,NMH 403
PCO10057.5,NMH 403
PCO10057.8,NMH 405
PCO10057.17,NMH 410A
PCO10058.1,HDH 403
PCO20004.9,GLC 304
PCO20004.10,GLC 302
PCO20004.11,GLC 302
PCO20004.13,GLC 302
PCO20004.14,GLC 304
PCO20004.15,GLC 303
PCO20004.16,GLC 303
PCO20005.10,GLC 301
PCO20005.12,GLC 202
PCO20005.16,NTH 213
PCO20016.1,HDH 303B
PCO20058.1,HDH 402
PCO20058.2,HDH 402
GEA20020.1,NTH 310
GEA20051.1,ANH 304
ISE10002.1,HDH 318
ISE10022.1,HDH 320A
ISE10052.2,HDH 318
ISE20074.1,HDH 326A
ISE20085.1,HDH 318
ISE30080.1,HDH 323C
ISE30094.1,HDH 320A
CCC20034.1,NMH 410B
CCC20076.1,NMH 405
CCC20091.1,NMH 406
CCC30084.1,NMH 406
GMP10003.1,NMH 405
GMP20005.2,NMH 405
MEC10001.4,NMH 405
MEC20001.2,NMH 405
MEC20005.1,OH 305
MEC20005.2,OH 305
MEC20005.4,NMH 103A
MEC20006.1,NMH 405
MEC20054.1,NMH 106
MEC20055.3,NMH 105
MEC20055.4,NMH 105
LAW20010.1,ANH 302
LAW20011.1,ANH 302
LAW30005.1,ANH 305
UIL30013.1,ANH 305
UIL30072.1,ANH 302
CSW20002.1,NMH 207
CSW20012.2,HDH 320B
CSW30012.1,NMH 207
CSW30019.1,HDH 320B
BFT20013.2,NMH 307
ECE10020.2,NTH 412
ECE20042.1,NTH 313
ITP20002.1,NTH 313
IID10004.1,NMH 204
IID10004.2,NMH 202
IID10005.3,NMH 204
HMM10091.1,NTH 310
HMM10091.2,NTH 214
CUE20056.1,NTH 313
CUE30001.2,NTH 217
