Source course,Dest course,Count
PCO10012.2,GEK10096.1,4
PCO10012.2,GEK20031.2,4
PCO10012.2,GEK20045.9,1
PCO10012.2,ISL10076.2,2
PCO10012.3,ENG20022.1,2
PCO10012.3,GEK10030.1,2
PCO10012.3,GEK10035.1,1
ISE10022.1,PCO20004.13,2
ISE10022.1,GEK10035.3,1
MEC20006.1,GEK10041.2,1
GEK40096.2,GEK10058.1,2
GEK40096.2,GEK10037.2,1
MEC10001.4,ISL10071.5,4
MEC10001.4,CCC20091.1,1
GEK20045.10,GEK20031.2,1
GEK20045.10,GEK20022.1,1
GEK20045.10,GEK10058.2,1
ISL10011.2,GEK20045.8,1
PCO20004.15,GEK10058.1,4
PCO20004.15,ENG20022.1,2
PCO20004.15,GEK10030.1,4
PCO20004.15,PCO10057.4,1
ISL10076.10,GEK20045.2,10
ISL10076.10,GEK20053.2,6
ISL10076.10,GEK20045.7,2
ISL10076.10,GEK10061.2,6
ISL10076.10,GEK10070.1,2
PCO20004.13,GEK20045.9,3
PCO20004.10,GEK20045.2,2
PCO20004.10,ISL10080.1,2
PCO20004.10,GEK20031.1,2
PCO20004.10,GEK20045.6,2
PCO20004.10,GEK20045.7,2
ECE20042.1,GEK20045.8,1
GEK20042.2,GEK20031.1,2
GEK20042.2,GEK20016.1,2
ISL10073.1,GEK20053.1,2
ISL10073.1,GEK10041.2,1
ISL10073.1,GEK10066.1,4
GEK20043.1,GEK10070.1,4
GEK20043.1,GEK10061.2,2
GEK20043.1,GEK10097.2,4
MEC20005.1,GEK10041.2,1
MEC20005.1,ISL10073.2,2
MEC20005.1,GEK10040.2,2
MEC20005.1,GEK20045.5,2
UIL30013.1,GEK10058.2,2
CCC20076.1,PCO10057.4,2
CCC20076.1,GEK10037.2,1
CCC20076.1,PCO10057.8,1
PCO10058.1,GEK20053.1,2
PCO10058.1,GEK10040.2,4
PCO10058.1,GEK10055.1,2
PCO10058.1,GEK10066.1,2
PCO10058.1,PCO10013.13,2
PCO10058.1,GEK10017.1,2
PCO20058.1,PCO20004.13,1
HMM10091.1,GEK10037.1,2
GMP20005.2,GEK30045.1,2
PCO20004.9,GEK20045.10,1
GEA20051.1,ISL10075.1,4
GEA20051.1,GEK10041.2,1
GEA20051.1,GEK30022.1,1
GEA20051.1,GEK10093.1,2
GEA20051.1,GEK10055.1,2
GEA20051.1,GEK10066.1,2
GEA20051.1,PCO20004.10,2
GEA20051.1,GEK10059.1,2
GEA20051.1,GEK20043.1,2
GEA20051.1,GEA20020.1,2
GEA20051.1,GEK10017.1,2
GEA20051.1,ISL10073.2,2
PCO10057.17,GEK10037.1,1
GEK10093.1,GEK10070.1,2
ISL10076.4,GEK20045.8,2
ISE10002.1,GEK20045.5,2
ISE10002.1,GEK10041.2,2
ISE10002.1,PCO10013.14,4
ISE10002.1,ISL10011.1,1
ISE10002.1,GEK10093.1,6
ISE10002.1,GEK20028.1,1
ISE10002.1,PCO20004.10,2
ISE10002.1,GEK10059.1,4
ISE10002.1,GEK20042.2,2
ISE10002.1,PCO10013.13,2
ISE10002.1,GEK10084.1,1
ISE10002.1,GEK20045.1,2
ISE10002.1,GEK10017.1,4
ISE10002.1,ISL10076.10,2
ISE10002.1,GEK20043.1,2
PCO10013.17,GEK10096.1,2
PCO10013.17,GEK20031.2,2
PCO10013.17,GEK20045.9,1
IID10005.3,ISL10071.5,1
PCO10013.14,GEK20045.2,2
PCO10013.14,GEK20045.6,4
PCO10013.14,GEK20045.7,4
PCO10013.13,GEK20045.2,2
PCO10013.13,ISL10076.4,2
PCO10013.13,GEK20045.6,6
PCO10013.13,GEK10061.2,2
PCO10013.13,GEK20045.7,6
PCO10013.12,ISL10075.1,2
PCO10013.12,GEK10041.2,3
PCO10013.12,GEK10040.2,2
PCO10013.12,GEK10093.1,2
PCO10013.12,GEK10066.1,2
PCO10013.12,GEK20043.1,4
PCO10013.12,GEK20045.1,2
PCO10013.12,GEK10017.1,2
PCO10013.12,GEK20045.5,2
PCO10013.11,ISL10075.1,2
PCO10013.11,GEK10041.2,1
PCO10013.11,ISL10011.1,1
PCO10013.11,GEK10093.1,4
PCO10013.11,GEK10055.1,2
PCO10013.11,GEK10066.1,4
PCO10013.11,GEK10059.1,2
PCO10013.11,ISL10073.2,2
PCO10013.11,GEK10061.1,2
GEK10037.2,GEK10036.1,1
PCO10057.8,GEK10037.1,1
LAW30005.1,PCO10057.8,1
IID10004.2,PCO10057.5,2
IID10004.1,GEK20045.8,2
PCO10013.18,GEK40096.4,1
PCO10013.18,GEK10037.2,1
PCO10013.18,GEK10058.1,2
PCO10013.18,GEK10030.1,2
ISL10071.5,GEK20017.1,2
GEK30046.1,GEK20045.9,1
GEK30022.1,GEK20045.8,6
ITP20002.1,ECE10020.2,2
GEK10058.2,GEK10037.2,1
GEA20020.1,ISL10076.4,2
GEK20045.8,GEK10037.2,2
GEK20045.8,GEK10058.1,3
GEK20045.8,GEK10030.1,3
ISL10073.2,GEK10070.1,2
ISL10073.2,GEK20031.1,2
ISL10073.2,GEK20045.7,10
ISL10073.2,GEK30045.1,4
CCC20091.1,PCO10057.17,1
CCC20091.1,GEK10037.2,2
CCC20091.1,PCO10057.4,1
CCC20091.1,GEK10030.1,1
GEK20045.2,GEK20042.1,2
ISE10052.2,ISL10071.4,2
ISE10052.2,ISE10022.1,2
ISE10052.2,ISL10011.2,1
ISE10052.2,GEK10070.1,2
ISE10052.2,GEK10061.2,2
ISE10052.2,ISL10074.1,2
ISE10052.2,GEK20045.2,2
ISE10052.2,PCO20004.11,2
ISE10052.2,GEK20045.6,4
ISE10052.2,GEK20045.7,10
ISE10052.2,GEK20016.1,4
MEC20005.2,GEK20045.6,2
MEC20005.2,GEK30045.1,2
GEK20045.1,GEK10070.1,8
GEK20045.1,GEK20031.1,2
GEK20045.1,GEK10061.2,4
GEK20045.1,GEK10097.2,6
CSW20012.2,ISL10011.2,2
GEK20045.5,GEK10070.1,4
GEK20045.5,GEK20031.1,6
GEK20045.5,GEK10061.2,2
GEK20045.5,GEK10097.2,2
ISL10075.1,GEK10070.1,2
ISL10075.1,GEK20045.7,2
ISL10075.1,GEK20045.10,1
ISL10075.1,GEK20045.2,4
ISL10075.1,GEK10061.2,6
ISL10075.1,GEK30045.1,4
GEK20053.2,GEK20045.8,1
GEK20053.1,GEK20045.7,2
ISL10074.1,GEK20038.2,1
ISL10011.1,GEK10070.1,1
ISL10011.1,GEK20045.2,2
ISL10011.1,GEK20045.10,2
GEK10055.1,GEK10017.2,2
GEK10066.1,GEK10061.2,2
GEK10066.1,GEK10017.2,4
ISL20076.2,GEK10041.2,1
ISL20076.2,GEK10040.2,4
ISL20076.2,GEK10061.1,2
ISL20076.2,GEK20019.2,2
GEK10096.1,GEK10037.2,1
GEK10096.1,GEK10058.1,6
GEK10096.1,ENG20022.1,2
GEK10096.1,GEK10030.1,8
PCO10053.1,GEK20045.2,4
PCO10053.1,PCO10013.15,2
ISL10076.2,GEK40096.4,1
ISL10076.2,GEK10030.1,4
ISL10076.2,GEK10035.1,1
UIL30072.1,GEK20016.1,2
GEK20031.2,GEK10030.1,4
GEK20031.2,GEK10035.1,2
GEK20017.1,GEK10030.1,2
GEK20017.1,GEK10035.1,1
CUE20056.1,GEK10041.2,1
CUE20056.1,GEK10066.1,2
CUE20056.1,GEK10040.2,2
