course,classroom
GCS10001.5,HDH 424
GCS10001.6,HDH 424
GCS10001.7,HDH 424
GCS10002.5,HDH 403
GCS10002.6,HDH 403
GCS10002.7,HDH 403
GCS10010.5,NMH 109
GCS10011.1,HDH 303A
GCS10012.1,HDH 303A
GCS10023.1,NMH 402
GCS10027.1,NMH 402
GCS10027.2,NMH 402
GCS10028.1,NMH 402
GCS10033.3,NMH 109
GCS10033.4,NMH 109
GCS10035.1,OH 421
GCS10037.4,HDH 303B
GCS10037.5,HDH 303B
GCS10037.6,NMH 104A
GCS10037.8,NMH 104A
GCS10037.9,NMH 108
GCS10037.10,NMH 108
GCS10037.11,NMH 108
GCS10037.13,NMH 104A
GCS10037.14,NMH 104A
GCS10039.6,NMH 104A
GCS10041.1,NTH 213
GCS10041.2,NTH 213
GCS10042.1,NTH 213
GEE20034.1,OH 402
GEE40097.1,NMH 109
GEK10021.1, 
GEK10030.1,OH 405
GEK10030.2,OH 405
GEK10035.1,HDH 425B
GEK10035.2,HDH 418B
GEK10040.1,NMH 410A
GEK10041.2,HDH 418B
GEK10041.4,NMH 404
GEK10053.1,HDH 318
GEK10055.1,HDH 303B
GEK10055.2,HDH 303B
GEK10055.3,OH 305
GEK10058.2,NMH 403
GEK10061.1,HCA 2Ãþ
GEK10061.2,HCA 2Ãþ
GEK10066.1,NTH 313
GEK10077.1,NTH 213
GEK10087.1,HDH 418B
GEK10088.1,OH 305
GEK10088.2,OH 305
GEK10089.1,NMH 404
GEK10089.2,NMH 404
GEK10090.1,OH 405
GEK10091.1,NTH 412
GEK10095.1,OH 402
GEK10095.3,HDH 418B
GEK10096.4,HDH 418B
GEK10098.1,HCA 2Ãþ
GEK20017.1,OH 420
GEK20019.2,HDH 303A
GEK20028.4,NMH 404
GEK20042.2,OH 401
GEK20058.7,OH 421
GEK20058.8,OH 403
GEK20058.9,NMH 403
GEK20064.4,NMH 403
GEK30014.2,OH 420
GEK30022.2,NTH 213
GEK30030.1,OH 403
GEK30045.1,NMH 410A
ISL10091.1,NMH 410B
ISL10091.2,NMH 410B
PCO10012.12,GLC 305
PCO10012.13,GLC 304
PCO10012.14,GLC 302
PCO10012.15,GLC 301
PCO10012.16,GLC 301
PCO10012.17,GLC 302
PCO10012.18,GLC 302
PCO10012.19,GLC 302
PCO10013.6,GLC 301
PCO10013.7,GLC 301
PCO10013.8,GLC 301
PCO10013.9,GLC 101
PCO10013.10,GLC 101
PCO10013.11,GLC 101
PCO10013.12,GLC 106
PCO10013.13,GLC 106
PCO10013.14,GLC 106
PCO10013.15,GLC 303
PCO10013.16,GLC 303
PCO10013.17,GLC 303
PCO10015.1,HDH 303A
PCO10024.3,HDH 425B
PCO10058.2,OH 302
PCO10058.3,HDH 403
PCO20004.1,GLC 304
PCO20004.2,GLC 101
PCO20004.3,GLC 304
PCO20004.10,GLC 305
PCO20004.11,GLC 305
PCO20004.12,GLC 106
PCO20004.13,GLC 106
PCO20004.14,GLC 101
PCO20004.17,GLC 304
PCO20005.1,GLC 202
PCO20005.2,GLC 202
PCO20005.9,GLC 303
PCO20005.10,GLC 304
PCO20005.12,GLC 202
PCO20005.14,GLC 202
PCO20005.15,GLC 305
PCO20005.16,GLC 305
PCO20015.1,HDH 303B
PCO20016.1,HDH 303A
PCO20053.1,HDH 403
PCO20053.2,HDH 403
PCO20065.1,OH 306
CCE20001.1,ANH 313
CCE22001.1,OH 401
GEA20004.1,NTH 113
GEA20016.1,OH 421
GEA20022.1,ANH 313
GEA20051.1,ANH 313
GEA20053.1,ANH 313
GEA30018.1,NTH 113
GEA30021.1,NMH 110
ISE10002.1,HDH 318
ISE20006.1,HDH 323C
ISE20072.1,HDH 324
ISE20081.1,HDH 425B
ISE20085.1,NMH 106
ISE20086.1,HDH 320A
ISE30015.1,HDH 323C
ISE30080.1,HDH 425B
ISE30092.1,HDH 320A
ISE40073.2,HDH 323C
CCC20050.1,NMH 405
CCC20051.1,NMH 403
CCC20052.1,NMH 405
CCC20053.1,NMH 405
CCC20064.1,NMH 410B
CCC20077.1,NMH 405
CCC20086.1,NMH 107
CCC30035.1,NMH 405
CCC30067.1,NMH 410B
CCC30074.1,NMH 405
CCC30094.1,NMH 406
GMP10001.3,NMH 309
GMP20002.2,NMH 410B
GMP20002.3,NMH 309
GMP20003.3,NMH 107
GMP20009.2,OH 306
GMP30001.2,NMH 309
GMP40005.1,NMH 110
GMP40011.1,NMH 107
MEC10001.2,NMH 105
MEC10001.3,NMH 106
MEC10002.3,NMH 309
MEC20005.2,OH 306
MEC20005.3,OH 306
MEC20054.2,NMH 410B
MEC20054.3,NMH 309
MEC20055.4,NMH 107
MEC20057.2,NMH 102B
MEC20057.3,NMH 102B
MEC20057.4,NMH 102B
MEC20059.1,NMH 310
MEC20059.3,NMH 309
MEC30002.1,NMH 307
MEC30068.1,NMH 107
MEC30072.1,NMH 106
MEC30074.1,NMH 103A
LAW20008.1,ANH 302
LAW30009.1,ANH 304
LAW30014.1,ANH 305
LAW30071.1,ANH 305
LAW30072.1,ANH 305
LAW30074.1,ANH 304
UIL30014.1,ANH 302
UIL30015.1,ANH 304
UIL30018.1,ANH 304
UIL40015.1,ANH 305
UIL40075.1,ANH 305
CSW20001.3,NMH 207
CSW20012.1,NMH 105
CSW20012.2,HDH 318
CSW20015.2,HDH 320B
CSW20019.1,NMH 309
CSW20021.1,NMH 309
CSW20054.1,HDH 318
CSW30006.2,NMH 207
CSW30008.1,HDH 320B
CSW30012.1,NMH 207
CSW30019.1,OH 402
CSW30021.1,NMH 103A
CSW30026.1,NMH 207
CSW30055.1,HDH 320B
CSW40010.3,NTH 212
CSW40051.1,HDH 318
BFT20002.1,OH 405
BFT30001.1,OH 405
BFT30010.2,NMH 307
BFT30016.1,NMH 307
BFT40052.1,NMH 307
ECE20010.2,OH 401
ECE20051.1,OH 305
ECE20051.3,NTH 212
ECE20057.2,OH 305
ECE20060.1,NTH 417
ECE30030.1,NTH 313
ECE30051.1,NTH 311
ECE30063.1,NTH 311
ECE40047.1,NTH 414
ITP20001.1,OH 401
ITP20003.1,OH 403
ITP30008.1,OH 403
ITP40001.1,NTH 313
ITP40004.1,NTH 310
IID10004.3,NMH 204
IID20006.2,NMH 208
IID20006.3,NMH 202
IID20013.2,NMH 204
IID20055.2,HDH 402
IID20055.4,HDH 402
IID20059.1,NMH 204
IID20059.3,NMH 208
IID30011.1,NMH 205B
IID30067.1,HDH 402
IID30067.2,HDH 402
IID30068.1,NMH 208
IID30068.2,NMH 208
IID30076.1,NMH 202
IID30078.1,NMH 208
IID30086.2,NMH 202
IID30086.3,NMH 202
IID40059.1,NMH 103A
HMM10041.1,OH 305
HMM10041.2,OH 401
HMM20028.1,NTH 120B
HMM20041.1,ANH 302
HMM20041.2,NTH 214
HMM30055.2,NTH 118
CUE20003.1,NTH 215
CUE20005.1,NTH 212
CUE20011.1,NTH 310
CUE30001.2,NTH 220
CUE30003.1,NTH 218
CUE30019.1,NTH 212
CUE40003.1,NTH 217
CUE40052.1,NTH 212
CUE40053.1,NTH 218
