year,semester,subjectCode,num_x,capacity,classroom,student_count,time,time_conv,course,random.ID,num_y
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,GxPxazRu,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,jLy6lu4Q,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,NFOcelEL,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,OzPHKshf,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,huYA3Yxl,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,3f4ACPeb,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,7xidEXfc,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,kbj2OIWp,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,yE00db7A,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,EmqbMUjM,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,R7FjwW1d,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,j4ew7Qql,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,HigN3q8J,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,QS1C2tol,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,BA9PQBAP,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,NW4ZKYvJ,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,PhO4PgQ8,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,8RQ0q1r1,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,aIMTBl0K,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,ZDjKijZq,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,W70xjjWh,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,3AnTbQKR,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,dATt7GBM,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,xp7UqUxI,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,YAGpKuEw,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,iSoht6mN,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,csPp8OKY,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,GL45nnd5,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,w4FJNuuw,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,0KsJYER8,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,vGPPDxd0,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,staVwmJd,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,kYS4jxkc,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,QVzp4x3U,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,pFM9QIp8,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,H62ShwwT,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,1y8G9X03,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,CtGBzSbm,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,mdqrqwoQ,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,ChtfWATE,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,RkAx4bRb,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,KR1urou6,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,010IYR2J,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,4B2CxIPR,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,B65ZfpOq,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,cA6tsZNR,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,0Km9fwVb,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,pAqywWd8,5
2015,1,GCS10001,5,45,HDH 424,49,"T1,F1","[13, 49]",GCS10001.5,vO0thS37,5
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,LoGalBsU,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,pk7gxeDe,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,8QlamxTm,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,i9eCNFSe,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,2hAe47lt,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,VB9c5V4P,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,LRKQ46jk,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,H24ST15w,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,BGTtLjI7,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,af0YYHSV,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,RYhRygLs,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,ySHIROnd,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,AmTKouj3,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,aIV2z1iD,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,yUlpFS7o,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,RvWSGgDN,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,fGe0Lm0x,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,CYdytgTN,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,aNWhidNH,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,etDdUyhp,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,EzDCol0d,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,mi31kQE7,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,WD1kMaXX,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,QoY7CYgE,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,Nh1YChM8,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,shwUdc8o,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,NU2skqTi,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,W9fIcYWF,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,7G09e7zg,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,KXTvxZ8H,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,obW3Omxf,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,n33XSD7i,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,qcSHtyly,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,ocKDl0Y2,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,iBDKlffM,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,Ew5FPe6e,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,J7eChk17,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,PxtHp7X7,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,EQ5gRva4,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,M9Q4dj1q,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,hBZleQRX,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,nB1Nb3Y0,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,swJagnb9,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,rj3UwiVL,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,l7mLs6m0,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,TgMqWuvO,6
2015,1,GCS10001,6,45,HDH 424,49,"T2,F2","[14, 50]",GCS10001.6,BBDLhbng,6
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,k1RoF8vy,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,NK0aYFnj,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,dhS7Xj7F,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,OWVV5j2J,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,5iX7gxbq,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,FlDC6PUv,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,vYE1LrED,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,veuauYpc,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,gdQXyz4h,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,sYxbDNky,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,4PzIIfUj,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,hciSur3a,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,EwXdSgEm,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,IhqdsBuk,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,8spbqEgf,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,NDbTkknU,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,yPDSIkvq,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,yDJtTSMQ,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,3ACPYIUg,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,I2e5VJtZ,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,NcjC670y,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,idnPuWY9,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,obEvR82n,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,4axYbJvq,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,CXAHusFS,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,l67xqw94,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,2QW6xt03,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,VvTwKjvF,7
2015,1,GCS10001,7,45,HDH 424,49,"T3,F3","[15, 51]",GCS10001.7,gYsYgaZN,7
