Source course,Dest course,Count
MEC10001.3,PCO10013.8,2
MEC10001.3,CCC20051.1,2
MEC10001.3,GCS10037.4,4
MEC10001.3,CCC30094.1,1
MEC10001.3,PCO10013.10,2
MEC10001.3,GCS10010.5,2
MEC10001.2,GCS10037.9,2
MEC10001.2,GEK20058.8,2
MEC10001.2,GEK10095.3,16
MEC10001.2,GEK10095.1,16
MEC10001.2,GCS10001.7,2
MEC10001.2,PCO10012.17,2
MEC10001.2,ISL10091.2,2
MEC10001.2,GCS10002.6,4
MEC10001.2,GCS10033.3,2
MEC10001.2,GEK20064.4,2
MEC10001.2,GEK30045.1,4
MEC10001.2,PCO10012.15,2
PCO10013.9,GEK10030.1,2
PCO10013.9,GEK30045.1,2
PCO10013.9,GCS10002.6,2
PCO10013.8,GEK20017.1,4
PCO10013.8,GEK10090.1,2
PCO10013.7,GEK10061.2,2
PCO10013.7,GEK10030.1,4
PCO10013.7,GCS10028.1,2
PCO10013.7,GCS10002.6,2
PCO10013.7,GEK10095.3,2
PCO10013.6,GEK10041.2,2
PCO10013.6,GEK10035.1,1
PCO10013.6,GEK10055.1,2
PCO10013.6,ISL10091.1,2
PCO10013.6,GCS10002.5,2
PCO10013.6,GEK10061.1,2
PCO10013.6,GEK20058.9,4
CSW30019.1,CSW20015.2,1
GEK20019.2,GEK10058.2,4
CSW40051.1,ISL10091.1,2
ITP30008.1,ECE30030.1,12
MEC30002.1,MEC10001.3,2
MEC30002.1,GMP40005.1,4
MEC30002.1,GEK10030.1,2
MEC30002.1,PCO10012.15,2
MEC30002.1,GEK30045.1,2
CSW20019.1,GEK20017.1,1
CSW20019.1,CSW20012.2,2
CSW30012.1,CSW20012.2,6
GEK30014.2,GCS10001.7,2
GEK30014.2,GCS10037.9,4
GEK30014.2,GEK10055.2,2
GEK30014.2,GEK10030.1,4
GEK30014.2,GCS10002.6,2
LAW30014.1,CCE22001.1,2
MEC30072.1,GEK10030.1,2
GEK10089.1,GCS10033.4,2
GCS10037.10,GCS10001.7,4
GCS10037.10,GCS10002.6,6
IID20059.1,ECE20057.2,1
IID20059.1,MEC20055.4,1
IID20059.1,CCC30094.1,1
CSW20001.3,GCS10028.1,2
CSW20001.3,ISL10091.2,2
CSW20001.3,LAW20008.1,2
CSW20001.3,GCS10041.2,1
CSW20001.3,MEC20059.1,2
CSW20001.3,ISE10002.1,2
CSW20001.3,GEK30045.1,8
GEK30045.1,GCS10037.4,2
CSW20054.1,GCS10037.9,4
CSW20054.1,GEK20058.8,2
CSW20054.1,GEK10030.1,2
CSW20054.1,GCS10028.1,2
CSW20054.1,ISE10002.1,2
CSW20054.1,PCO10013.16,2
CSW20054.1,CSW20019.1,5
CSW20054.1,LAW20008.1,6
CSW20054.1,PCO10013.13,2
CSW20054.1,CCC30035.1,2
CSW20054.1,GCS10041.2,1
CSW20054.1,CSW20012.1,6
CSW20054.1,GEK10061.2,2
