"random.ID","입학일자","교육과정","등록학기","학년","주야","현학적","학과명","성별","전공1","전공2","부전공","비고","공학인증여부"
"p6J1tdI3",20130301,140,3,2,"주간","복학","상담심리사회복지학부","남","상담심리학","사회복지학","","복수",""
"sZM6j0bZ",20130301,140,7,4,"주간","입학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"S7vEZKfC",20130301,140,5,3,"주간","군입대휴학","콘텐츠융합디자인학부","남","시각디자인","제품디자인","","복수",""
"R7LAzLPE",20130301,140,6,3,"주간","복학","공간환경시스템공학부","여","건설공학","도시환경공학","","복수",""
"YvdnZjvq",20130301,140,5,3,"주간","일반휴학","전산전자공학부","여","컴퓨터공학","경영학","","연계",""
"7kMX74F0",20130301,140,7,4,"주간","입학","공간환경시스템공학부","여","도시환경공학","Global Entrepreneurship","","연계",""
"gunSzigj",20130301,140,5,3,"주간","복학","경영경제학부","남","경영학","경제학","","복수",""
"Nj9yeOp6",20130301,140,1,1,"주간","군입대휴학","글로벌리더십학부","남","","","","",""
"KQb8aTLr",20130301,140,5,3,"주간","복학","콘텐츠융합디자인학부","여","시각디자인","상담심리학","","연계",""
"ma4ty8WZ",20130301,140,7,4,"주간","입학","생명과학부","여","생명과학(66)","","","",""
"fYXQ5Bi1",20130301,140,4,2,"주간","군입대휴학","상담심리사회복지학부","남","사회복지학","상담심리학","","복수",""
"Sx9ge61h",20130301,140,6,3,"주간","일반휴학","경영경제학부","남","경영학","경제학","","복수",""
"wKBHRZyP",20130301,140,7,4,"주간","입학","콘텐츠융합디자인학부","여","제품디자인","시각디자인","","복수",""
"4oxam5lI",20130301,140,5,3,"주간","군입대휴학","기계제어공학부","남","기계공학","한국법","","연계",""
"0OP355Ei",20130301,140,3,2,"주간","군입대휴학","전산전자공학부","남","컴퓨터공학","전자공학","","복수",""
"fDBFr8Wc",20130301,140,4,2,"주간","군입대휴학","경영경제학부","남","경영학","경제학","","복수",""
"3PnxGp9a",20130301,130,4,2,"주간","제적","생명과학부","남","생명과학(66)","","","",""
"sGcfg7cP",20130301,140,6,3,"주간","복학","경영경제학부","여","경영학","Global Entrepreneurship","","연계",""
"F0V2QaF9",20130301,140,2,1,"주간","군입대휴학","경영경제학부","남","경영학","상담심리학","","연계",""
"2AgHFcuS",20130301,140,3,2,"주간","군입대휴학","경영경제학부","남","경제학","경영학","","복수",""
"pyNmcwp2",20130301,140,4,2,"주간","군입대휴학","경영경제학부","남","경영학","컴퓨터공학","","연계",""
"OQz9i3S7",20130301,140,6,3,"주간","복학","법학부","여","한국법","사회복지학","","연계",""
"W8UXuetE",20130301,140,6,3,"주간","복학","국제어문학부","여","국제지역학","US and International Law","","연계",""
"YeReiKH0",20130301,140,6,3,"주간","일반휴학","생명과학부","여","생명과학(66)","","","",""
"WXQH4tH4",20130301,140,6,3,"주간","일반휴학","경영경제학부","여","경제학","국제지역학","","연계",""
"8vpZ7eSv",20130301,140,7,4,"주간","입학","상담심리사회복지학부","남","상담심리학","사회복지학","","복수",""
"AxXMJozU",20130301,140,6,3,"주간","복학","경영경제학부","여","경영학","상담심리학","","연계",""
"MulOe9kt",20130301,140,6,3,"주간","일반휴학","언론정보문화학부","여","언론정보학","영어","","연계",""
"qMJA7LkI",20130301,140,2,1,"주간","군입대휴학","법학부","남","한국법","US and International Law","","복수",""
"AwuJ8s0O",20130301,130,3,2,"주간","복학","경영경제학부","남","경영학","한국법","","연계",""
"8zIPy9np",20130301,140,7,4,"주간","입학","콘텐츠융합디자인학부","여","시각디자인","제품디자인","","복수",""
"wP53rVGQ",20130301,130,7,4,"주간","입학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
"oG1MptNl",20130301,140,4,2,"주간","일반휴학","언론정보문화학부","여","공연영상학","언론정보학","","복수",""
"QXuOddXh",20130301,140,7,4,"주간","입학","콘텐츠융합디자인학부","여","시각디자인","제품디자인","","복수",""
"n9BH54r2",20130301,140,3,2,"주간","일반휴학","전산전자공학부","여","컴퓨터공학심화","","","","공학인증"
"vGgxUgv2",20130301,130,7,4,"주간","입학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"Y6e3XXlE",20130301,140,7,4,"주간","입학","상담심리사회복지학부","남","상담심리학","영어","","연계",""
"7yJiQA3w",20130301,140,4,2,"주간","일반휴학","공간환경시스템공학부","남","건설공학","도시환경공학","","복수",""
"mfayESdi",20130301,140,3,2,"주간","군입대휴학","경영경제학부","남","경영학","컴퓨터공학","","연계",""
"ZaE8WiDS",20130301,140,7,4,"주간","입학","공간환경시스템공학부","여","건설공학","언론정보학","","연계",""
"hp5sYBnx",20130301,140,3,2,"주간","군입대휴학","공간환경시스템공학부","남","건설공학","도시환경공학","","복수",""
"azDm8G3H",20130301,140,7,4,"주간","입학","전산전자공학부","여","컴퓨터공학","전자공학","","복수",""
"fdZUWAkl",20130301,140,2,1,"주간","군입대휴학","생명과학부","남","생명과학(66)","","","",""
"5Ahe5iOP",20130301,140,3,2,"주간","복학","경영경제학부","남","경제학","ICT융합","","연계",""
"1u3GEBcq",20130301,140,5,3,"주간","복학","경영경제학부","여","경영학","컴퓨터공학","","연계",""
"aCpNfBfr",20130301,140,6,3,"주간","복학","상담심리사회복지학부","남","상담심리학","사회복지학","","복수",""
"A77yGd2X",20130301,140,7,4,"주간","입학","경영경제학부","남","경제학","사회복지학","","연계",""
"S6PYI8ZC",20130301,140,6,3,"주간","복학","생명과학부","여","생명과학(66)","","","",""
"4Q1si8Al",20130301,140,4,2,"주간","군입대휴학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"BLKZDBtI",20130301,140,7,4,"주간","입학","언론정보문화학부","여","언론정보학","Global Entrepreneurship","","연계",""
"qnWzPlGS",20130301,130,6,3,"주간","복학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"qTaqa44Q",20130301,140,3,2,"주간","군입대휴학","전산전자공학부","남","전자공학","Information Technology","","복수",""
"oJGVdjWx",20130301,140,7,4,"주간","입학","국제어문학부","여","영어","상담심리학","","연계",""
"uvu8ueSL",20130301,140,3,2,"주간","복학","전산전자공학부","남","전자공학심화","","","","공학인증"
"S9XPgjUE",20130301,140,3,2,"주간","군입대휴학","생명과학부","남","생명과학(33)","상담심리학","","연계",""
"5yBb8eFr",20130301,140,7,4,"주간","입학","경영경제학부","여","경영학","전자공학","","연계",""
"tvSlkESt",20130301,140,7,4,"주간","입학","국제어문학부","여","국제지역학","상담심리학","","연계",""
"pg2kJfSL",20130301,140,4,2,"주간","일반휴학","공간환경시스템공학부","여","건설공학","도시환경공학","","복수",""
"ekPUP8rR",20130301,140,7,4,"주간","입학","언론정보문화학부","여","언론정보학","시각디자인","","연계",""
"j5NfTbkb",20130301,140,3,2,"주간","군입대휴학","공간환경시스템공학부","남","도시환경공학","건설공학","","복수",""
"3cnSuYHp",20130301,130,3,2,"주간","복학","공간환경시스템공학부","남","건설공학","도시환경공학","","복수",""
"WU3wS3bi",20130301,140,3,2,"주간","군입대휴학","법학부","남","한국법","US and International Law","","복수",""
"DpSYASSv",20130301,140,7,4,"주간","입학","법학부","여","US and International Law","한국법","","복수",""
"Pagplkwl",20130301,140,7,4,"주간","입학","콘텐츠융합디자인학부","여","시각디자인","Global Entrepreneurship","","연계",""
"nbLOQbxm",20130301,140,6,3,"주간","일반휴학","콘텐츠융합디자인학부","여","시각디자인","경영학","","연계",""
"7jSCzBL3",20130301,140,3,2,"주간","복학","법학부","남","한국법","언론정보학","","연계",""
"77bU6N4H",20130301,140,3,2,"주간","군입대휴학","전산전자공학부","남","컴퓨터공학","전자공학","","복수",""
"PK7FJttv",20130301,140,7,4,"주간","입학","기계제어공학부","여","기계공학","전자제어공학","","복수",""
"y8E0KebC",20130301,140,7,4,"주간","입학","국제어문학부","여","영어","상담심리학","","연계",""
"9fUS9BCH",20130301,140,4,2,"주간","군입대휴학","전산전자공학부","남","컴퓨터공학","경영학","","연계",""
"StSYnHLc",20130301,140,4,2,"주간","군입대휴학","전산전자공학부","남","컴퓨터공학","전자공학","","복수",""
"if2Zb9nk",20130301,140,7,4,"주간","입학","언론정보문화학부","여","공연영상학","상담심리학","","연계",""
"TYRILnYa",20130301,140,5,3,"주간","군입대휴학","상담심리사회복지학부","남","상담심리학","국제지역학","","연계",""
"n3pWaZJB",20130301,140,7,4,"주간","입학","국제어문학부","여","국제지역학","경영학","","연계",""
"xqpiB0am",20130301,140,5,3,"주간","복학","상담심리사회복지학부","여","사회복지학","영어","","연계",""
"303ZCYVg",20130301,130,6,3,"주간","복학","생명과학부","남","생명과학(33)","US and International Law","","연계",""
"HvtiyNoQ",20130301,140,7,4,"주간","입학","생명과학부","남","생명과학(33)","상담심리학","","연계",""
"tgnMrwzH",20130301,140,5,3,"주간","일반휴학","경영경제학부","여","경영학","Global Entrepreneurship","","연계",""
"F476zRHR",20130301,140,7,4,"주간","입학","생명과학부","여","생명과학(33)","상담심리학","","연계",""
"6l9rlZIK",20130301,140,4,2,"주간","군입대휴학","전산전자공학부","남","컴퓨터공학","전자공학","","복수",""
"L7NwoYTY",20130301,140,5,3,"주간","일반휴학","기계제어공학부","여","기계공학","전자제어공학","","복수",""
"ojXrsFnY",20130301,140,4,2,"주간","제적","공간환경시스템공학부","여","도시환경공학","US and International Law","","연계",""
"h9lJ2wSL",20130301,140,7,4,"주간","입학","상담심리사회복지학부","여","사회복지학","상담심리학","","복수",""
"Lh3YZlj8",20130301,140,4,2,"주간","일반휴학","경영경제학부","여","경영학","경제학","","복수",""
"iUFpdfeV",20130301,140,7,4,"주간","입학","공간환경시스템공학부","여","건설공학","도시환경공학","","복수",""
"xm8vkQMp",20130301,140,6,3,"주간","일반휴학","콘텐츠융합디자인학부","여","시각디자인","상담심리학","","연계",""
"b871B03p",20130301,130,4,2,"주간","복학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
"SeaCOqCC",20130301,140,6,3,"주간","복학","전산전자공학부","여","컴퓨터공학","전자공학","","복수",""
"jAoEOlvf",20130301,140,7,4,"주간","입학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
"6slhmCCl",20130301,140,5,3,"주간","일반휴학","국제어문학부","여","영어","시각디자인","","연계",""
"ihkXs9ej",20130301,140,3,2,"주간","군입대휴학","국제어문학부","남","국제지역학","한국법","","연계",""
"BDInJIqa",20130301,140,3,2,"주간","군입대휴학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"HT7HgTnT",20130301,140,4,2,"주간","일반휴학","법학부","남","한국법","경제학","","연계",""
"yOnwUDYf",20130301,140,4,2,"주간","군입대휴학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"BkzDDuY6",20130301,140,3,2,"주간","군입대휴학","전산전자공학부","남","컴퓨터공학","전자공학","","복수",""
"mH3rpOcc",20130301,140,4,2,"주간","군입대휴학","경영경제학부","남","경영학","경제학","","복수",""
"R6gBJT0a",20130301,140,7,4,"주간","입학","경영경제학부","남","경영학","경제학","","복수",""
"k3KgwHCt",20130301,140,4,2,"주간","군입대휴학","상담심리사회복지학부","남","사회복지학","상담심리학","","복수",""
"kdi9T27y",20130301,140,3,2,"주간","복학","전산전자공학부","남","컴퓨터공학","전자공학","","복수",""
"Z05oDlEL",20130301,140,5,3,"주간","복학","콘텐츠융합디자인학부","여","시각디자인","제품디자인","","복수",""
"t83GCO5B",20130301,140,5,3,"주간","일반휴학","전산전자공학부","여","전자공학심화","","","","공학인증"
"eJg6xXEB",20130301,130,6,3,"주간","제적","언론정보문화학부","남","언론정보학","상담심리학","Global Entrepreneurship","연계",""
"wCgiazm0",20130301,140,3,2,"주간","군입대휴학","상담심리사회복지학부","남","상담심리학","영어","","연계",""
"AkPPFoz7",20130301,140,4,2,"주간","군입대휴학","생명과학부","남","생명과학(66)","","","",""
"DlXfgZ0j",20130301,140,7,4,"주간","입학","상담심리사회복지학부","여","상담심리학","영어","","연계",""
"jB1JeN2h",20130301,140,5,3,"주간","군입대휴학","상담심리사회복지학부","남","상담심리학","사회복지학","","복수",""
"FIX2Fr65",20130301,140,5,3,"주간","일반휴학","언론정보문화학부","여","언론정보학","Global Entrepreneurship","","연계",""
"yraayPFz",20130301,140,4,2,"주간","군입대휴학","상담심리사회복지학부","남","사회복지학","국제지역학","","연계",""
"JNyLWQU1",20130301,140,3,2,"주간","군입대휴학","전산전자공학부","남","컴퓨터공학심화","","","","공학인증"
"sIGf5mdC",20130301,140,6,3,"주간","일반휴학","콘텐츠융합디자인학부","여","시각디자인","컴퓨터공학","","연계",""
"KvReht3m",20130301,140,2,1,"주간","군입대휴학","기계제어공학부","남","전자제어공학","기계공학","","복수",""
"3jsGVKqR",20130301,140,4,2,"주간","군입대휴학","언론정보문화학부","남","언론정보학","공연영상학","","복수",""
"R9hwfLDc",20130301,140,7,4,"주간","입학","경영경제학부","여","경영학","제품디자인","","연계",""
"tundZpUp",20130301,140,3,2,"주간","일반휴학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"zC3I9OxF",20130301,140,3,2,"주간","복학","경영경제학부","남","경영학","국제지역학","","연계",""
"Qv2HLKja",20130301,140,3,2,"주간","복학","전산전자공학부","남","컴퓨터공학","전자공학","","복수",""
"sDg9Go3Z",20130301,140,3,2,"주간","복학","국제어문학부","남","국제지역학","영어","","복수",""
"w4UJHYIb",20130301,140,3,2,"주간","군입대휴학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"o84qMUtz",20130301,140,5,3,"주간","일반휴학","경영경제학부","여","경영학","US and International Law","","연계",""
"iPfoZ0E8",20130301,140,3,2,"주간","복학","경영경제학부","남","경영학","경제학","","복수",""
"SVCFnYe4",20130301,140,7,4,"주간","입학","콘텐츠융합디자인학부","여","시각디자인","제품디자인","","복수",""
"J7s2vyqp",20130301,140,3,2,"주간","군입대휴학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"pKJfrK7z",20130301,140,3,2,"주간","복학","전산전자공학부","남","전자공학심화","","","","공학인증"
"qMv4eKS9",20130301,140,3,2,"주간","군입대휴학","경영경제학부","남","경영학","경제학","","복수",""
"In52PRRI",20130301,140,4,2,"주간","일반휴학","법학부","남","한국법","US and International Law","","복수",""
"su82SFKR",20130301,140,5,3,"주간","복학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
"MlkJVPXp",20130301,140,5,3,"주간","일반휴학","공간환경시스템공학부","여","도시환경공학","컴퓨터공학","","연계",""
"fU3WSrX7",20130301,140,1,1,"주간","제적","글로벌리더십학부","남","전자공학심화","","","","공학인증"
"NdmG450r",20130301,140,3,2,"주간","복학","전산전자공학부","남","컴퓨터공학","경영학","","연계",""
"7PgixkwK",20130301,140,4,2,"주간","복학","상담심리사회복지학부","남","상담심리학","사회복지학","","복수",""
"4CCHrBUQ",20130301,140,6,3,"주간","일반휴학","법학부","여","US and International Law","국제지역학","","연계",""
"faldrdwv",20130301,140,6,3,"주간","일반휴학","콘텐츠융합디자인학부","여","시각디자인","Global Entrepreneurship","","연계",""
"YdVn11mc",20130301,140,6,3,"주간","일반휴학","법학부","여","한국법","US and International Law","","복수",""
"Rh4wXffM",20130301,140,4,2,"주간","군입대휴학","경영경제학부","남","경제학","US and International Law","","연계",""
"5eI2Y07z",20130301,140,3,2,"주간","군입대휴학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"VSWLwGuK",20130301,140,6,3,"주간","복학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
"EfxRkX2y",20130301,140,4,2,"주간","일반휴학","콘텐츠융합디자인학부","여","시각디자인","제품디자인","","복수",""
"9CCuRtIJ",20130301,140,5,3,"주간","재입학","법학부","여","한국법","국제지역학","","연계",""
"6I6AunZ6",20130301,140,3,2,"주간","군입대휴학","전산전자공학부","남","컴퓨터공학심화","","","","공학인증"
"YDT1mQh3",20130301,140,7,4,"주간","입학","경영경제학부","여","경영학","상담심리학","","연계",""
"dfzNJfnp",20130301,140,5,3,"주간","복학","경영경제학부","여","경영학","상담심리학","","연계",""
"tZb55XKC",20130301,140,3,2,"주간","군입대휴학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"hHIfaNIb",20130301,140,6,3,"주간","복학","법학부","여","한국법","US and International Law","","복수",""
"hRuIEf7k",20130301,140,4,2,"주간","군입대휴학","공간환경시스템공학부","남","도시환경공학","건설공학","","복수",""
"FFSLEL6Z",20130301,140,7,4,"주간","입학","콘텐츠융합디자인학부","여","시각디자인","상담심리학","","연계",""
"x3IMpJAq",20130301,140,7,4,"주간","입학","경영경제학부","여","경영학","상담심리학","","연계",""
"KXeiQvmQ",20130301,140,3,2,"주간","군입대휴학","경영경제학부","남","경제학","경영학","","복수",""
"glXDOx5U",20130301,140,4,2,"주간","복학","언론정보문화학부","남","공연영상학","언론정보학","","복수",""
"DJ7yQjVs",20130301,140,2,1,"주간","군입대휴학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"jBHkCjVq",20130301,140,7,4,"주간","입학","국제어문학부","여","국제지역학","공연영상학","","연계",""
"OwT8z3rq",20130301,140,3,2,"주간","복학","전산전자공학부","남","컴퓨터공학","Global Entrepreneurship","","연계",""
"FbnfEF2e",20130301,140,4,2,"주간","군입대휴학","상담심리사회복지학부","남","사회복지학","US and International Law","","연계",""
"tQYdWaEB",20130301,140,6,3,"주간","일반휴학","국제어문학부","여","영어","경영학","","연계",""
"tNZctPdg",20130301,140,5,3,"주간","군입대휴학","공간환경시스템공학부","남","건설공학","경영학","","연계",""
"iyBZaP8k",20130301,140,7,4,"주간","입학","언론정보문화학부","여","공연영상학","Global Entrepreneurship","시각디자인","연계",""
"0kpIvwfL",20130301,140,4,2,"주간","복학","경영경제학부","남","경영학","Global Entrepreneurship","","연계",""
"boeZ2cAQ",20130301,140,7,4,"주간","입학","전산전자공학부","여","컴퓨터공학","전자공학","","복수",""
"F8QYdftq",20130301,140,6,3,"주간","일반휴학","법학부","여","한국법","상담심리학","","연계",""
"w6VLjZOb",20130301,140,7,4,"주간","입학","경영경제학부","여","경영학","국제지역학","","연계",""
"Y5oHgIJX",20130301,140,4,2,"주간","군입대휴학","경영경제학부","남","경영학","Global Entrepreneurship","","연계",""
"kpniGDhL",20130301,140,3,2,"주간","군입대휴학","경영경제학부","남","경영학","국제지역학","","연계",""
"pLnJQ6nE",20130301,140,3,2,"주간","복학","상담심리사회복지학부","남","사회복지학","국제지역학","","연계",""
"uB9L0oo1",20130301,140,3,2,"주간","복학","생명과학부","남","생명과학(66)","","","",""
"D7E6m04Q",20130301,140,6,3,"주간","복학","국제어문학부","여","국제지역학","언론정보학","","연계",""
"cTz69MKh",20130301,140,2,1,"주간","군입대휴학","경영경제학부","남","경영학","국제지역학","","연계",""
"gaZ78YaD",20130301,140,5,3,"주간","복학","법학부","남","한국법","US and International Law","","복수",""
"Mb9kqmxj",20130301,140,6,3,"주간","복학","국제어문학부","여","영어","시각디자인","","연계",""
"3SsMaGhv",20130301,140,3,2,"주간","복학","경영경제학부","남","경영학","컴퓨터공학","","연계",""
"LKhFcZxs",20130301,140,5,3,"주간","복학","전산전자공학부","여","컴퓨터공학","전자공학","","복수",""
"wpMh85g9",20130301,140,6,3,"주간","복학","공간환경시스템공학부","여","도시환경공학","경영학","","연계",""
"5LiwJ2ti",20130301,140,4,2,"주간","복학","생명과학부","여","생명과학(33)","상담심리학","","연계",""
"pXwiIGye",20130301,140,6,3,"주간","복학","공간환경시스템공학부","여","건설공학","도시환경공학","","복수",""
"Ev6oX2g0",20130301,140,7,4,"주간","입학","경영경제학부","여","경영학","제품디자인","시각디자인","연계",""
"thgLDpo1",20130301,140,5,3,"주간","일반휴학","전산전자공학부","남","컴퓨터공학심화","","","","공학인증"
"BMsUeac2",20130301,140,6,3,"주간","복학","경영경제학부","여","경제학","경영학","","복수",""
"BTGtrPfE",20130301,140,4,2,"주간","제적","전산전자공학부","남","전자공학심화","","","","공학인증"
"JhatvrLq",20130301,140,2,1,"주간","군입대휴학","생명과학부","남","생명과학(33)","컴퓨터공학","","연계",""
"2njgWVEW",20130301,140,5,3,"주간","일반휴학","언론정보문화학부","여","공연영상학","영어","","연계",""
"FZXxT1Xb",20130301,140,7,4,"주간","입학","공간환경시스템공학부","여","도시환경공학","경제학","","연계",""
"PniCAAC0",20130301,140,3,2,"주간","군입대휴학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"xKr3Jl7K",20130301,140,6,3,"주간","일반휴학","콘텐츠융합디자인학부","여","제품디자인","시각디자인","","복수",""
"0XpCZUeW",20130301,140,3,2,"주간","복학","전산전자공학부","남","컴퓨터공학","Global Entrepreneurship","","연계",""
"ZyTbrzfw",20130301,140,3,2,"주간","복학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"lCVAm6dn",20130301,140,7,4,"주간","입학","전산전자공학부","여","컴퓨터공학","전자공학","","복수",""
"aHd3n07k",20130301,140,4,2,"주간","군입대휴학","경영경제학부","남","경영학","경제학","","복수",""
"1ZiLNw2K",20130301,140,7,4,"주간","입학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
"i6GFmcd4",20130301,140,5,3,"주간","복학","경영경제학부","여","경영학","상담심리학","","연계",""
"mf1w7UpX",20130301,140,5,3,"주간","일반휴학","상담심리사회복지학부","여","상담심리학","공연영상학","","연계",""
"POylQG1s",20130301,140,4,2,"주간","제적","경영경제학부","여","Global Management","영어","","연계",""
"l6Ddxhxg",20130301,140,7,4,"주간","입학","생명과학부","여","생명과학(66)","","","",""
"uFbEFJVk",20130301,140,1,1,"주간","군입대휴학","글로벌리더십학부","남","","","","",""
"H5ES5aZu",20130301,140,6,3,"주간","복학","경영경제학부","남","경영학","상담심리학","","연계",""
"pKbjFDeA",20130301,140,3,2,"주간","복학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"lVbSmJ3X",20130301,130,3,2,"주간","복학","전산전자공학부","남","컴퓨터공학","전자공학","","복수",""
"TUGUhsvc",20130301,140,3,2,"주간","복학","법학부","남","한국법","경영학","","연계",""
"hPkvIxl4",20130301,140,6,3,"주간","일반휴학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
"OkIeWMKE",20130301,140,6,3,"주간","일반휴학","상담심리사회복지학부","여","사회복지학","언론정보학","","연계",""
"yqfbEsMB",20130301,140,1,1,"주간","제적","글로벌리더십학부","여","","","","",""
"vZ987TeX",20130301,140,7,4,"주간","입학","콘텐츠융합디자인학부","남","시각디자인","경영학","","연계",""
"rE1AZZzy",20130301,140,7,4,"주간","입학","경영경제학부","여","경영학","시각디자인","","연계",""
"d1oOVWFS",20130301,140,7,4,"주간","입학","상담심리사회복지학부","여","사회복지학","상담심리학","","복수",""
"8BF35wUF",20130301,140,1,1,"주간","군입대휴학","글로벌리더십학부","남","","","","",""
"B4dzGeGx",20130301,140,4,2,"주간","군입대휴학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"ndknziW2",20130301,140,4,2,"주간","군입대휴학","전산전자공학부","남","컴퓨터공학심화","","","","공학인증"
"2aAcjcRh",20130301,130,7,4,"주간","입학","전산전자공학부","여","컴퓨터공학","경영학","","연계",""
"p4p8zWbq",20130301,140,3,2,"주간","복학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"TNIDXnfs",20130301,140,3,2,"주간","복학","국제어문학부","남","영어","컴퓨터공학","","연계",""
"wwiS5M79",20130301,140,3,2,"주간","복학","경영경제학부","남","경영학","언론정보학","","연계",""
"3Yr14DHO",20130301,140,7,4,"주간","입학","생명과학부","여","생명과학(66)","","","",""
"7gsFwCm9",20130301,140,3,2,"주간","복학","국제어문학부","남","국제지역학","한국법","","연계",""
"ArNpbJZC",20130301,140,4,2,"주간","군입대휴학","경영경제학부","남","경제학","경영학","","복수",""
"7MPatQ9S",20130301,140,7,4,"주간","입학","전산전자공학부","남","전자공학심화","","","","공학인증"
"mnLGahim",20130301,140,7,4,"주간","입학","전산전자공학부","남","전자공학심화","","","","공학인증"
"Yvwu4BbT",20130301,140,4,2,"주간","군입대휴학","법학부","남","한국법","US and International Law","","복수",""
"lxUxFFyE",20130301,140,7,4,"주간","입학","전산전자공학부","남","Information Technology","Global Management","","연계",""
"pXr27JJl",20130301,140,3,2,"주간","복학","전산전자공학부","남","전자공학심화","","","","공학인증"
"1edk201m",20130301,140,3,2,"주간","복학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"i73mK9d6",20130301,140,7,4,"주간","입학","기계제어공학부","여","기계공학","전자제어공학","","복수",""
"S3lnCbKc",20130301,140,4,2,"주간","군입대휴학","경영경제학부","남","경제학","경영학","","복수",""
"5y5JUpL8",20130301,140,6,3,"주간","복학","기계제어공학부","여","기계공학","전자제어공학","","복수",""
"ja91IAzE",20130301,140,2,1,"주간","군입대휴학","생명과학부","남","생명과학(33)","컴퓨터공학","","연계",""
"djgH9TyQ",20130301,140,3,2,"주간","군입대휴학","전산전자공학부","남","컴퓨터공학","전자공학","","복수",""
"revLm6SO",20130301,140,3,2,"주간","복학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"HyCyelGf",20130301,140,5,3,"주간","복학","상담심리사회복지학부","여","상담심리학","영어","","연계",""
"ZaYKfzPZ",20130301,140,5,3,"주간","복학","전산전자공학부","여","컴퓨터공학","전자공학","","복수",""
"ZDCCB9Nj",20130301,140,7,4,"주간","입학","국제어문학부","여","영어","시각디자인","","연계",""
"AXaNwsRf",20130301,140,3,2,"주간","복학","공간환경시스템공학부","남","건설공학","시각디자인","","연계",""
"fnC4mfTO",20130301,140,7,4,"주간","입학","경영경제학부","여","경제학","국제지역학","","연계",""
"0UfHkagN",20130301,140,2,1,"주간","군입대휴학","상담심리사회복지학부","남","상담심리학","사회복지학","","복수",""
"UNiWSrp0",20130301,140,3,2,"주간","군입대휴학","전산전자공학부","남","컴퓨터공학","전자공학","","복수",""
"6Jl7f8lv",20130301,140,6,3,"주간","복학","전산전자공학부","여","전자공학","컴퓨터공학","","복수",""
"PkdliKWj",20130301,140,5,3,"주간","복학","경영경제학부","여","경제학","컴퓨터공학","","연계",""
"5PhDHD5T",20130301,140,4,2,"주간","일반휴학","경영경제학부","여","경영학","국제지역학","","연계",""
"kdvAXAmO",20130301,140,3,2,"주간","군입대휴학","전산전자공학부","남","컴퓨터공학심화","","","","공학인증"
"KpOwsbNy",20130301,140,5,3,"주간","일반휴학","경영경제학부","여","경영학","시각디자인","","연계",""
"kJHqabzu",20130301,140,7,4,"주간","입학","경영경제학부","여","경제학","US and International Law","","연계",""
"qjyQwRkx",20130301,140,2,1,"주간","군입대휴학","콘텐츠융합디자인학부","남","제품디자인","시각디자인","","복수",""
"7bh8VfBW",20130301,140,6,3,"주간","복학","경영경제학부","여","경영학","경제학","","복수",""
"2d3eOFoG",20130301,140,4,2,"주간","제적","전산전자공학부","남","컴퓨터공학심화","","","","공학인증"
"0Vss2WMf",20130301,140,4,2,"주간","군입대휴학","경영경제학부","남","경제학","경영학","","복수",""
"sJmuboU4",20130301,140,5,3,"주간","일반휴학","상담심리사회복지학부","여","상담심리학","공연영상학","","연계",""
"eZLUTgVi",20130301,140,6,3,"주간","일반휴학","경영경제학부","여","경영학","제품디자인","","연계",""
"w3s3pVfA",20130301,140,7,4,"주간","입학","전산전자공학부","여","컴퓨터공학심화","","","","공학인증"
"hQodg0L0",20130301,140,7,4,"주간","입학","공간환경시스템공학부","여","건설공학","시각디자인","","연계",""
"pvi4JMMf",20130301,140,1,1,"주간","일반휴학","글로벌리더십학부","여","","","","",""
"AC3RNHov",20130301,140,3,2,"주간","복학","경영경제학부","남","경영학","공연영상학","","연계",""
"vhjpoyET",20130301,140,3,2,"주간","복학","경영경제학부","남","경영학","US and International Law","","연계",""
"4yKJYKLR",20130301,140,2,1,"주간","군입대휴학","법학부","남","한국법","US and International Law","","복수",""
