학번,입학일자,교육과정,등록학기,학년,주야,현학적,학과명,성별,전공1,전공2,부전공,비고,공학인증여부
21300532,20130301,140,3,2,주간,군입대휴학,경영경제학부,남,경제학,경영학,,복수,
21300533,20130301,140,7,4,주간,입학,경영경제학부,여,경영학,상담심리학,,연계,
21300534,20130301,140,5,3,주간,일반휴학,경영경제학부,여,경영학,경제학,,복수,
21300535,20130301,140,7,4,주간,입학,생명과학부,여,생명과학(33),컴퓨터공학,,연계,
21300536,20130301,140,7,4,주간,입학,전산전자공학부,여,컴퓨터공학심화,,,,공학인증
21300537,20130301,140,5,3,주간,일반휴학,공간환경시스템공학부,남,건설공학,도시환경공학,,복수,
21300538,20130301,140,4,2,주간,제적,상담심리사회복지학부,여,상담심리학,경영학,,연계,
21300539,20130301,140,6,3,주간,일반휴학,상담심리사회복지학부,여,사회복지학,상담심리학,,복수,
21300540,20130301,140,6,3,주간,일반휴학,국제어문학부,여,국제지역학,상담심리학,,연계,
21300541,20130301,140,7,4,주간,입학,법학부,여,US and International Law,국제지역학,,연계,
21300542,20130301,140,6,3,주간,복학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,
21300543,20130301,140,3,2,주간,군입대휴학,경영경제학부,남,경제학,경영학,,복수,
21300544,20130301,140,0,1,주간,제적,글로벌리더십학부,남,,,,,
21300545,20130301,140,3,2,주간,복학,경영경제학부,남,경영학,상담심리학,,연계,
21300546,20130301,140,5,3,주간,일반휴학,생명과학부,여,생명과학(66),,,,
21300547,20130301,140,6,3,주간,복학,경영경제학부,여,경제학,경영학,,복수,
21300548,20130301,140,6,3,주간,복학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,
21300549,20130301,140,7,4,주간,입학,법학부,남,US and International Law,상담심리학,,연계,
21300550,20130301,140,3,2,주간,복학,경영경제학부,남,경영학,컴퓨터공학,,연계,
21300551,20130301,140,4,2,주간,군입대휴학,경영경제학부,남,경영학,경제학,,복수,
21300552,20130301,140,3,2,주간,복학,전산전자공학부,남,컴퓨터공학심화,,,,공학인증
21300553,20130301,140,3,2,주간,군입대휴학,공간환경시스템공학부,남,도시환경공학,건설공학,,복수,
21300554,20130301,140,4,2,주간,복학,경영경제학부,여,경영학,경제학,,복수,
21300555,20130301,140,7,4,주간,입학,법학부,여,US and International Law,국제지역학,,연계,
21300556,20130301,140,5,3,주간,복학,경영경제학부,여,경영학,국제지역학,,연계,
21300557,20130301,140,6,3,주간,일반휴학,국제어문학부,여,국제지역학,영어,,복수,
21300558,20130301,140,7,4,주간,입학,전산전자공학부,남,전자공학심화,,,,공학인증
21300559,20130301,140,2,1,주간,제적,경영경제학부,남,경영학,경제학,,복수,
21300560,20130301,130,3,2,주간,복학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300561,20130301,140,6,3,주간,일반휴학,법학부,여,한국법,경영학,,연계,
21300562,20130301,140,6,3,주간,제적,상담심리사회복지학부,남,상담심리학,사회복지학,,복수,
21300563,20130301,140,5,3,주간,일반휴학,법학부,여,한국법,US and International Law,,복수,
21300564,20130301,140,7,4,주간,입학,국제어문학부,여,국제지역학,영어,,복수,
21300565,20130301,140,7,4,주간,입학,생명과학부,여,생명과학(66),,,,
21300566,20130301,140,6,3,주간,일반휴학,콘텐츠융합디자인학부,여,제품디자인,시각디자인,,복수,
21300567,20130301,140,2,1,주간,군입대휴학,상담심리사회복지학부,남,상담심리학,언론정보학,,연계,
21300568,20130301,140,7,4,주간,입학,국제어문학부,여,국제지역학,Global Entrepreneurship,,연계,
21300569,20130301,140,7,4,주간,입학,법학부,여,US and International Law,국제지역학,,연계,
21300570,20130301,140,4,2,주간,군입대휴학,상담심리사회복지학부,남,사회복지학,경영학,,연계,
21300571,20130301,140,6,3,주간,복학,경영경제학부,남,경제학,국제지역학,,연계,
21300572,20130301,140,2,1,주간,군입대휴학,경영경제학부,남,경영학,상담심리학,,연계,
21300573,20130301,140,0,1,주간,제적,글로벌리더십학부,남,,,,,
21300574,20130301,140,3,2,주간,복학,상담심리사회복지학부,남,상담심리학,한국법,,연계,
21300575,20130301,140,3,2,주간,복학,국제어문학부,남,국제지역학,경영학,,연계,
21300576,20130301,140,7,4,주간,입학,공간환경시스템공학부,남,도시환경공학,건설공학,,복수,
21300577,20130301,140,7,4,주간,입학,생명과학부,여,생명과학(33),경영학,,연계,
21300578,20130301,140,7,4,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,
21300579,20130301,140,7,4,주간,입학,국제어문학부,여,영어,시각디자인,,연계,
21300580,20130301,140,3,2,주간,군입대휴학,기계제어공학부,남,전자제어공학,기계공학,,복수,
21300581,20130301,140,7,4,주간,입학,생명과학부,남,생명과학(33),상담심리학,,연계,
21300582,20130301,140,7,4,주간,입학,생명과학부,남,생명과학(33),경영학,,연계,
21300583,20130301,140,3,2,주간,복학,상담심리사회복지학부,남,상담심리학,사회복지학,,복수,
21300584,20130301,140,7,4,주간,입학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300585,20130301,140,5,3,주간,군입대휴학,콘텐츠융합디자인학부,남,시각디자인,제품디자인,,복수,
21300586,20130301,140,6,3,주간,복학,공간환경시스템공학부,여,건설공학,도시환경공학,,복수,
21300587,20130301,140,5,3,주간,일반휴학,전산전자공학부,여,컴퓨터공학,경영학,,연계,
21300588,20130301,140,7,4,주간,입학,공간환경시스템공학부,여,도시환경공학,Global Entrepreneurship,,연계,
21300589,20130301,140,5,3,주간,복학,경영경제학부,남,경영학,경제학,,복수,
21300590,20130301,140,1,1,주간,군입대휴학,글로벌리더십학부,남,,,,,
21300591,20130301,140,5,3,주간,복학,콘텐츠융합디자인학부,여,시각디자인,상담심리학,,연계,
21300592,20130301,140,7,4,주간,입학,생명과학부,여,생명과학(66),,,,
21300593,20130301,140,4,2,주간,군입대휴학,상담심리사회복지학부,남,사회복지학,상담심리학,,복수,
21300594,20130301,140,6,3,주간,일반휴학,경영경제학부,남,경영학,경제학,,복수,
21300595,20130301,140,7,4,주간,입학,콘텐츠융합디자인학부,여,제품디자인,시각디자인,,복수,
21300596,20130301,140,5,3,주간,군입대휴학,기계제어공학부,남,기계공학,한국법,,연계,
21300597,20130301,140,3,2,주간,군입대휴학,전산전자공학부,남,컴퓨터공학,전자공학,,복수,
21300598,20130301,140,4,2,주간,군입대휴학,경영경제학부,남,경영학,경제학,,복수,
21300599,20130301,130,4,2,주간,제적,생명과학부,남,생명과학(66),,,,
21300600,20130301,140,6,3,주간,복학,경영경제학부,여,경영학,Global Entrepreneurship,,연계,
21300601,20130301,140,2,1,주간,군입대휴학,경영경제학부,남,경영학,상담심리학,,연계,
21300602,20130301,140,3,2,주간,군입대휴학,경영경제학부,남,경제학,경영학,,복수,
21300603,20130301,140,4,2,주간,군입대휴학,경영경제학부,남,경영학,컴퓨터공학,,연계,
21300604,20130301,140,6,3,주간,복학,법학부,여,한국법,사회복지학,,연계,
21300605,20130301,140,6,3,주간,복학,국제어문학부,여,국제지역학,US and International Law,,연계,
21300606,20130301,140,6,3,주간,일반휴학,생명과학부,여,생명과학(66),,,,
21300607,20130301,140,6,3,주간,일반휴학,경영경제학부,여,경제학,국제지역학,,연계,
21300608,20130301,140,7,4,주간,입학,상담심리사회복지학부,남,상담심리학,사회복지학,,복수,
21300609,20130301,140,6,3,주간,복학,경영경제학부,여,경영학,상담심리학,,연계,
21300610,20130301,140,6,3,주간,일반휴학,언론정보문화학부,여,언론정보학,영어,,연계,
21300611,20130301,140,2,1,주간,군입대휴학,법학부,남,한국법,US and International Law,,복수,
21300612,20130301,130,3,2,주간,복학,경영경제학부,남,경영학,한국법,,연계,
21300613,20130301,140,7,4,주간,입학,콘텐츠융합디자인학부,여,시각디자인,제품디자인,,복수,
21300614,20130301,130,7,4,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,
21300615,20130301,140,4,2,주간,일반휴학,언론정보문화학부,여,공연영상학,언론정보학,,복수,
21300616,20130301,140,7,4,주간,입학,콘텐츠융합디자인학부,여,시각디자인,제품디자인,,복수,
21300617,20130301,140,3,2,주간,일반휴학,전산전자공학부,여,컴퓨터공학심화,,,,공학인증
21300618,20130301,130,7,4,주간,입학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300619,20130301,140,7,4,주간,입학,상담심리사회복지학부,남,상담심리학,영어,,연계,
21300620,20130301,140,4,2,주간,일반휴학,공간환경시스템공학부,남,건설공학,도시환경공학,,복수,
21300621,20130301,140,3,2,주간,군입대휴학,경영경제학부,남,경영학,컴퓨터공학,,연계,
21300622,20130301,140,7,4,주간,입학,공간환경시스템공학부,여,건설공학,언론정보학,,연계,
21300623,20130301,140,3,2,주간,군입대휴학,공간환경시스템공학부,남,건설공학,도시환경공학,,복수,
21300624,20130301,140,7,4,주간,입학,전산전자공학부,여,컴퓨터공학,전자공학,,복수,
21300625,20130301,140,2,1,주간,군입대휴학,생명과학부,남,생명과학(66),,,,
21300626,20130301,140,3,2,주간,복학,경영경제학부,남,경제학,ICT융합,,연계,
21300627,20130301,140,5,3,주간,복학,경영경제학부,여,경영학,컴퓨터공학,,연계,
21300628,20130301,140,6,3,주간,복학,상담심리사회복지학부,남,상담심리학,사회복지학,,복수,
21300629,20130301,140,7,4,주간,입학,경영경제학부,남,경제학,사회복지학,,연계,
21300630,20130301,140,6,3,주간,복학,생명과학부,여,생명과학(66),,,,
21300631,20130301,140,4,2,주간,군입대휴학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300632,20130301,140,7,4,주간,입학,언론정보문화학부,여,언론정보학,Global Entrepreneurship,,연계,
21300633,20130301,130,6,3,주간,복학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300634,20130301,140,3,2,주간,군입대휴학,전산전자공학부,남,전자공학,Information Technology,,복수,
21300635,20130301,140,7,4,주간,입학,국제어문학부,여,영어,상담심리학,,연계,
21300636,20130301,140,3,2,주간,복학,전산전자공학부,남,전자공학심화,,,,공학인증
21300637,20130301,140,3,2,주간,군입대휴학,생명과학부,남,생명과학(33),상담심리학,,연계,
21300638,20130301,140,7,4,주간,입학,경영경제학부,여,경영학,전자공학,,연계,
21300639,20130301,140,7,4,주간,입학,국제어문학부,여,국제지역학,상담심리학,,연계,
21300640,20130301,140,4,2,주간,일반휴학,공간환경시스템공학부,여,건설공학,도시환경공학,,복수,
21300641,20130301,140,7,4,주간,입학,언론정보문화학부,여,언론정보학,시각디자인,,연계,
21300642,20130301,140,3,2,주간,군입대휴학,공간환경시스템공학부,남,도시환경공학,건설공학,,복수,
21300643,20130301,130,3,2,주간,복학,공간환경시스템공학부,남,건설공학,도시환경공학,,복수,
21300644,20130301,140,3,2,주간,군입대휴학,법학부,남,한국법,US and International Law,,복수,
21300645,20130301,140,7,4,주간,입학,법학부,여,US and International Law,한국법,,복수,
21300646,20130301,140,7,4,주간,입학,콘텐츠융합디자인학부,여,시각디자인,Global Entrepreneurship,,연계,
21300647,20130301,140,6,3,주간,일반휴학,콘텐츠융합디자인학부,여,시각디자인,경영학,,연계,
21300648,20130301,140,3,2,주간,복학,법학부,남,한국법,언론정보학,,연계,
21300649,20130301,140,3,2,주간,군입대휴학,전산전자공학부,남,컴퓨터공학,전자공학,,복수,
21300650,20130301,140,7,4,주간,입학,기계제어공학부,여,기계공학,전자제어공학,,복수,
21300651,20130301,140,7,4,주간,입학,국제어문학부,여,영어,상담심리학,,연계,
21300652,20130301,140,4,2,주간,군입대휴학,전산전자공학부,남,컴퓨터공학,경영학,,연계,
21300653,20130301,140,4,2,주간,군입대휴학,전산전자공학부,남,컴퓨터공학,전자공학,,복수,
21300654,20130301,140,7,4,주간,입학,언론정보문화학부,여,공연영상학,상담심리학,,연계,
21300655,20130301,140,5,3,주간,군입대휴학,상담심리사회복지학부,남,상담심리학,국제지역학,,연계,
21300656,20130301,140,7,4,주간,입학,국제어문학부,여,국제지역학,경영학,,연계,
21300657,20130301,140,5,3,주간,복학,상담심리사회복지학부,여,사회복지학,영어,,연계,
21300658,20130301,130,6,3,주간,복학,생명과학부,남,생명과학(33),US and International Law,,연계,
21300659,20130301,140,7,4,주간,입학,생명과학부,남,생명과학(33),상담심리학,,연계,
21300660,20130301,140,5,3,주간,일반휴학,경영경제학부,여,경영학,Global Entrepreneurship,,연계,
21300661,20130301,140,7,4,주간,입학,생명과학부,여,생명과학(33),상담심리학,,연계,
21300662,20130301,140,4,2,주간,군입대휴학,전산전자공학부,남,컴퓨터공학,전자공학,,복수,
21300663,20130301,140,5,3,주간,일반휴학,기계제어공학부,여,기계공학,전자제어공학,,복수,
21300664,20130301,140,4,2,주간,제적,공간환경시스템공학부,여,도시환경공학,US and International Law,,연계,
21300665,20130301,140,7,4,주간,입학,상담심리사회복지학부,여,사회복지학,상담심리학,,복수,
21300666,20130301,140,4,2,주간,일반휴학,경영경제학부,여,경영학,경제학,,복수,
21300667,20130301,140,7,4,주간,입학,공간환경시스템공학부,여,건설공학,도시환경공학,,복수,
21300668,20130301,140,6,3,주간,일반휴학,콘텐츠융합디자인학부,여,시각디자인,상담심리학,,연계,
21300669,20130301,130,4,2,주간,복학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,
21300670,20130301,140,6,3,주간,복학,전산전자공학부,여,컴퓨터공학,전자공학,,복수,
21300671,20130301,140,7,4,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,
21300672,20130301,140,5,3,주간,일반휴학,국제어문학부,여,영어,시각디자인,,연계,
21300673,20130301,140,3,2,주간,군입대휴학,국제어문학부,남,국제지역학,한국법,,연계,
21300674,20130301,140,3,2,주간,군입대휴학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300675,20130301,140,4,2,주간,일반휴학,법학부,남,한국법,경제학,,연계,
21300676,20130301,140,4,2,주간,군입대휴학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300677,20130301,140,3,2,주간,군입대휴학,전산전자공학부,남,컴퓨터공학,전자공학,,복수,
21300678,20130301,140,4,2,주간,군입대휴학,경영경제학부,남,경영학,경제학,,복수,
21300679,20130301,140,7,4,주간,입학,경영경제학부,남,경영학,경제학,,복수,
21300680,20130301,140,4,2,주간,군입대휴학,상담심리사회복지학부,남,사회복지학,상담심리학,,복수,
21300681,20130301,140,3,2,주간,복학,전산전자공학부,남,컴퓨터공학,전자공학,,복수,
21300682,20130301,140,5,3,주간,복학,콘텐츠융합디자인학부,여,시각디자인,제품디자인,,복수,
21300683,20130301,140,5,3,주간,일반휴학,전산전자공학부,여,전자공학심화,,,,공학인증
21300684,20130301,130,6,3,주간,제적,언론정보문화학부,남,언론정보학,상담심리학,Global Entrepreneurship,연계,
21300685,20130301,140,3,2,주간,군입대휴학,상담심리사회복지학부,남,상담심리학,영어,,연계,
21300686,20130301,140,4,2,주간,군입대휴학,생명과학부,남,생명과학(66),,,,
21300687,20130301,140,7,4,주간,입학,상담심리사회복지학부,여,상담심리학,영어,,연계,
21300688,20130301,140,5,3,주간,군입대휴학,상담심리사회복지학부,남,상담심리학,사회복지학,,복수,
21300689,20130301,140,5,3,주간,일반휴학,언론정보문화학부,여,언론정보학,Global Entrepreneurship,,연계,
21300690,20130301,140,4,2,주간,군입대휴학,상담심리사회복지학부,남,사회복지학,국제지역학,,연계,
21300691,20130301,140,3,2,주간,군입대휴학,전산전자공학부,남,컴퓨터공학심화,,,,공학인증
21300692,20130301,140,6,3,주간,일반휴학,콘텐츠융합디자인학부,여,시각디자인,컴퓨터공학,,연계,
21300693,20130301,140,2,1,주간,군입대휴학,기계제어공학부,남,전자제어공학,기계공학,,복수,
21300694,20130301,140,4,2,주간,군입대휴학,언론정보문화학부,남,언론정보학,공연영상학,,복수,
21300695,20130301,140,7,4,주간,입학,경영경제학부,여,경영학,제품디자인,,연계,
21300696,20130301,140,3,2,주간,일반휴학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300697,20130301,140,3,2,주간,복학,경영경제학부,남,경영학,국제지역학,,연계,
21300698,20130301,140,3,2,주간,복학,전산전자공학부,남,컴퓨터공학,전자공학,,복수,
21300699,20130301,140,3,2,주간,복학,국제어문학부,남,국제지역학,영어,,복수,
21300700,20130301,140,3,2,주간,군입대휴학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300701,20130301,140,5,3,주간,일반휴학,경영경제학부,여,경영학,US and International Law,,연계,
21300702,20130301,140,3,2,주간,복학,경영경제학부,남,경영학,경제학,,복수,
21300703,20130301,140,7,4,주간,입학,콘텐츠융합디자인학부,여,시각디자인,제품디자인,,복수,
21300704,20130301,140,3,2,주간,군입대휴학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300705,20130301,140,3,2,주간,복학,전산전자공학부,남,전자공학심화,,,,공학인증
21300706,20130301,140,3,2,주간,군입대휴학,경영경제학부,남,경영학,경제학,,복수,
21300707,20130301,140,4,2,주간,일반휴학,법학부,남,한국법,US and International Law,,복수,
21300708,20130301,140,5,3,주간,복학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,
21300709,20130301,140,5,3,주간,일반휴학,공간환경시스템공학부,여,도시환경공학,컴퓨터공학,,연계,
21300710,20130301,140,1,1,주간,제적,글로벌리더십학부,남,전자공학심화,,,,공학인증
21300711,20130301,140,3,2,주간,복학,전산전자공학부,남,컴퓨터공학,경영학,,연계,
21300712,20130301,140,4,2,주간,복학,상담심리사회복지학부,남,상담심리학,사회복지학,,복수,
21300713,20130301,140,6,3,주간,일반휴학,법학부,여,US and International Law,국제지역학,,연계,
21300714,20130301,140,6,3,주간,일반휴학,콘텐츠융합디자인학부,여,시각디자인,Global Entrepreneurship,,연계,
21300715,20130301,140,6,3,주간,일반휴학,법학부,여,한국법,US and International Law,,복수,
21300716,20130301,140,4,2,주간,군입대휴학,경영경제학부,남,경제학,US and International Law,,연계,
21300717,20130301,140,3,2,주간,군입대휴학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300718,20130301,140,6,3,주간,복학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,
21300719,20130301,140,4,2,주간,일반휴학,콘텐츠융합디자인학부,여,시각디자인,제품디자인,,복수,
21300720,20130301,140,5,3,주간,재입학,법학부,여,한국법,국제지역학,,연계,
21300721,20130301,140,3,2,주간,군입대휴학,전산전자공학부,남,컴퓨터공학심화,,,,공학인증
21300722,20130301,140,7,4,주간,입학,경영경제학부,여,경영학,상담심리학,,연계,
21300723,20130301,140,5,3,주간,복학,경영경제학부,여,경영학,상담심리학,,연계,
21300724,20130301,140,3,2,주간,군입대휴학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300725,20130301,140,6,3,주간,복학,법학부,여,한국법,US and International Law,,복수,
21300726,20130301,140,4,2,주간,군입대휴학,공간환경시스템공학부,남,도시환경공학,건설공학,,복수,
21300727,20130301,140,7,4,주간,입학,콘텐츠융합디자인학부,여,시각디자인,상담심리학,,연계,
21300728,20130301,140,7,4,주간,입학,경영경제학부,여,경영학,상담심리학,,연계,
21300729,20130301,140,3,2,주간,군입대휴학,경영경제학부,남,경제학,경영학,,복수,
21300730,20130301,140,4,2,주간,복학,언론정보문화학부,남,공연영상학,언론정보학,,복수,
21300731,20130301,140,2,1,주간,군입대휴학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300732,20130301,140,7,4,주간,입학,국제어문학부,여,국제지역학,공연영상학,,연계,
21300733,20130301,140,3,2,주간,복학,전산전자공학부,남,컴퓨터공학,Global Entrepreneurship,,연계,
21300734,20130301,140,4,2,주간,군입대휴학,상담심리사회복지학부,남,사회복지학,US and International Law,,연계,
21300735,20130301,140,6,3,주간,일반휴학,국제어문학부,여,영어,경영학,,연계,
21300736,20130301,140,5,3,주간,군입대휴학,공간환경시스템공학부,남,건설공학,경영학,,연계,
21300737,20130301,140,7,4,주간,입학,언론정보문화학부,여,공연영상학,Global Entrepreneurship,시각디자인,연계,
21300738,20130301,140,4,2,주간,복학,경영경제학부,남,경영학,Global Entrepreneurship,,연계,
21300739,20130301,140,7,4,주간,입학,전산전자공학부,여,컴퓨터공학,전자공학,,복수,
21300740,20130301,140,6,3,주간,일반휴학,법학부,여,한국법,상담심리학,,연계,
21300741,20130301,140,7,4,주간,입학,경영경제학부,여,경영학,국제지역학,,연계,
21300742,20130301,140,4,2,주간,군입대휴학,경영경제학부,남,경영학,Global Entrepreneurship,,연계,
21300743,20130301,140,3,2,주간,군입대휴학,경영경제학부,남,경영학,국제지역학,,연계,
21300744,20130301,140,3,2,주간,복학,상담심리사회복지학부,남,사회복지학,국제지역학,,연계,
21300745,20130301,140,3,2,주간,복학,생명과학부,남,생명과학(66),,,,
21300746,20130301,140,6,3,주간,복학,국제어문학부,여,국제지역학,언론정보학,,연계,
21300747,20130301,140,2,1,주간,군입대휴학,경영경제학부,남,경영학,국제지역학,,연계,
21300748,20130301,140,5,3,주간,복학,법학부,남,한국법,US and International Law,,복수,
21300749,20130301,140,6,3,주간,복학,국제어문학부,여,영어,시각디자인,,연계,
21300750,20130301,140,3,2,주간,복학,경영경제학부,남,경영학,컴퓨터공학,,연계,
21300751,20130301,140,5,3,주간,복학,전산전자공학부,여,컴퓨터공학,전자공학,,복수,
21300752,20130301,140,6,3,주간,복학,공간환경시스템공학부,여,도시환경공학,경영학,,연계,
21300753,20130301,140,4,2,주간,복학,생명과학부,여,생명과학(33),상담심리학,,연계,
21300754,20130301,140,6,3,주간,복학,공간환경시스템공학부,여,건설공학,도시환경공학,,복수,
21300755,20130301,140,7,4,주간,입학,경영경제학부,여,경영학,제품디자인,시각디자인,연계,
21300756,20130301,140,5,3,주간,일반휴학,전산전자공학부,남,컴퓨터공학심화,,,,공학인증
21300757,20130301,140,6,3,주간,복학,경영경제학부,여,경제학,경영학,,복수,
21300758,20130301,140,4,2,주간,제적,전산전자공학부,남,전자공학심화,,,,공학인증
21300759,20130301,140,2,1,주간,군입대휴학,생명과학부,남,생명과학(33),컴퓨터공학,,연계,
21300760,20130301,140,5,3,주간,일반휴학,언론정보문화학부,여,공연영상학,영어,,연계,
21300761,20130301,140,7,4,주간,입학,공간환경시스템공학부,여,도시환경공학,경제학,,연계,
21300762,20130301,140,3,2,주간,군입대휴학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300763,20130301,140,6,3,주간,일반휴학,콘텐츠융합디자인학부,여,제품디자인,시각디자인,,복수,
21300764,20130301,140,3,2,주간,복학,전산전자공학부,남,컴퓨터공학,Global Entrepreneurship,,연계,
21300765,20130301,140,3,2,주간,복학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300766,20130301,140,7,4,주간,입학,전산전자공학부,여,컴퓨터공학,전자공학,,복수,
21300767,20130301,140,4,2,주간,군입대휴학,경영경제학부,남,경영학,경제학,,복수,
21300768,20130301,140,7,4,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,
21300769,20130301,140,5,3,주간,복학,경영경제학부,여,경영학,상담심리학,,연계,
21300770,20130301,140,5,3,주간,일반휴학,상담심리사회복지학부,여,상담심리학,공연영상학,,연계,
21300771,20130301,140,4,2,주간,제적,경영경제학부,여,Global Management,영어,,연계,
21300772,20130301,140,7,4,주간,입학,생명과학부,여,생명과학(66),,,,
21300773,20130301,140,1,1,주간,군입대휴학,글로벌리더십학부,남,,,,,
21300774,20130301,140,6,3,주간,복학,경영경제학부,남,경영학,상담심리학,,연계,
21300775,20130301,140,3,2,주간,복학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300776,20130301,130,3,2,주간,복학,전산전자공학부,남,컴퓨터공학,전자공학,,복수,
21300777,20130301,140,3,2,주간,복학,법학부,남,한국법,경영학,,연계,
21300778,20130301,140,6,3,주간,일반휴학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,
21300779,20130301,140,6,3,주간,일반휴학,상담심리사회복지학부,여,사회복지학,언론정보학,,연계,
21300780,20130301,140,1,1,주간,제적,글로벌리더십학부,여,,,,,
21300781,20130301,140,7,4,주간,입학,콘텐츠융합디자인학부,남,시각디자인,경영학,,연계,
21300782,20130301,140,7,4,주간,입학,경영경제학부,여,경영학,시각디자인,,연계,
21300783,20130301,140,7,4,주간,입학,상담심리사회복지학부,여,사회복지학,상담심리학,,복수,
21300784,20130301,140,1,1,주간,군입대휴학,글로벌리더십학부,남,,,,,
21300785,20130301,140,4,2,주간,군입대휴학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300786,20130301,140,4,2,주간,군입대휴학,전산전자공학부,남,컴퓨터공학심화,,,,공학인증
21300787,20130301,130,7,4,주간,입학,전산전자공학부,여,컴퓨터공학,경영학,,연계,
21300788,20130301,140,3,2,주간,복학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300789,20130301,140,3,2,주간,복학,국제어문학부,남,영어,컴퓨터공학,,연계,
21300790,20130301,140,3,2,주간,복학,경영경제학부,남,경영학,언론정보학,,연계,
21300791,20130301,140,7,4,주간,입학,생명과학부,여,생명과학(66),,,,
21300792,20130301,140,3,2,주간,복학,국제어문학부,남,국제지역학,한국법,,연계,
21300793,20130301,140,4,2,주간,군입대휴학,경영경제학부,남,경제학,경영학,,복수,
21300794,20130301,140,7,4,주간,입학,전산전자공학부,남,전자공학심화,,,,공학인증
21300795,20130301,140,7,4,주간,입학,전산전자공학부,남,전자공학심화,,,,공학인증
21300796,20130301,140,4,2,주간,군입대휴학,법학부,남,한국법,US and International Law,,복수,
21300797,20130301,140,7,4,주간,입학,전산전자공학부,남,Information Technology,Global Management,,연계,
21300798,20130301,140,3,2,주간,복학,전산전자공학부,남,전자공학심화,,,,공학인증
21300799,20130301,140,3,2,주간,복학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300800,20130301,140,7,4,주간,입학,기계제어공학부,여,기계공학,전자제어공학,,복수,
21300801,20130301,140,4,2,주간,군입대휴학,경영경제학부,남,경제학,경영학,,복수,
21300802,20130301,140,6,3,주간,복학,기계제어공학부,여,기계공학,전자제어공학,,복수,
21300803,20130301,140,2,1,주간,군입대휴학,생명과학부,남,생명과학(33),컴퓨터공학,,연계,
21300804,20130301,140,3,2,주간,군입대휴학,전산전자공학부,남,컴퓨터공학,전자공학,,복수,
21300805,20130301,140,3,2,주간,복학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300806,20130301,140,5,3,주간,복학,상담심리사회복지학부,여,상담심리학,영어,,연계,
21300807,20130301,140,5,3,주간,복학,전산전자공학부,여,컴퓨터공학,전자공학,,복수,
21300808,20130301,140,7,4,주간,입학,국제어문학부,여,영어,시각디자인,,연계,
21300809,20130301,140,3,2,주간,복학,공간환경시스템공학부,남,건설공학,시각디자인,,연계,
21300810,20130301,140,7,4,주간,입학,경영경제학부,여,경제학,국제지역학,,연계,
21300811,20130301,140,2,1,주간,군입대휴학,상담심리사회복지학부,남,상담심리학,사회복지학,,복수,
21300812,20130301,140,3,2,주간,군입대휴학,전산전자공학부,남,컴퓨터공학,전자공학,,복수,
21300813,20130301,140,6,3,주간,복학,전산전자공학부,여,전자공학,컴퓨터공학,,복수,
21300814,20130301,140,5,3,주간,복학,경영경제학부,여,경제학,컴퓨터공학,,연계,
21300815,20130301,140,4,2,주간,일반휴학,경영경제학부,여,경영학,국제지역학,,연계,
21300816,20130301,140,3,2,주간,군입대휴학,전산전자공학부,남,컴퓨터공학심화,,,,공학인증
21300817,20130301,140,5,3,주간,일반휴학,경영경제학부,여,경영학,시각디자인,,연계,
21300818,20130301,140,7,4,주간,입학,경영경제학부,여,경제학,US and International Law,,연계,
21300819,20130301,140,2,1,주간,군입대휴학,콘텐츠융합디자인학부,남,제품디자인,시각디자인,,복수,
21300820,20130301,140,6,3,주간,복학,경영경제학부,여,경영학,경제학,,복수,
21300821,20130301,140,4,2,주간,제적,전산전자공학부,남,컴퓨터공학심화,,,,공학인증
21300822,20130301,140,4,2,주간,군입대휴학,경영경제학부,남,경제학,경영학,,복수,
