학번,입학일자,교육과정,등록학기,학년,주야,현학적,학과명,성별,전공1,전공2,부전공,비고,공학인증여부
21300066,20130301,140,4,2,주간,일반휴학,언론정보문화학부,남,공연영상학,언론정보학,,복수,
21300067,20130301,140,1,1,주간,일반휴학,글로벌리더십학부,여,,,,,
21300068,20130301,140,5,3,주간,복학,언론정보문화학부,여,언론정보학,시각디자인,,연계,
21300069,20130301,140,6,3,주간,복학,상담심리사회복지학부,여,상담심리학,컴퓨터공학,,연계,
21300070,20130301,130,6,3,주간,복학,언론정보문화학부,여,언론정보학,Global Entrepreneurship,,연계,
21300071,20130301,140,6,3,주간,일반휴학,공간환경시스템공학부,여,도시환경공학,건설공학,,복수,
21300072,20130301,140,7,4,주간,입학,경영경제학부,남,경제학,컴퓨터공학,,연계,
21300073,20130301,140,5,3,주간,복학,기계제어공학부,여,전자제어공학,기계공학,,복수,
21300074,20130301,140,5,3,주간,일반휴학,경영경제학부,여,경영학,경제학,,복수,
21300075,20130301,140,6,3,주간,복학,경영경제학부,여,경영학,국제지역학,,연계,
21300076,20130301,140,7,4,주간,입학,법학부,여,한국법,경제학,,연계,
21300077,20130301,140,5,3,주간,일반휴학,경영경제학부,남,경영학,언론정보학,,연계,
21300078,20130301,140,5,3,주간,복학,공간환경시스템공학부,남,건설공학,도시환경공학,,복수,
21300079,20130301,140,3,2,주간,군입대휴학,상담심리사회복지학부,남,상담심리학,사회복지학,,복수,
21300080,20130301,140,7,4,주간,입학,전산전자공학부,남,컴퓨터공학,전자공학,,복수,
21300081,20130301,140,4,2,주간,일반휴학,국제어문학부,남,영어,국제지역학,,복수,
21300082,20130301,140,6,3,주간,일반휴학,전산전자공학부,남,컴퓨터공학,전자공학,,복수,
21300083,20130301,140,3,2,주간,복학,경영경제학부,남,경영학,경제학,,복수,
21300084,20130301,140,6,3,주간,일반휴학,경영경제학부,여,경영학,경제학,,복수,
21300085,20130301,140,2,1,주간,군입대휴학,전산전자공학부,남,컴퓨터공학,경영학,,연계,
21300086,20130301,140,6,3,주간,복학,기계제어공학부,여,기계공학,전자제어공학,,복수,
21300087,20130301,140,4,2,주간,군입대휴학,전산전자공학부,남,컴퓨터공학,전자공학,,복수,
21300088,20130301,140,6,3,주간,복학,콘텐츠융합디자인학부,여,시각디자인,제품디자인,,복수,
21300089,20130301,140,7,4,주간,입학,기계제어공학부,여,기계공학,전자제어공학,,복수,
21300090,20130301,140,4,2,주간,군입대휴학,경영경제학부,남,경영학,경제학,,복수,
21300091,20130301,140,1,1,주간,군입대휴학,글로벌리더십학부,남,,,,,
21300092,20130301,140,3,2,주간,복학,전산전자공학부,남,전자공학심화,,,,공학인증
21300093,20130301,140,2,1,주간,군입대휴학,상담심리사회복지학부,남,상담심리학,사회복지학,,복수,
21300094,20130301,140,7,4,주간,입학,경영경제학부,여,경제학,경영학,,복수,
21300095,20130301,140,7,4,주간,입학,경영경제학부,여,경영학,시각디자인,,연계,
21300096,20130301,140,4,2,주간,군입대휴학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300097,20130301,140,5,3,주간,복학,경영경제학부,여,경영학,언론정보학,,연계,
21300098,20130301,140,7,4,주간,입학,공간환경시스템공학부,여,도시환경공학,건설공학,,복수,
21300099,20130301,140,7,4,주간,입학,경영경제학부,남,경영학,경제학,,복수,
21300100,20130301,140,6,3,주간,복학,국제어문학부,남,국제지역학,영어,,복수,
21300101,20130301,140,7,4,주간,입학,콘텐츠융합디자인학부,여,시각디자인,제품디자인,,복수,
21300102,20130301,140,1,1,주간,일반휴학,글로벌리더십학부,여,,,,,
21300103,20130301,140,5,3,주간,일반휴학,경영경제학부,여,경영학,한국법,,연계,
21300104,20130301,140,6,3,주간,복학,기계제어공학부,여,기계공학,전자제어공학,,복수,
21300105,20130301,140,2,1,주간,군입대휴학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300106,20130301,140,5,3,주간,복학,국제어문학부,여,영어,경제학,,연계,
21300107,20130301,140,4,2,주간,일반휴학,생명과학부,여,생명과학(66),,,,
21300108,20130301,140,5,3,주간,복학,언론정보문화학부,여,언론정보학,Global Entrepreneurship,,연계,
21300109,20130301,140,2,1,주간,군입대휴학,경영경제학부,남,경영학,컴퓨터공학,,연계,
21300110,20130301,140,5,3,주간,일반휴학,상담심리사회복지학부,남,상담심리학,US and International Law,,연계,
21300111,20130301,140,3,2,주간,복학,경영경제학부,남,경영학,경제학,,복수,
21300112,20130301,140,2,1,주간,군입대휴학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300113,20130301,140,7,4,주간,입학,상담심리사회복지학부,남,상담심리학,한국법,,연계,
21300114,20130301,140,7,4,주간,입학,콘텐츠융합디자인학부,여,시각디자인,제품디자인,,복수,
21300115,20130301,140,7,4,주간,입학,언론정보문화학부,여,공연영상학,경영학,,연계,
21300116,20130301,140,5,3,주간,복학,경영경제학부,여,경영학,경제학,,복수,
21300117,20130301,140,4,2,주간,군입대휴학,경영경제학부,남,경제학,한국법,,연계,
21300118,20130301,140,4,2,주간,일반휴학,경영경제학부,여,경영학,한국법,,연계,
21300119,20130301,140,7,4,주간,입학,콘텐츠융합디자인학부,남,시각디자인,상담심리학,,연계,
21300120,20130301,140,5,3,주간,일반휴학,법학부,여,US and International Law,국제지역학,,연계,
21300121,20130301,140,6,3,주간,일반휴학,콘텐츠융합디자인학부,여,시각디자인,경영학,,연계,
21300122,20130301,130,7,4,주간,입학,국제어문학부,여,국제지역학,영어,,복수,
21300123,20130301,140,7,4,주간,입학,경영경제학부,남,경영학,컴퓨터공학,,연계,
21300124,20130301,140,3,2,주간,복학,상담심리사회복지학부,여,상담심리학,국제지역학,,연계,
