year,semester,subjectCode,num,capacity,classroom,student_count,time,time_conv,course
2014,2,ENG20022,1,60,NMH 410B,27,"T6,F6","[18, 54]",ENG20022.1
2014,2,GEE20034,1,40,OH 401,54,"T4,F4","[16, 52]",GEE20034.1
2014,2,GEE40097,1,80,SU 101,152,"T2,T3","[14, 15]",GEE40097.1
2014,2,GEE40097,2,80,SU 101,156,"T4,T5","[16, 17]",GEE40097.2
2014,2,GEK10017,1,30,HDH 303A,28,"T2,F2","[14, 50]",GEK10017.1
2014,2,GEK10017,2,30,HDH 303A,19,"T3,F3","[15, 51]",GEK10017.2
2014,2,GEK10030,1,80,OH 402,74,"T2,T3","[14, 15]",GEK10030.1
2014,2,GEK10030,2,80,OH 305,48,"M5,T5","[5, 17]",GEK10030.2
2014,2,GEK10035,2,60,HDH 418B,26,"T6,T7","[18, 19]",GEK10035.2
2014,2,GEK10035,3,60,HDH 418B,49,"T4,T5","[16, 17]",GEK10035.3
2014,2,GEK10036,1,60,HDH 418B,14,"T8,T9","[20, 21]",GEK10036.1
2014,2,GEK10037,1,60,OH 305,34,"T8,T9","[20, 21]",GEK10037.1
2014,2,GEK10037,2,60,OH 305,59,"T6,T7","[18, 19]",GEK10037.2
2014,2,GEK10040,2,60,NMH 410A,58,"T2,F2","[14, 50]",GEK10040.2
2014,2,GEK10041,2,60,HDH 318,42,"T3,F3","[15, 51]",GEK10041.2
2014,2,GEK10045,1,65,OH 403,58,"T3,F3","[15, 51]",GEK10045.1
2014,2,GEK10053,1,50,HDH 425B,38,"T6,F6","[18, 54]",GEK10053.1
2014,2,GEK10058,1,60,NMH 410B,27,"T6,F6","[18, 54]",GEK10058.1
2014,2,GEK10058,2,60,NMH 403,48,"T5,F5","[17, 53]",GEK10058.2
2014,2,GEK10059,1,60,NMH 410B,58,"T2,F2","[14, 50]",GEK10059.1
2014,2,GEK10061,1,40,HCA 2Ãþ,65,"T2,F2","[14, 50]",GEK10061.1
2014,2,GEK10061,2,40,HCA 2Ãþ,53,"T3,F3","[15, 51]",GEK10061.2
2014,2,GEK10066,1,80,NTH 313,50,"T2,F2","[14, 50]",GEK10066.1
2014,2,GEK10070,1,60,NMH 410B,59,"T3,F3","[15, 51]",GEK10070.1
2014,2,GEK10090,1,60,HDH 418B,48,"T2,F2","[14, 50]",GEK10090.1
2014,2,GEK10095,1,50,HDH 418B,66,"T3,F3","[15, 51]",GEK10095.1
2014,2,GEK10096,2,60,NMH 105,66,"T4,F4","[16, 52]",GEK10096.2
2014,2,GEK10097,2,40,OH 302,25,"T3,F3","[15, 51]",GEK10097.2
2014,2,GEK20016,2,50,NTH 213,28,"T3,F3","[15, 51]",GEK20016.2
2014,2,GEK20019,1,30,HDH 323C,24,"T4,F4","[16, 52]",GEK20019.1
2014,2,GEK20021,1,30, ,26,T7,[19],GEK20021.1
2014,2,GEK20022,1,40,NMH 410A,66,"T5,T6","[17, 18]",GEK20022.1
2014,2,GEK20038,1,15,HDH 419,15,"T4,T5","[16, 17]",GEK20038.1
2014,2,GEK20042,2,40,OH 401,41,"T2,F2","[14, 50]",GEK20042.2
2014,2,GEK20043,1,80,OH 405,43,"M6,T6","[6, 18]",GEK20043.1
2014,2,GEK20045,9,65,OH 403,83,"T2,F2","[14, 50]",GEK20045.9
2014,2,GEK20045,11,65,NMH 403,74,"T2,F2","[14, 50]",GEK20045.11
2014,2,GEK20045,12,65,NMH 403,77,"T3,F3","[15, 51]",GEK20045.12
2014,2,GEK20053,1,40,NMH 402,43,"T2,F2","[14, 50]",GEK20053.1
2014,2,GEK20053,2,40,NMH 402,38,"T3,F3","[15, 51]",GEK20053.2
2014,2,GEK30014,2,50,OH 420,52,"T4,F4","[16, 52]",GEK30014.2
2014,2,GEK30045,1,60,NMH 410A,60,"T3,F3","[15, 51]",GEK30045.1
2014,2,GEK40096,4,40,HCA 2Ãþ,45,"T5,F5","[17, 53]",GEK40096.4
2014,2,ISL10011,1,30,NMH 109,19,"T2,Th2","[14, 38]",ISL10011.1
2014,2,ISL10011,2,30,NMH 109,20,"T3,Th3","[15, 39]",ISL10011.2
2014,2,ISL10071,4,30,NMH 108,23,"T5,F5","[17, 53]",ISL10071.4
2014,2,ISL10073,1,30,NMH 404,30,"T1,F1","[13, 49]",ISL10073.1
2014,2,ISL10073,2,30,NMH 404,32,"T2,F2","[14, 50]",ISL10073.2
2014,2,ISL10073,3,30,NMH 404,31,"T3,F3","[15, 51]",ISL10073.3
2014,2,ISL10074,1,30,OH 421,9,"T5,F5","[17, 53]",ISL10074.1
2014,2,ISL10075,1,35,HDH 303B,40,"T3,F3","[15, 51]",ISL10075.1
2014,2,ISL10076,3,25,HDH 303B,26,"T2,F2","[14, 50]",ISL10076.3
2014,2,ISL10076,4,25,HDH 303B,24,"T4,F4","[16, 52]",ISL10076.4
2014,2,ISL10076,5,25,NMH 104A,26,"T3,F3","[15, 51]",ISL10076.5
2014,2,ISL10076,10,25,NMH 104A,23,"T4,F4","[16, 52]",ISL10076.10
2014,2,ISL10076,11,25,NMH 104A,20,"T5,F5","[17, 53]",ISL10076.11
2014,2,ISL10076,12,25,NMH 104A,11,"T6,F6","[18, 54]",ISL10076.12
2014,2,ISL10085,1,30,NMH 109,29,"T6,T7","[18, 19]",ISL10085.1
2014,2,ISL20076,2,20,NMH 104A,19,"T2,F2","[14, 50]",ISL20076.2
2014,2,ISL30037,1,17,HDH 323C,15,"T6,F6","[18, 54]",ISL30037.1
2014,2,ISL30038,1,20,GLC 304,14,"T3,F3","[15, 51]",ISL30038.1
2014,2,ISL30076,1,20,NMH 104A,11,"T1,F1","[13, 49]",ISL30076.1
2014,2,PCO10012,5,20,GLC 101,19,"T2,F2","[14, 50]",PCO10012.5
2014,2,PCO10012,6,20,GLC 101,20,"T4,F4","[16, 52]",PCO10012.6
2014,2,PCO10012,7,20,GLC 106,20,"T3,F3","[15, 51]",PCO10012.7
2014,2,PCO10012,8,20,GLC 106,20,"T5,F5","[17, 53]",PCO10012.8
2014,2,PCO10013,6,20,GLC 303,19,"T4,F4","[16, 52]",PCO10013.6
2014,2,PCO10013,7,20,GLC 303,20,"T5,F5","[17, 53]",PCO10013.7
2014,2,PCO10013,8,20,GLC 301,20,"T2,F2","[14, 50]",PCO10013.8
2014,2,PCO10013,9,20,GLC 301,20,"T3,F3","[15, 51]",PCO10013.9
2014,2,PCO10013,10,20,GLC 304,19,"T1,F1","[13, 49]",PCO10013.10
2014,2,PCO10013,11,20,GLC 304,20,"T2,F2","[14, 50]",PCO10013.11
2014,2,PCO10013,16,20,GLC 301,19,"T6,F6","[18, 54]",PCO10013.16
2014,2,PCO10016,1,30,HDH 303B,9,"T5,F5","[17, 53]",PCO10016.1
2014,2,PCO10024,2,60,NMH 404,12,"T5,F5","[17, 53]",PCO10024.2
2014,2,PCO10052,3,40,HDH 425B,48,"T2,F2","[14, 50]",PCO10052.3
2014,2,PCO10053,1,40,HDH 403,40,"T2,F2","[14, 50]",PCO10053.1
2014,2,PCO10057,5,50,OH 421,60,"T6,T7","[18, 19]",PCO10057.5
2014,2,PCO10057,6,50,OH 421,50,"T7,T8","[19, 20]",PCO10057.6
2014,2,PCO10057,10,50,NMH 106,64,"T6,T7","[18, 19]",PCO10057.10
2014,2,PCO10058,4,45,HDH 403,44,"T1,F1","[13, 49]",PCO10058.4
2014,2,PCO20004,6,19,GLC 305,19,"T1,F1","[13, 49]",PCO20004.6
2014,2,PCO20004,7,20,GLC 305,19,"T2,F2","[14, 50]",PCO20004.7
2014,2,PCO20004,11,20,GLC 302,20,"T2,F2","[14, 50]",PCO20004.11
2014,2,PCO20004,12,20,GLC 302,20,"T3,F3","[15, 51]",PCO20004.12
2014,2,PCO20004,13,20,GLC 304,20,"T5,F5","[17, 53]",PCO20004.13
2014,2,PCO20004,14,20,GLC 304,20,"T6,F6","[18, 54]",PCO20004.14
2014,2,PCO20004,16,20,GLC 301,20,"T4,F4","[16, 52]",PCO20004.16
2014,2,PCO20005,8,20,GLC 303,19,"T1,F1","[13, 49]",PCO20005.8
2014,2,PCO20005,9,20,GLC 303,20,"T2,F2","[14, 50]",PCO20005.9
2014,2,PCO20005,10,20,GLC 202,16,"T2,F2","[14, 50]",PCO20005.10
2014,2,PCO20005,11,20,GLC 202,19,"T3,F3","[15, 51]",PCO20005.11
2014,2,PCO20005,12,20,GLC 304,18,"T4,F4","[16, 52]",PCO20005.12
2014,2,PCO20005,13,20,GLC 202,15,"T4,F4","[16, 52]",PCO20005.13
2014,2,PCO20005,14,20,GLC 202,16,"T5,F5","[17, 53]",PCO20005.14
2014,2,PCO20015,1,30,HDH 303B,14,"T6,F6","[18, 54]",PCO20015.1
2014,2,PCO20016,1,30,HDH 303A,15,"T6,F6","[18, 54]",PCO20016.1
2014,2,PCO20058,1,29,NMH 205B,28,"T2,T3","[14, 15]",PCO20058.1
2014,2,PCO20058,2,29,NMH 205B,28,"T5,T6","[17, 18]",PCO20058.2
2014,2,GEA20020,1,40,NTH 214,12,"T2,F2","[14, 50]",GEA20020.1
2014,2,GEA20051,1,50,ANH 313,35,"T1,F1","[13, 49]",GEA20051.1
2014,2,GEA30005,1,40,ANH 313,13,"T4,F4","[16, 52]",GEA30005.1
2014,2,GEA30013,1,30,NTH 113,13,F2,[50],GEA30013.1
2014,2,GEA40004,1,30,NTH 113,6,"T5,T6","[17, 18]",GEA40004.1
2014,2,ISE10022,1,40,HDH 320A,22,"T2,F2","[14, 50]",ISE10022.1
2014,2,ISE10052,2,80,HDH 318,43,"T2,F2","[14, 50]",ISE10052.2
2014,2,ISE20039,1,40,HDH 323C,45,"T3,F3","[15, 51]",ISE20039.1
2014,2,ISE20072,1,40,HDH 320B,19,"T3,F3","[15, 51]",ISE20072.1
2014,2,ISE20073,1,40,NMH 310,34,"F2,F3","[50, 51]",ISE20073.1
2014,2,ISE20074,1,0,HDH 326A,39,"T3,F3","[15, 51]",ISE20074.1
2014,2,ISE20083,1,40,HDH 318,41,"T4,F4","[16, 52]",ISE20083.1
2014,2,ISE20085,1,80,HDH 318,59,"T5,T6","[17, 18]",ISE20085.1
2014,2,ISE30016,1,30,HDH 320A,25,"T5,F5","[17, 53]",ISE30016.1
2014,2,ISE40079,1,20,HDH 320A,9,"T3,F3","[15, 51]",ISE40079.1
2014,2,ISE40080,1,20,HDH 326A,18,"T2,F2","[14, 50]",ISE40080.1
2014,2,CCC20052,1,40,NMH 410B,58,"T4,F4","[16, 52]",CCC20052.1
2014,2,CCC20053,1,40,NMH 405,39,"T1,F1","[13, 49]",CCC20053.1
2014,2,CCC20056,1,30,NMH 309,33,"T5,T6","[17, 18]",CCC20056.1
2014,2,CCC20072,1,50,NMH 405,48,"T2,F2","[14, 50]",CCC20072.1
2014,2,CCC20091,1,30,NMH 406,25,"T4,T5","[16, 17]",CCC20091.1
2014,2,CCC30057,1,30,NMH 309,20,"T2,F2","[14, 50]",CCC30057.1
2014,2,CCC30062,1,20,NMH 410B,20,"T7,F7","[19, 55]",CCC30062.1
2014,2,CCC30067,1,40,NMH 307,40,"T6,F6","[18, 54]",CCC30067.1
2014,2,CCC30074,1,30,NMH 405,27,"T8,T9","[20, 21]",CCC30074.1
2014,2,CCC30077,1,20,NMH 405,7,"T5,T6","[17, 18]",CCC30077.1
2014,2,CCC40041,1,20,NMH 405,14,"T3,F3","[15, 51]",CCC40041.1
2014,2,CCC40073,1,20,NMH 405,7,"F4,F5","[52, 53]",CCC40073.1
2014,2,GMP10001,1,10,NMH 107,1,"T2,F2","[14, 50]",GMP10001.1
2014,2,GMP10003,1,10,NMH 103A,12,"T2,F2","[14, 50]",GMP10003.1
2014,2,GMP20002,1,5,OH 421,7,"T2,F2","[14, 50]",GMP20002.1
2014,2,GMP20002,3,5,NTH 214,8,"T3,F3","[15, 51]",GMP20002.3
2014,2,GMP20003,1,5,NMH 107,8,"T5,F5","[17, 53]",GMP20003.1
2014,2,GMP20003,2,5,NMH 105,5,"T3,F3","[15, 51]",GMP20003.2
2014,2,GMP20005,1,55,NMH 106,1,"T1,F1","[13, 49]",GMP20005.1
2014,2,GMP20007,1,80,NMH 107,3,"T1,F1","[13, 49]",GMP20007.1
2014,2,GMP20009,1,5,ANH 302,5,"T1,F1","[13, 49]",GMP20009.1
2014,2,GMP20009,2,5,ANH 302,10,"T2,F2","[14, 50]",GMP20009.2
2014,2,GMP30002,2,5,NMH 108,4,"T3,F3","[15, 51]",GMP30002.2
2014,2,GMP30003,1,5,NMH 103A,7,"T1,F1","[13, 49]",GMP30003.1
2014,2,GMP30004,1,20,NMH 309,15,"T3,F3","[15, 51]",GMP30004.1
2014,2,GMP40005,1,5,NMH 110,4,"T2,F2","[14, 50]",GMP40005.1
2014,2,GMP40006,1,40,NMH 103A,15,"T6,T7","[18, 19]",GMP40006.1
2014,2,GMP40012,1,5,OH 305,7,"T4,F4","[16, 52]",GMP40012.1
2014,2,MEC10001,4,30,NMH 103A,36,"T2,F2","[14, 50]",MEC10001.4
2014,2,MEC10002,2,80,OH 401,79,"T3,F3","[15, 51]",MEC10002.2
2014,2,MEC10002,3,70,NMH 107,12,"T2,F2","[14, 50]",MEC10002.3
2014,2,MEC20001,2,55,NMH 106,45,"T1,F1","[13, 49]",MEC20001.2
2014,2,MEC20002,2,60,NMH 106,23,"T4,F4","[16, 52]",MEC20002.2
2014,2,MEC20005,3,35,ANH 302,56,"T1,F1","[13, 49]",MEC20005.3
2014,2,MEC20005,4,35,ANH 302,72,"T2,F2","[14, 50]",MEC20005.4
2014,2,MEC20006,1,10,NMH 106,56,"T2,F2","[14, 50]",MEC20006.1
2014,2,MEC20006,2,10,NMH 106,22,"T3,F3","[15, 51]",MEC20006.2
2014,2,MEC20054,1,35,OH 421,38,"T2,F2","[14, 50]",MEC20054.1
2014,2,MEC20054,3,35,NTH 214,30,"T3,F3","[15, 51]",MEC20054.3
2014,2,MEC20055,3,40,NMH 107,39,"T5,F5","[17, 53]",MEC20055.3
2014,2,MEC20055,4,40,NMH 105,38,"T3,F3","[15, 51]",MEC20055.4
2014,2,MEC20057,2,30,NMH 102B,23,"T1,F1","[13, 49]",MEC20057.2
2014,2,MEC20057,3,25,HDH 403,24,"T6,T7","[18, 19]",MEC20057.3
2014,2,MEC20057,4,30,NMH 102B,28,"T7,T8","[19, 20]",MEC20057.4
2014,2,MEC20058,2,35,NMH 108,25,"T3,F3","[15, 51]",MEC20058.2
2014,2,MEC20058,3,40,OH 403,36,"T5,T6","[17, 18]",MEC20058.3
2014,2,MEC20059,1,40,NMH 103A,38,"T5,F5","[17, 53]",MEC20059.1
2014,2,MEC30001,1,40,HDH 323C,22,"T2,F2","[14, 50]",MEC30001.1
2014,2,MEC30002,1,70,NMH 107,58,"T3,F3","[15, 51]",MEC30002.1
2014,2,MEC30003,1,35,NMH 110,36,"T2,F2","[14, 50]",MEC30003.1
2014,2,MEC30008,1,45,NMH 103A,33,"T3,F3","[15, 51]",MEC30008.1
2014,2,MEC30011,1,60,NMH 106,50,"T5,F5","[17, 53]",MEC30011.1
2014,2,MEC30052,1,35,NMH 103A,17,"T1,F1","[13, 49]",MEC30052.1
2014,2,MEC30058,1,35,OH 305,84,"T4,F4","[16, 52]",MEC30058.1
2014,2,MEC30072,1,40,NTH 213,39,"T4,F4","[16, 52]",MEC30072.1
2014,2,MEC30075,1,40,NMH 307,15,"T5,F5","[17, 53]",MEC30075.1
2014,2,MEC40055,1,20,NMH 309,9,"T3,F3","[15, 51]",MEC40055.1
2014,2,LAW10004,1,70,ANH 313,70,"T6,F6","[18, 54]",LAW10004.1
2014,2,LAW20010,1,70,ANH 302,52,"T5,F5","[17, 53]",LAW20010.1
2014,2,LAW20011,1,80,ANH 302,72,"T3,F3","[15, 51]",LAW20011.1
2014,2,LAW30075,1,40,NTH 213,19,"F5,F6","[53, 54]",LAW30075.1
2014,2,LAW30076,1,40,ANH 304,13,"T5,F5","[17, 53]",LAW30076.1
2014,2,LAW40005,1,40,ANH 305,7,"T3,F3","[15, 51]",LAW40005.1
2014,2,LAW40061,1,40,ANH 304,5,"F2,F3","[50, 51]",LAW40061.1
2014,2,UIL30013,1,50,ANH 302,91,"T4,F4","[16, 52]",UIL30013.1
2014,2,UIL30072,1,40,ANH 305,25,"T5,F5","[17, 53]",UIL30072.1
2014,2,UIL40059,1,30,ANH 305,66,"T2,F2","[14, 50]",UIL40059.1
2014,2,UIL40094,1,40,NTH 212,22,"T3,F3","[15, 51]",UIL40094.1
2014,2,CSW20013,1,40,OH 420,51,"T2,T3","[14, 15]",CSW20013.1
2014,2,CSW20013,2,40,ANH 313,41,"F2,F3","[50, 51]",CSW20013.2
2014,2,CSW20016,1,40,HDH 320B,33,"T5,F5","[17, 53]",CSW20016.1
2014,2,CSW20020,1,40,HDH 425B,41,"F3,F4","[51, 52]",CSW20020.1
2014,2,CSW30006,1,40,NMH 105,43,"T5,T6","[17, 18]",CSW30006.1
2014,2,CSW30006,2,40,NMH 105,43,"F5,F6","[53, 54]",CSW30006.2
2014,2,CSW30009,1,40,NMH 110,48,"T5,T6","[17, 18]",CSW30009.1
2014,2,CSW30009,2,40,NMH 110,41,"T7,T8","[19, 20]",CSW30009.2
2014,2,CSW30010,1,40,HDH 320B,30,"T2,F2","[14, 50]",CSW30010.1
2014,2,CSW30012,1,40,OH 420,38,"F2,F3","[50, 51]",CSW30012.1
2014,2,CSW30017,1,50,NMH 105,14,"T2,F2","[14, 50]",CSW30017.1
2014,2,CSW30019,1,40,OH 402,30,"T5,T6","[17, 18]",CSW30019.1
2014,2,CSW30052,1,60,NMH 207,51,"T5,F5","[17, 53]",CSW30052.1
2014,2,CSW30053,1,40,OH 403,25,"F4,F5","[52, 53]",CSW30053.1
2014,2,CSW30064,1,40,HDH 320A,33,"T6,T7","[18, 19]",CSW30064.1
2014,2,CSW30067,1,60,NMH 207,49,"T3,F3","[15, 51]",CSW30067.1
