course,classroom
ENG20022.1,NMH 410B
GEE20034.1,OH 401
GEE40097.1,SU 101
GEE40097.2,SU 101
GEK10017.1,HDH 303A
GEK10017.2,HDH 303A
GEK10030.1,OH 402
GEK10030.2,OH 305
GEK10035.2,HDH 418B
GEK10035.3,HDH 418B
GEK10036.1,HDH 418B
GEK10037.1,OH 305
GEK10037.2,OH 305
GEK10040.2,NMH 410A
GEK10041.2,HDH 318
GEK10045.1,OH 403
GEK10053.1,HDH 425B
GEK10058.1,NMH 410B
GEK10058.2,NMH 403
GEK10059.1,NMH 410B
GEK10061.1,HCA 2Ãþ
GEK10061.2,HCA 2Ãþ
GEK10066.1,NTH 313
GEK10070.1,NMH 410B
GEK10090.1,HDH 418B
GEK10095.1,HDH 418B
GEK10096.2,NMH 105
GEK10097.2,OH 302
GEK20016.2,NTH 213
GEK20019.1,HDH 323C
GEK20021.1, 
GEK20022.1,NMH 410A
GEK20038.1,HDH 419
GEK20042.2,OH 401
GEK20043.1,OH 405
GEK20045.9,OH 403
GEK20045.11,NMH 403
GEK20045.12,NMH 403
GEK20053.1,NMH 402
GEK20053.2,NMH 402
GEK30014.2,OH 420
GEK30045.1,NMH 410A
GEK40096.4,HCA 2Ãþ
ISL10011.1,NMH 109
ISL10011.2,NMH 109
ISL10071.4,NMH 108
ISL10073.1,NMH 404
ISL10073.2,NMH 404
ISL10073.3,NMH 404
ISL10074.1,OH 421
ISL10075.1,HDH 303B
ISL10076.3,HDH 303B
ISL10076.4,HDH 303B
ISL10076.5,NMH 104A
ISL10076.10,NMH 104A
ISL10076.11,NMH 104A
ISL10076.12,NMH 104A
ISL10085.1,NMH 109
ISL20076.2,NMH 104A
ISL30037.1,HDH 323C
ISL30038.1,GLC 304
ISL30076.1,NMH 104A
PCO10012.5,GLC 101
PCO10012.6,GLC 101
PCO10012.7,GLC 106
PCO10012.8,GLC 106
PCO10013.6,GLC 303
PCO10013.7,GLC 303
PCO10013.8,GLC 301
PCO10013.9,GLC 301
PCO10013.10,GLC 304
PCO10013.11,GLC 304
PCO10013.16,GLC 301
PCO10016.1,HDH 303B
PCO10024.2,NMH 404
PCO10052.3,HDH 425B
PCO10053.1,HDH 403
PCO10057.5,OH 421
PCO10057.6,OH 421
PCO10057.10,NMH 106
PCO10058.4,HDH 403
PCO20004.6,GLC 305
PCO20004.7,GLC 305
PCO20004.11,GLC 302
PCO20004.12,GLC 302
PCO20004.13,GLC 304
PCO20004.14,GLC 304
PCO20004.16,GLC 301
PCO20005.9,GLC 303
PCO20005.10,GLC 202
PCO20005.11,GLC 202
PCO20005.12,GLC 304
PCO20005.13,GLC 202
PCO20005.14,GLC 202
PCO20015.1,HDH 303B
PCO20016.1,HDH 303A
PCO20058.1,NMH 205B
PCO20058.2,NMH 205B
GEA20020.1,NTH 214
GEA20051.1,ANH 313
GEA30005.1,ANH 313
ISE10022.1,HDH 320A
ISE10052.2,HDH 318
ISE20039.1,HDH 323C
ISE20072.1,HDH 320B
ISE20073.1,NMH 310
ISE20074.1,HDH 326A
ISE20083.1,HDH 318
ISE20085.1,HDH 318
ISE30016.1,HDH 320A
CCC20052.1,NMH 410B
CCC20053.1,NMH 405
CCC20056.1,NMH 309
CCC20072.1,NMH 405
CCC20091.1,NMH 406
CCC30062.1,NMH 410B
CCC30067.1,NMH 307
CCC30074.1,NMH 405
GMP10003.1,NMH 103A
GMP20002.1,OH 421
GMP20003.1,NMH 107
GMP20003.2,NMH 105
GMP20009.1,ANH 302
GMP20009.2,ANH 302
GMP30004.1,NMH 309
GMP40006.1,NMH 103A
MEC10001.4,NMH 103A
MEC10002.2,OH 401
MEC10002.3,NMH 107
MEC20001.2,NMH 106
MEC20002.2,NMH 106
MEC20005.3,ANH 302
MEC20005.4,ANH 302
MEC20006.1,NMH 106
MEC20006.2,NMH 106
MEC20054.1,OH 421
MEC20054.3,NTH 214
MEC20055.3,NMH 107
MEC20055.4,NMH 105
MEC20057.2,NMH 102B
MEC20057.3,HDH 403
MEC20057.4,NMH 102B
MEC20058.2,NMH 108
MEC20058.3,OH 403
MEC20059.1,NMH 103A
MEC30001.1,HDH 323C
MEC30002.1,NMH 107
MEC30003.1,NMH 110
MEC30011.1,NMH 106
MEC30052.1,NMH 103A
MEC30058.1,OH 305
MEC30072.1,NTH 213
MEC30075.1,NMH 307
MEC40055.1,NMH 309
LAW10004.1,ANH 313
LAW20010.1,ANH 302
LAW20011.1,ANH 302
LAW30076.1,ANH 304
LAW40061.1,ANH 304
UIL30013.1,ANH 302
UIL30072.1,ANH 305
UIL40059.1,ANH 305
UIL40094.1,NTH 212
CSW20013.1,OH 420
CSW20013.2,ANH 313
CSW20016.1,HDH 320B
CSW20020.1,HDH 425B
CSW30010.1,HDH 320B
CSW30012.1,OH 420
CSW30017.1,NMH 105
CSW30019.1,OH 402
CSW30053.1,OH 403
CSW30064.1,HDH 320A
CSW30067.1,NMH 207
CSW40009.1,HDH 418B
CSW40010.2,NMH 110
CSW40062.1,NMH 207
BFT20003.1,NMH 307
BFT20003.2,NTH 311
BFT20011.1,OH 405
BFT20012.2,NMH 410B
BFT20013.2,NMH 307
BFT20014.1,NMH 307
BFT30026.1,NMH 310
ECE10020.3,NTH 412
ECE20013.2,NTH 310
ECE20021.1,NTH 313
ECE20042.1,NTH 313
ECE20063.1,NTH 413
ECE20063.2,NTH 413
ECE30086.1,OH 405
ITP20002.1,NTH 313
ITP30003.1,OH 405
IID10005.3,NMH 204
IID20003.1,NMH 204
IID20009.1,NMH 208
IID20009.2,NMH 208
IID20015.1,NMH 310
IID20015.2,NMH 208
IID20057.1,HDH 402
IID20057.2,HDH 402
IID20057.3,NMH 205B
IID20063.3,NMH 202
IID30069.1,NMH 204
IID30081.1,NMH 202
IID40002.1,NMH 410A
HMM10001.2,NTH 120B
HMM10091.1,NTH 214
HMM20017.1,OH 305
HMM20020.1,NTH 120B
HMM20027.1,OH 305
HMM30012.1,NTH 214
CUE20055.1,NTH 212
CUE20056.1,NTH 313
CUE30007.2,NTH 217
CUE30010.1,NTH 310
CUE30060.1,NTH 218
CUE40006.1,NTH 218
