년도,학기,학과명,과목코드,과목명,분반,주야,이수구분명,교수성명,학점,수강정원,개설여부,강의실명,수강인원,수업시간,성적평가방식구분,영의강의여부,학년,코드쉐어링과목코드,코드쉐어링분반,코드쉐어링되어진과목,코드쉐어링수강여부,비고,개설세부,인정영역구분,인정영역구분명
2013,1,글로벌리더십학부,ENG20022,일반화학,1,주간,교양필수,황철원,3,60,Y,NMH 404,45,"화5,금5",일반과목,N,1,GEK10058,1,C,Y,,,W14,자연
2013,1,글로벌리더십학부,GEE40097,Marriage and Enrichment,1,주간,교양선택,최미경,3,40,Y,NMH 105,92,"화2,화3",일반과목,Y,1,,,,N,,,W16,리더십
2013,1,글로벌리더십학부,GEK10000,Elementary Calculus,1,주간,교양필수,박위태,4,40,Y,OH 306,33,"화4,화5,금4,금5",일반과목,N,1,,,,N,100분수업/경영경제수학 이수한 학생 수강불가,,W13,수학
2013,1,글로벌리더십학부,GEK10017,Academic Writing,1,주간,교양필수,김종록,3,60,Y,HDH 418B,61,"화2,금2",일반과목,N,1,,,,N,인문분반,,W10,인문
2013,1,글로벌리더십학부,GEK10017,Academic Writing,2,주간,교양필수,김종록외 1명,3,60,Y,HDH 418B,18,"화3,금3",일반과목,N,1,,,,N,자연분반,,W10,인문
2013,1,글로벌리더십학부,GEK10021,생활체육 1,3,주간,교양선택,지승원,1,30,Y,NTH 115,44,화7,성적만P/F나감,N,1,,,,N,태권도,,W16,리더십
2013,1,글로벌리더십학부,GEK10030,철학개론,1,주간,교양필수,손화철,3,150,Y,OH 405,155,"화3,금3",일반과목,Y,1,,,,N,,,W10,인문
2013,1,글로벌리더십학부,GEK10035,한국사(근현대사),1,주간,교양필수,김종건,3,60,Y,HDH 418B,60,"화5,금5",일반과목,N,1,,,,N,1학년 30명/2-4학년 30명,,W11,역사
2013,1,글로벌리더십학부,GEK10035,한국사(근현대사),2,주간,교양필수,김종건,3,60,Y,HDH 418B,60,"화6,금6",일반과목,N,1,,,,N,1학년 30명/2-4학년 30명,,W11,역사
2013,1,글로벌리더십학부,GEK10035,한국사(근현대사),3,주간,교양필수,유영익,3,60,Y,OH 305,42,"화4,화5",일반과목,Y,1,,,,N,,,W11,역사
