year,semester,subjectCode,num,time,classroom,capacity,student_count,time_conv,course
2013,1,CUE20011,1,"T3,F3",NTH 212,50,31,"[15, 51]",CUE20011.1
2013,1,CUE30003,1,"T4,F4",NTH 209A,30,4,"[16, 52]",CUE30003.1
2013,1,CUE30005,1,"F2,F3",NMH 208,30,19,"[50, 51]",CUE30005.1
2013,1,CUE30007,2,"T5,T6,T7,T8",NTH 217,15,10,"[17, 18, 19, 20]",CUE30007.2
2013,1,CUE40052,1,"T1,F1",NTH 212,40,14,"[13, 49]",CUE40052.1
2013,1,CUE40053,1,"T2,F2",NTH 209A,38,19,"[14, 50]",CUE40053.1
2013,1,SIE10020,1,"T8,T9",GLC 204,25,1,"[20, 21]",SIE10020.1
2013,1,SIE10070,1,"F10,F11",HDH 403,25,4,"[58, 59]",SIE10070.1
2013,1,SIE10072,1,"F8,F9",HDH 403,25,4,"[56, 57]",SIE10072.1
2013,1,SIE10090,1,"T10,T11",HDH 303B,25,7,"[22, 23]",SIE10090.1
2013,1,SIE10093,1,"F8,F9",HDH 303A,25,15,"[56, 57]",SIE10093.1
2013,1,SIE20010,1,"F8,F9,F10",HDH 323C,25,13,"[56, 57, 58]",SIE20010.1
2013,1,SIE30004,1,"T8,T9,T10",HDH 320B,25,11,"[20, 21, 22]",SIE30004.1
2013,1,SIE30021,1,"T8,T9,T10",NMH 108,12,10,"[20, 21, 22]",SIE30021.1
2013,1,SIE30037,1,"T8,T9",GLC 204,25,6,"[20, 21]",SIE30037.1
2013,1,SIE40020,1,"T8,T9,T10",HDH 320A,25,9,"[20, 21, 22]",SIE40020.1
2013,1,SIE40027,1,"F8,F9,F10",HDH 303B,25,14,"[56, 57, 58]",SIE40027.1
2013,1,SIE40036,1,"T8,T9,T10",GLC 202,25,7,"[20, 21, 22]",SIE40036.1
2013,1,SIE40063,1,"T8,T9,T10",HDH 303A,28,3,"[20, 21, 22]",SIE40063.1
