course,classroom
ENG20022.1,NMH 404
GEE40097.1,NMH 105
GEK10000.1,OH 306
GEK10017.1,HDH 418B
GEK10017.2,HDH 418B
GEK10021.3,NTH 115
GEK10030.1,OH 405
GEK10035.1,HDH 418B
GEK10035.2,HDH 418B
GEK10035.3,OH 305
GEK10036.1,HDH 418B
GEK10037.1,OH 305
GEK10037.2,OH 305
GEK10038.4,HDH 419
GEK10040.2,HDH 425B
GEK10041.1,OH 403
GEK10041.2,OH 402
GEK10045.1,NMH 403
GEK10045.2,NMH 403
GEK10045.3, 
GEK10045.4,OH 421
GEK10045.5,OH 405
GEK10045.6,OH 401
GEK10045.7,NMH 404
GEK10045.8,HDH 425B
GEK10045.9,OH 403
GEK10045.10, 
GEK10045.11,NMH 410A
GEK10045.12,NMH 410A
GEK10045.13,NMH 108
GEK10055.1,HDH 323C
GEK10055.2,NMH 207
GEK10055.3,NTH 214
GEK10058.1,NMH 404
GEK10058.2,NMH 403
GEK10059.1,NMH 410A
GEK10059.2,OH 403
GEK10061.1,HCA 2Ãþ
GEK10061.2,HCA 2Ãþ
GEK10066.1,NTH 313
GEK10070.1,NMH 410A
GEK10074.1,NTH 115
GEK10084.1,NTH 115
GEK10095.1,OH 306
GEK20017.1,OH 420
GEK20022.1,HDH 425B
GEK20028.1,SU 101
GEK20028.2,SU 101
GEK20031.1,NTH 313
GEK20031.2,OH 402
GEK20051.1,NMH 410B
GEK30015.2,OH 402
GEK30022.1,OH 402
GEK30022.2,NTH 115
GEK30030.1,OH 401
GEK30045.1,NMH 404
GEK40096.3,HCA 2Ãþ
ISL10011.1,NMH 109
ISL10011.2,NMH 109
ISL10071.3,OH 420
ISL10071.5,OH 420
ISL10073.1,NTH 213
ISL10073.2,NTH 213
ISL10075.1,NMH 104A
ISL10075.3,HDH 303B
ISL10075.5,HDH 303B
ISL10075.10,NMH 108
ISL10080.2,GLC 204
ISL10085.1,NMH 104A
ISL20077.2,NMH 104A
ISL20077.3,NMH 104A
ISL20077.4,HDH 303B
PCO10012.10,GLC 106
PCO10012.11,GLC 106
PCO10012.12,GLC 106
PCO10012.13,GLC 101
PCO10012.15,GLC 101
PCO10012.16,GLC 304
PCO10012.17,GLC 304
PCO10012.18,GLC 304
PCO10012.20,GLC 304
PCO10013.10,GLC 202
PCO10013.11,GLC 202
PCO10013.12,GLC 202
PCO10013.13,GLC 101
PCO10013.14,GLC 101
PCO10013.15,GLC 101
PCO10024.3,HDH 303A
PCO10024.4,HDH 303A
PCO10053.1,OH 302
PCO10058.1,HDH 424
PCO10058.2,HDH 424
PCO10058.3,HDH 424
PCO10058.7,OH 302
PCO10058.11,HDH 403
PCO10058.12,HDH 403
PCO10058.13,HDH 403
PCO20004.11,GLC 305
PCO20004.13,GLC 301
PCO20004.14,GLC 305
PCO20004.18,GLC 303
PCO20005.9,GLC 301
PCO20005.10,GLC 301
PCO20005.11,GLC 301
PCO20005.14,GLC 302
PCO20005.15,GLC 302
ISE10002.1,OH 305
ISE10022.1,HDH 320A
ISE20085.1,HDH 318
CCC20050.1,NMH 405
GMP10001.1,NMH 110
GMP10003.1,NMH 402
MEC10001.1,NMH 106
MEC10001.3,NMH 402
MEC10002.5,NMH 106
UIL20011.1,ANH 305
CSW20020.1,NMH 109
BFT20002.1,OH 405
BFT30010.2,NMH 307
IID10005.2,NMH 204
IID10005.3,NMH 204
HMM10041.1,OH 305
CUE20005.1,NTH 212
CUE20011.1,NTH 212
