Source course,Dest course,Count
ISE10002.1,PCO10012.11,2
ISE10002.1,ISL10075.3,2
ISE10002.1,GEK10045.6,8
ISE10002.1,ISL10071.3,2
ISE10002.1,GEK10045.4,6
ISE10002.1,GEK10045.8,2
ISE10002.1,PCO10058.13,4
MEC10001.3,GEK10045.4,4
MEC10001.3,GEK10045.6,4
MEC10001.3,GEK10055.3,2
MEC10001.3,GEK10045.8,2
MEC10001.3,PCO10058.13,2
MEC10001.3,PCO10058.3,2
MEC10001.1,GEK10045.11,2
MEC10001.1,GEK10000.1,2
ISE10022.1,GEK10035.2,2
ISL10075.10,GEK10021.3,1
GEK20022.1,GEK10036.1,1
GEK10095.1,GEK10045.11,1
GEK10095.1,GEK10045.9,1
GEK20028.1,GEK10045.11,1
GEK20028.1,GEK10045.9,5
GEK30030.1,GEK10055.3,4
GEK30030.1,GEK10045.2,2
PCO20004.11,PCO10058.3,2
GMP10001.1,GEK10017.1,2
PCO10058.7,GEK10041.1,20
PCO10058.7,GEK10045.5,2
PCO10058.7,GEK10040.2,2
PCO10058.7,GEK10045.3,6
PCO10058.7,GEK10055.2,2
PCO10058.7,GEE40097.1,1
PCO10058.7,GEK10066.1,2
PCO10058.7,GEK10059.1,8
PCO10058.7,ISL10073.2,2
PCO10058.1,GEK10041.1,6
PCO10058.1,ISL10075.1,4
PCO10058.1,GEK10045.7,2
PCO10058.1,GEK10041.2,1
PCO10058.1,GEK10045.1,10
PCO10058.1,GEK10045.3,6
PCO10058.1,GEK10040.2,2
PCO10058.1,GEK10055.2,2
PCO10058.1,GEK10066.1,2
PCO10058.1,GEK10059.1,2
PCO10058.1,GEK10045.5,4
PCO10058.1,ISL10071.5,2
PCO10058.1,PCO10012.13,8
PCO10058.1,GEK10017.1,2
PCO10058.1,GEK10061.1,2
PCO10058.1,ISL10011.1,1
PCO10058.2,GEK10045.4,6
PCO10058.2,GEK10045.6,10
PCO10058.2,GEK10030.1,2
PCO10058.2,ISL10011.2,1
PCO10058.2,GEK10045.2,8
PCO10058.2,GEK10070.1,2
PCO10058.2,GEK10055.3,2
PCO10058.2,GEK10095.1,6
