year,semester,subjectCode,num_x,time,classroom,capacity,student_count,time_conv,course,random.ID,num_y
2013,1,ENG20022,1,"T5,F5",NMH 404,60,45,"[17, 53]",ENG20022.1,ddUr9QCy,1
2013,1,ENG20022,1,"T5,F5",NMH 404,60,45,"[17, 53]",ENG20022.1,ztC7wN3H,1
2013,1,ENG20022,1,"T5,F5",NMH 404,60,45,"[17, 53]",ENG20022.1,JNyLWQU1,1
2013,1,ENG20022,1,"T5,F5",NMH 404,60,45,"[17, 53]",ENG20022.1,fU3WSrX7,1
2013,1,ENG20022,1,"T5,F5",NMH 404,60,45,"[17, 53]",ENG20022.1,ndknziW2,1
2013,1,ENG20022,1,"T5,F5",NMH 404,60,45,"[17, 53]",ENG20022.1,pXr27JJl,1
2013,1,GEE40097,1,"T2,T3",NMH 105,40,92,"[14, 15]",GEE40097.1,Eme2igpE,1
2013,1,GEK10000,1,"T4,T5,F4,F5",OH 306,40,33,"[16, 17, 52, 53]",GEK10000.1,9tAt886V,1
2013,1,GEK10000,1,"T4,T5,F4,F5",OH 306,40,33,"[16, 17, 52, 53]",GEK10000.1,CzZHBkZv,1
2013,1,GEK10000,1,"T4,T5,F4,F5",OH 306,40,33,"[16, 17, 52, 53]",GEK10000.1,VOGnJ4wN,1
2013,1,GEK10000,1,"T4,T5,F4,F5",OH 306,40,33,"[16, 17, 52, 53]",GEK10000.1,v9siRKIT,1
2013,1,GEK10000,1,"T4,T5,F4,F5",OH 306,40,33,"[16, 17, 52, 53]",GEK10000.1,urPGRFUH,1
2013,1,GEK10000,1,"T4,T5,F4,F5",OH 306,40,33,"[16, 17, 52, 53]",GEK10000.1,XRHSWmF5,1
2013,1,GEK10000,1,"T4,T5,F4,F5",OH 306,40,33,"[16, 17, 52, 53]",GEK10000.1,sX3FpzMN,1
2013,1,GEK10000,1,"T4,T5,F4,F5",OH 306,40,33,"[16, 17, 52, 53]",GEK10000.1,mHjyXQB3,1
2013,1,GEK10000,1,"T4,T5,F4,F5",OH 306,40,33,"[16, 17, 52, 53]",GEK10000.1,Mxj9GGsI,1
2013,1,GEK10000,1,"T4,T5,F4,F5",OH 306,40,33,"[16, 17, 52, 53]",GEK10000.1,1pG5pQDb,1
2013,1,GEK10000,1,"T4,T5,F4,F5",OH 306,40,33,"[16, 17, 52, 53]",GEK10000.1,JeiEf3kD,1
2013,1,GEK10000,1,"T4,T5,F4,F5",OH 306,40,33,"[16, 17, 52, 53]",GEK10000.1,RpNiyOcT,1
2013,1,GEK10000,1,"T4,T5,F4,F5",OH 306,40,33,"[16, 17, 52, 53]",GEK10000.1,Sx9ge61h,1
2013,1,GEK10000,1,"T4,T5,F4,F5",OH 306,40,33,"[16, 17, 52, 53]",GEK10000.1,n9BH54r2,1
2013,1,GEK10000,1,"T4,T5,F4,F5",OH 306,40,33,"[16, 17, 52, 53]",GEK10000.1,glXDOx5U,1
2013,1,GEK10000,1,"T4,T5,F4,F5",OH 306,40,33,"[16, 17, 52, 53]",GEK10000.1,5LiwJ2ti,1
2013,1,GEK10017,1,"T2,F2",HDH 418B,60,61,"[14, 50]",GEK10017.1,9tAt886V,1
2013,1,GEK10017,1,"T2,F2",HDH 418B,60,61,"[14, 50]",GEK10017.1,QY7ITLb4,1
2013,1,GEK10017,1,"T2,F2",HDH 418B,60,61,"[14, 50]",GEK10017.1,evjsxCTN,1
2013,1,GEK10017,1,"T2,F2",HDH 418B,60,61,"[14, 50]",GEK10017.1,cPmoxDrP,1
2013,1,GEK10017,1,"T2,F2",HDH 418B,60,61,"[14, 50]",GEK10017.1,fWhGVoBr,1
2013,1,GEK10017,1,"T2,F2",HDH 418B,60,61,"[14, 50]",GEK10017.1,699z1b6V,1
2013,1,GEK10017,1,"T2,F2",HDH 418B,60,61,"[14, 50]",GEK10017.1,zF2z8ATd,1
2013,1,GEK10017,1,"T2,F2",HDH 418B,60,61,"[14, 50]",GEK10017.1,qTKuvSqs,1
2013,1,GEK10017,1,"T2,F2",HDH 418B,60,61,"[14, 50]",GEK10017.1,PtgFPbZX,1
2013,1,GEK10017,1,"T2,F2",HDH 418B,60,61,"[14, 50]",GEK10017.1,6lhjIS70,1
2013,1,GEK10017,1,"T2,F2",HDH 418B,60,61,"[14, 50]",GEK10017.1,IIhYJDAe,1
2013,1,GEK10017,1,"T2,F2",HDH 418B,60,61,"[14, 50]",GEK10017.1,QubN3hld,1
2013,1,GEK10017,1,"T2,F2",HDH 418B,60,61,"[14, 50]",GEK10017.1,XPTYvFm1,1
