year,semester,subjectCode,num_x,capacity,classroom,student_count,time,time_conv,course,random.ID,num_y
2015,2,ENG20021,1,15,NMH 402,5,"M5,Th5","[5, 41]",ENG20021.1,EmqbMUjM,1
2015,2,ENG20021,1,15,NMH 402,5,"M5,Th5","[5, 41]",ENG20021.1,kojMLcLL,1
2015,2,ENG20021,1,15,NMH 402,5,"M5,Th5","[5, 41]",ENG20021.1,iZZWbIDX,1
2015,2,ENG20021,1,15,NMH 402,5,"M5,Th5","[5, 41]",ENG20021.1,8JXI88Yh,1
2015,2,GCS10002,1,45,OH 302,44,"M2,Th2","[2, 38]",GCS10002.1,IVBlCGzo,1
2015,2,GCS10002,1,45,OH 302,44,"M2,Th2","[2, 38]",GCS10002.1,ESsn24fE,1
2015,2,GCS10002,1,45,OH 302,44,"M2,Th2","[2, 38]",GCS10002.1,UNqhMNBm,1
2015,2,GCS10002,1,45,OH 302,44,"M2,Th2","[2, 38]",GCS10002.1,xgfN4Smc,1
2015,2,GCS10002,1,45,OH 302,44,"M2,Th2","[2, 38]",GCS10002.1,EQDsNLz5,1
2015,2,GCS10002,1,45,OH 302,44,"M2,Th2","[2, 38]",GCS10002.1,FDboOipl,1
2015,2,GCS10002,1,45,OH 302,44,"M2,Th2","[2, 38]",GCS10002.1,NYtn63Ze,1
2015,2,GCS10002,1,45,OH 302,44,"M2,Th2","[2, 38]",GCS10002.1,kiLZh4fg,1
2015,2,GCS10002,1,45,OH 302,44,"M2,Th2","[2, 38]",GCS10002.1,9q2HB3yi,1
2015,2,GCS10002,1,45,OH 302,44,"M2,Th2","[2, 38]",GCS10002.1,o1XNjcG9,1
2015,2,GCS10002,1,45,OH 302,44,"M2,Th2","[2, 38]",GCS10002.1,ZWA7f1wz,1
2015,2,GCS10002,1,45,OH 302,44,"M2,Th2","[2, 38]",GCS10002.1,KNLMnTtQ,1
2015,2,GCS10002,1,45,OH 302,44,"M2,Th2","[2, 38]",GCS10002.1,FCppn9JS,1
2015,2,GCS10002,1,45,OH 302,44,"M2,Th2","[2, 38]",GCS10002.1,JBi2aLR3,1
2015,2,GCS10002,1,45,OH 302,44,"M2,Th2","[2, 38]",GCS10002.1,KMWQgRXu,1
2015,2,GCS10002,1,45,OH 302,44,"M2,Th2","[2, 38]",GCS10002.1,d8eNRRJq,1
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,jBHkCjVq,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,xSIdPPug,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,ITncu1Ir,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,UXBxDLcu,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,jg7FQSQb,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,fEAHOcId,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,pk7gxeDe,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,i9eCNFSe,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,AThdoM2t,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,I7VsiHkr,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,MAPvqqJU,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,lwSvdSKP,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,H24ST15w,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,9WkOBcND,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,VPDAzZv8,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,3hk69gMV,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,AWTGfIx5,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,xYenhmVV,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,mi31kQE7,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,khsQJwfW,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,TBztZK7r,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,AWy5Sokf,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,iSoht6mN,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,fh7sUNOn,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,rfCEqQYD,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,1IxuazAV,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,TWGuP2qp,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,eQqnpT7S,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,4UJXipzo,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,trl1PSd4,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,jRQcYEgR,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,STurtlcv,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,J6K1Wi5x,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,gbDn74j4,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,OupX5YZA,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,xhA6QRCo,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,ow1hN21O,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,Qm2ZFAiz,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,hBZleQRX,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,ns9c19c6,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,pAqywWd8,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,xpTmwUdQ,2
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2,Ue627FQX,2
2015,2,GCS10003,3,45,HDH 425B,49,"M6,Th6","[6, 42]",GCS10003.3,w8jNodAP,3
2015,2,GCS10003,3,45,HDH 425B,49,"M6,Th6","[6, 42]",GCS10003.3,7kMX74F0,3
2015,2,GCS10003,3,45,HDH 425B,49,"M6,Th6","[6, 42]",GCS10003.3,wEWBzaAK,3
2015,2,GCS10003,3,45,HDH 425B,49,"M6,Th6","[6, 42]",GCS10003.3,yiZnTo9X,3
2015,2,GCS10003,3,45,HDH 425B,49,"M6,Th6","[6, 42]",GCS10003.3,uJEzhmpZ,3
2015,2,GCS10003,3,45,HDH 425B,49,"M6,Th6","[6, 42]",GCS10003.3,LoGalBsU,3
2015,2,GCS10003,3,45,HDH 425B,49,"M6,Th6","[6, 42]",GCS10003.3,mmykpPOf,3
