year,semester,subjectCode,num,capacity,classroom,student_count,time,time_conv,course
2015,2,ENG20021,1,15,NMH 402,5,"M5,Th5","[5, 41]",ENG20021.1
2015,2,GCS10002,1,45,OH 302,44,"M2,Th2","[2, 38]",GCS10002.1
2015,2,GCS10003,2,45,OH 420,48,"M3,Th3","[3, 39]",GCS10003.2
2015,2,GCS10003,3,45,HDH 425B,49,"M6,Th6","[6, 42]",GCS10003.3
2015,2,GCS10003,4,45,HDH 303A,45,"M7,Th7","[7, 43]",GCS10003.4
2015,2,GCS10003,5,45,NMH 403,44,"M4,Th4","[4, 40]",GCS10003.5
2015,2,GCS10003,6,45,NMH 109,48,"M5,Th5","[5, 41]",GCS10003.6
2015,2,GCS10004,1,45,NMH 109,49,"M2,Th2","[2, 38]",GCS10004.1
2015,2,GCS10004,2,45,NMH 109,50,"M3,Th3","[3, 39]",GCS10004.2
2015,2,GCS10004,3,45,HDH 303A,44,"M4,Th4","[4, 40]",GCS10004.3
2015,2,GCS10004,4,45,HDH 303A,42,"M5,Th5","[5, 41]",GCS10004.4
2015,2,GCS10007,1,45,HDH 403,44,"M6,Th6","[6, 42]",GCS10007.1
2015,2,GCS10007,2,45,HDH 403,45,"M2,Th2","[2, 38]",GCS10007.2
2015,2,GCS10007,3,45,HDH 403,25,"M3,Th3","[3, 39]",GCS10007.3
2015,2,GCS10007,4,45,HDH 403,36,"M4,Th4","[4, 40]",GCS10007.4
2015,2,GCS10010,1,30,NMH 402,27,"M2,Th2","[2, 38]",GCS10010.1
2015,2,GCS10010,2,30,NMH 402,17,"M3,Th3","[3, 39]",GCS10010.2
2015,2,GCS10014,1,40,NMH 104A,23,"M4,M5","[4, 5]",GCS10014.1
2015,2,GCS10019,1,25,NMH 108,25,"M2,Th2","[2, 38]",GCS10019.1
2015,2,GCS10033,4,30,NMH 108,16,"M5,Th5","[5, 41]",GCS10033.4
2015,2,GCS10034,1,30,NMH 108,19,"M6,Th6","[6, 42]",GCS10034.1
2015,2,GCS10037,2,25,HDH 303B,31,"M4,Th4","[4, 40]",GCS10037.2
2015,2,GCS10038,3,25,HDH 303B,21,"M6,Th6","[6, 42]",GCS10038.3
2015,2,GCS10040,2,20,NMH 104A,15,"M3,Th3","[3, 39]",GCS10040.2
2015,2,GCS10041,1,15,NTH 213,15,"T2,Th2","[14, 38]",GCS10041.1
2015,2,GCS10042,1,15,NTH 213,12,"T4,Th4","[16, 40]",GCS10042.1
2015,2,GCS10045,1,25,OH 420,22,"M1,Th1","[1, 37]",GCS10045.1
2015,2,GCS10052,1,20,GLC 301,19,"M3,Th3","[3, 39]",GCS10052.1
2015,2,GCS10052,2,20,GLC 301,20,"M4,Th4","[4, 40]",GCS10052.2
2015,2,GCS10052,3,20,GLC 303,20,"M1,Th1","[1, 37]",GCS10052.3
2015,2,GCS10052,4,20,GLC 303,19,"M2,Th2","[2, 38]",GCS10052.4
2015,2,GCS10053,1,20,GLC 302,19,"M2,Th2","[2, 38]",GCS10053.1
2015,2,GCS10053,2,20,GLC 302,20,"M4,Th4","[4, 40]",GCS10053.2
2015,2,GCS10053,3,20,GLC 302,20,"M5,Th5","[5, 41]",GCS10053.3
2015,2,GCS10053,4,20,GLC 106,19,"M1,Th1","[1, 37]",GCS10053.4
2015,2,GCS10053,5,20,GLC 106,20,"M2,Th2","[2, 38]",GCS10053.5
2015,2,GCS10053,6,20,GLC 106,20,"M3,Th3","[3, 39]",GCS10053.6
2015,2,GCS10053,7,20,GLC 304,20,"M5,Th5","[5, 41]",GCS10053.7
2015,2,GCS10053,8,20,GLC 304,19,"M6,Th6","[6, 42]",GCS10053.8
2015,2,GCS10055,1,30,HDH 303A,12,"M2,Th2","[2, 38]",GCS10055.1
2015,2,GCS10058,1,45,HDH 303B,48,"M2,Th2","[2, 38]",GCS10058.1
2015,2,GCS10058,2,45,HDH 303B,48,"M3,Th3","[3, 39]",GCS10058.2
2015,2,GCS10058,3,45,HDH 303B,43,"M5,Th5","[5, 41]",GCS10058.3
2015,2,GCS10059,1,30,HDH 320A,16,"M3,Th3","[3, 39]",GCS10059.1
2015,2,GCS10061,1,60,HDH 418B,20,"M4,Th4","[4, 40]",GCS10061.1
2015,2,GCS20001,1,20,GLC 305,20,"M2,Th2","[2, 38]",GCS20001.1
2015,2,GCS20001,2,20,GLC 305,20,"M3,Th3","[3, 39]",GCS20001.2
2015,2,GCS20001,3,20,GLC 301,16,"M1,Th1","[1, 37]",GCS20001.3
2015,2,GCS20001,4,20,GLC 301,16,"M2,Th2","[2, 38]",GCS20001.4
2015,2,GCS20001,5,20,GLC 301,14,"M6,Th6","[6, 42]",GCS20001.5
2015,2,GCS20001,6,20,GLC 101,20,"M4,Th4","[4, 40]",GCS20001.6
2015,2,GCS20001,7,20,GLC 101,19,"M5,Th5","[5, 41]",GCS20001.7
2015,2,GCS20002,3,20,GLC 304,19,"M1,Th1","[1, 37]",GCS20002.3
2015,2,GCS20002,4,20,GLC 304,20,"M2,Th2","[2, 38]",GCS20002.4
2015,2,GCS20002,5,20,NTH 311,17,"M3,Th3","[3, 39]",GCS20002.5
2015,2,GCS20002,6,20,NTH 311,16,"M4,Th4","[4, 40]",GCS20002.6
2015,2,GCS20002,7,20,GLC 101,20,"M3,Th3","[3, 39]",GCS20002.7
2015,2,GCS20002,8,20,GLC 101,19,"M6,Th6","[6, 42]",GCS20002.8
2015,2,GCS20002,9,20,GLC 202,16,"M4,Th4","[4, 40]",GCS20002.9
2015,2,GCS20002,10,20,GLC 202,20,"M5,Th5","[5, 41]",GCS20002.10
2015,2,GCS20006,1,40,HDH 403,54,"M5,Th5","[5, 41]",GCS20006.1
2015,2,GEE30023,1,25,OH 402,48,"M4,Th4","[4, 40]",GEE30023.1
2015,2,GEK10020,1,60,HDH 418B,45,"M6,Th6","[6, 42]",GEK10020.1
2015,2,GEK10021,1,30, ,25,Th6,[42],GEK10021.1
2015,2,GEK10021,2,20,NTH 213,16,"Th5,Th6","[41, 42]",GEK10021.2
2015,2,GEK10022,1,40,NMH 410A,43,"M5,Th5","[5, 41]",GEK10022.1
2015,2,GEK10029,1,40,NMH 410A,17,"M6,Th6","[6, 42]",GEK10029.1
2015,2,GEK10035,1,50,HDH 425B,29,"M3,Th3","[3, 39]",GEK10035.1
2015,2,GEK10039,1,50,HDH 425B,32,"M2,Th2","[2, 38]",GEK10039.1
2015,2,GEK10040,1,40,NTH 213,17,"M4,M5","[4, 5]",GEK10040.1
2015,2,GEK10040,2,70,OH 402,66,"M6,M7","[6, 7]",GEK10040.2
2015,2,GEK10041,1,200,ANH Auditorium,189,"M3,Th3","[3, 39]",GEK10041.1
2015,2,GEK10041,2,60,HDH 320A,32,"M7,Th7","[7, 43]",GEK10041.2
2015,2,GEK10042,1,120,HDH 418B,79,"M3,Th3","[3, 39]",GEK10042.1
2015,2,GEK10053,1,60,NMH 105,52,"M4,Th4","[4, 40]",GEK10053.1
2015,2,GEK10057,1,45,NMH 402,9,"M5,Th5","[5, 41]",GEK10057.1
2015,2,GEK10057,2,60,NMH 404,35,"M5,Th5","[5, 41]",GEK10057.2
2015,2,GEK10057,3,60,NMH 403,62,"M2,Th2","[2, 38]",GEK10057.3
2015,2,GEK10059,1,50,OH 영상정보실,50,"M5,Th5","[5, 41]",GEK10059.1
2015,2,GEK10059,2,60,OH 402,42,"M3,Th3","[3, 39]",GEK10059.2
2015,2,GEK10060,1,60,ANH 304,25,"M3,Th3","[3, 39]",GEK10060.1
2015,2,GEK10062,1,80,NMH 410A,62,"M2,Th2","[2, 38]",GEK10062.1
2015,2,GEK10062,2,80,NMH 410A,32,"M3,Th3","[3, 39]",GEK10062.2
2015,2,GEK10065,1,40,NMH 402,19,"M1,Th1","[1, 37]",GEK10065.1
2015,2,GEK10070,1,60,NMH 410B,55,"M3,Th3","[3, 39]",GEK10070.1
2015,2,GEK10082,1,60,HDH 425B,58,"M5,Th5","[5, 41]",GEK10082.1
2015,2,GEK10087,1,60,HDH 418B,29,"Th8,Th9","[44, 45]",GEK10087.1
2015,2,GEK10089,1,40,NMH 104A,30,"Th5,Th6","[41, 42]",GEK10089.1
2015,2,GEK10094,1,20,NMH 411,10,"Th8,Th9","[44, 45]",GEK10094.1
2015,2,GEK10095,2,80,OH 405,73,"M5,Th5","[5, 41]",GEK10095.2
2015,2,GEK10096,1,80,HDH 418B,75,"M2,Th2","[2, 38]",GEK10096.1
2015,2,GEK10096,2,60,HDH 425B,43,"M4,Th4","[4, 40]",GEK10096.2
2015,2,GEK10097,1,80,OH 405,63,"M6,Th6","[6, 42]",GEK10097.1
2015,2,GEK10098,2,40,HCA 2층,50,"M3,Th3","[3, 39]",GEK10098.2
2015,2,GEK10099,1,60,NMH 410A,48,"M4,Th4","[4, 40]",GEK10099.1
2015,2,GEK20011,2,60,NTH 310,21,"M3,Th3","[3, 39]",GEK20011.2
2015,2,GEK20011,3,60,NTH 313,29,"M4,Th4","[4, 40]",GEK20011.3
2015,2,GEK20016,1,50,NMH 404,56,"M2,Th2","[2, 38]",GEK20016.1
2015,2,GEK20021,2,20,NTH 213,21,"Th7,Th8","[43, 44]",GEK20021.2
2015,2,GEK20028,1,60,SU 101,50,"Th2,Th3","[38, 39]",GEK20028.1
2015,2,GEK20028,2,60,SU 101,60,"Th5,Th6","[41, 42]",GEK20028.2
2015,2,GEK20038,1,25,HDH 419,9,"Th1,Th2","[37, 38]",GEK20038.1
2015,2,GEK20042,1,40,OH 402,81,"M2,Th2","[2, 38]",GEK20042.1
2015,2,GEK20044,1,60,NMH 405,58,"M6,M7","[6, 7]",GEK20044.1
2015,2,GEK20053,1,45,HDH 418B,55,"M5,Th5","[5, 41]",GEK20053.1
2015,2,GEK20058,1,60,OH 403,67,"M2,Th2","[2, 38]",GEK20058.1
2015,2,GEK20058,2,60,NMH 404,19,"M6,Th6","[6, 42]",GEK20058.2
2015,2,GEK20059,3,70,OH 403,69,"M3,Th3","[3, 39]",GEK20059.3
2015,2,GEK20060,1,70,NMH 404,65,"M3,Th3","[3, 39]",GEK20060.1
2015,2,GEK20060,2,70,NMH 404,75,"M4,Th4","[4, 40]",GEK20060.2
2015,2,GEK20062,1,60,NMH 403,89,"M6,Th6","[6, 42]",GEK20062.1
2015,2,GEK20062,3,70,NMH 403,84,"M7,Th7","[7, 43]",GEK20062.3
2015,2,GEK20065,1,70,OH 403,71,"M5,Th5","[5, 41]",GEK20065.1
2015,2,GEK20065,2,70,OH 403,68,"M6,Th6","[6, 42]",GEK20065.2
2015,2,GEK20065,3,70,NMH 403,72,"M3,Th3","[3, 39]",GEK20065.3
2015,2,GEK20065,4,70,NMH 403,84,"M5,Th5","[5, 41]",GEK20065.4
2015,2,GEK30014,1,80,OH 402,78,"M5,Th5","[5, 41]",GEK30014.1
2015,2,GEK30014,2,50,OH 420,43,"M2,Th2","[2, 38]",GEK30014.2
2015,2,GEK30014,3,60,OH 420,55,"M6,Th6","[6, 42]",GEK30014.3
2015,2,GEK30022,1,60,SU 101,40,"M5,M6","[5, 6]",GEK30022.1
2015,2,GEK30045,1,60,NTH 213,14,"M2,M3","[2, 3]",GEK30045.1
2015,2,PCO10057,1,60,HDH 418B,70,"M1,Th1","[1, 37]",PCO10057.1
2015,2,CCE20003,1,40,NTH 310,11,"M2,Th2","[2, 38]",CCE20003.1
2015,2,CCE32002,1,35,NMH 110,7,"M4,Th4","[4, 40]",CCE32002.1
2015,2,GEA20002,1,30,NTH 113,32,"Th5,Th6","[41, 42]",GEA20002.1
2015,2,GEA20008,1,60,ANH 313,23,M1,[1],GEA20008.1
2015,2,GEA20009,1,60,ANH 313,17,M1,[1],GEA20009.1
2015,2,GEA20011,1,40,NMH 410B,13,"M4,Th4","[4, 40]",GEA20011.1
2015,2,GEA30005,1,40,ANH 313,8,"T4,Th8","[16, 44]",GEA30005.1
2015,2,GEA30011,1,60,ANH 313,13,M1,[1],GEA30011.1
2015,2,GEA30012,1,60,ANH 313,13,M1,[1],GEA30012.1
2015,2,GEA30022,1,40,ANH 304,14,"M5,M6","[5, 6]",GEA30022.1
2015,2,ISE10002,1,45,HDH 303A,44,"M6,Th6","[6, 42]",ISE10002.1
2015,2,ISE10022,1,40,HDH 326A,24,"M2,Th2","[2, 38]",ISE10022.1
2015,2,ISE10051,1,80,HDH 318,77,"M2,Th2","[2, 38]",ISE10051.1
2015,2,ISE10052,1,80,HDH 318,94,"M3,Th3","[3, 39]",ISE10052.1
2015,2,ISE20039,1,40,HDH 323C,39,"M3,Th3","[3, 39]",ISE20039.1
2015,2,ISE20040,1,30,HDH 326A,28,"M5,Th5","[5, 41]",ISE20040.1
2015,2,ISE20042,1,40,HDH 323C,9,"M6,Th6","[6, 42]",ISE20042.1
2015,2,ISE20052,1,40,HDH 323C,51,"M2,Th2","[2, 38]",ISE20052.1
2015,2,ISE20056,1,40,HDH 318,54,"M1,Th1","[1, 37]",ISE20056.1
2015,2,ISE20084,1,40,HDH 318,46,"M4,Th4","[4, 40]",ISE20084.1
2015,2,ISE30077,1,40,HDH 326A,34,"M4,Th4","[4, 40]",ISE30077.1
2015,2,ISE30082,1,40,HDH 320A,34,"M6,Th6","[6, 42]",ISE30082.1
2015,2,ISE30094,1,40,HDH 323C,17,"M4,Th4","[4, 40]",ISE30094.1
2015,2,ISE40079,1,20,HDH 320A,15,"M5,Th5","[5, 41]",ISE40079.1
2015,2,ISE40080,1,25,HDH 324,15,"M2,Th2","[2, 38]",ISE40080.1
2015,2,CCC20056,1,20,NMH 105,20,"M5,M6","[5, 6]",CCC20056.1
2015,2,CCC20072,1,50,NMH 405,50,"M2,Th2","[2, 38]",CCC20072.1
2015,2,CCC20081,1,30,NMH 405,28,"M5,Th5","[5, 41]",CCC20081.1
2015,2,CCC20085,1,30,NMH 405,30,"M4,Th4","[4, 40]",CCC20085.1
2015,2,CCC20094,1,40,NMH 405,40,"M3,Th3","[3, 39]",CCC20094.1
2015,2,CCC30037,1,30,NMH 410B,28,"M6,Th6","[6, 42]",CCC30037.1
2015,2,CCC30052,1,30,NMH 410B,22,"M2,Th2","[2, 38]",CCC30052.1
2015,2,CCC30069,1,30,NMH 105,16,"Th5,Th6","[41, 42]",CCC30069.1
2015,2,CCC30073,1,20,NMH 405,19,"Th6,Th7","[42, 43]",CCC30073.1
2015,2,CCC40041,1,20,NMH 410B,17,"M5,Th5","[5, 41]",CCC40041.1
2015,2,CCC40074,1,40,NMH 402,18,"Th8,Th9","[44, 45]",CCC40074.1
2015,2,CCC40075,1,20,NMH 406,7,"M2,M3","[2, 3]",CCC40075.1
2015,2,CCC40085,1,30,NMH 405,12,"M8,M9","[8, 9]",CCC40085.1
2015,2,GMP10001,1,10,NMH 106,8,"M3,Th3","[3, 39]",GMP10001.1
2015,2,GMP20002,1,5,NMH 307,9,"M5,Th5","[5, 41]",GMP20002.1
2015,2,GMP20003,1,5,NMH 309,7,"M2,Th2","[2, 38]",GMP20003.1
2015,2,GMP20004,1,5,NMH 103A,16,"M3,Th3","[3, 39]",GMP20004.1
2015,2,GMP30001,1,5,NMH 104A,5,"M2,Th2","[2, 38]",GMP30001.1
2015,2,GMP30001,2,5,NMH 110,2,"M5,Th5","[5, 41]",GMP30001.2
2015,2,GMP30002,1,5,NMH 106,8,"M6,Th6","[6, 42]",GMP30002.1
2015,2,GMP30005,1,5,OH 305,2,"M5,M6","[5, 6]",GMP30005.1
2015,2,GMP30007,1,5,NMH 309,3,"M4,Th4","[4, 40]",GMP30007.1
2015,2,GMP30007,2,5,NMH 309,5,"M5,Th5","[5, 41]",GMP30007.2
2015,2,MEC10001,1,80,NMH 106,53,"M5,Th5","[5, 41]",MEC10001.1
2015,2,MEC10002,2,60,NMH 310,33,"M1,Th1","[1, 37]",MEC10002.2
2015,2,MEC10002,3,50,NMH 106,39,"M3,Th3","[3, 39]",MEC10002.3
2015,2,MEC20001,1,75,NMH 105,50,"M2,Th2","[2, 38]",MEC20001.1
2015,2,MEC20002,1,40,NMH 110,45,"M3,Th3","[3, 39]",MEC20002.1
2015,2,MEC20002,2,60,NMH 107,35,"M2,Th2","[2, 38]",MEC20002.2
2015,2,MEC20006,1,40,NMH 107,39,"M5,Th5","[5, 41]",MEC20006.1
2015,2,MEC20051,1,40,NMH 103A,23,"M1,Th1","[1, 37]",MEC20051.1
2015,2,MEC20051,2,35,NMH 103A,34,"M3,Th3","[3, 39]",MEC20051.2
