course,classroom
ENG20021.1,NMH 402
GCS10002.1,OH 302
GCS10003.2,OH 420
GCS10003.3,HDH 425B
GCS10003.4,HDH 303A
GCS10003.5,NMH 403
GCS10003.6,NMH 109
GCS10004.1,NMH 109
GCS10004.2,NMH 109
GCS10004.3,HDH 303A
GCS10004.4,HDH 303A
GCS10007.1,HDH 403
GCS10007.2,HDH 403
GCS10007.3,HDH 403
GCS10007.4,HDH 403
GCS10010.1,NMH 402
GCS10010.2,NMH 402
GCS10014.1,NMH 104A
GCS10019.1,NMH 108
GCS10033.4,NMH 108
GCS10034.1,NMH 108
GCS10037.2,HDH 303B
GCS10038.3,HDH 303B
GCS10040.2,NMH 104A
GCS10041.1,NTH 213
GCS10042.1,NTH 213
GCS10045.1,OH 420
GCS10052.1,GLC 301
GCS10052.2,GLC 301
GCS10052.3,GLC 303
GCS10052.4,GLC 303
GCS10053.1,GLC 302
GCS10053.2,GLC 302
GCS10053.3,GLC 302
GCS10053.4,GLC 106
GCS10053.5,GLC 106
GCS10053.6,GLC 106
GCS10053.7,GLC 304
GCS10053.8,GLC 304
GCS10055.1,HDH 303A
GCS10058.1,HDH 303B
GCS10058.2,HDH 303B
GCS10058.3,HDH 303B
GCS10059.1,HDH 320A
GCS10061.1,HDH 418B
GCS20001.1,GLC 305
GCS20001.2,GLC 305
GCS20001.3,GLC 301
GCS20001.4,GLC 301
GCS20001.5,GLC 301
GCS20001.6,GLC 101
GCS20001.7,GLC 101
GCS20002.3,GLC 304
GCS20002.4,GLC 304
GCS20002.5,NTH 311
GCS20002.6,NTH 311
GCS20002.7,GLC 101
GCS20002.8,GLC 101
GCS20002.10,GLC 202
GCS20006.1,HDH 403
GEE30023.1,OH 402
GEK10020.1,HDH 418B
GEK10021.1, 
GEK10021.2,NTH 213
GEK10022.1,NMH 410A
GEK10029.1,NMH 410A
GEK10035.1,HDH 425B
GEK10039.1,HDH 425B
GEK10040.1,NTH 213
GEK10040.2,OH 402
GEK10041.1,ANH Auditorium
GEK10041.2,HDH 320A
GEK10042.1,HDH 418B
GEK10053.1,NMH 105
GEK10057.1,NMH 402
GEK10057.2,NMH 404
GEK10057.3,NMH 403
GEK10059.1,OH 영상정보실
GEK10059.2,OH 402
GEK10060.1,ANH 304
GEK10062.1,NMH 410A
GEK10062.2,NMH 410A
GEK10065.1,NMH 402
GEK10070.1,NMH 410B
GEK10082.1,HDH 425B
GEK10087.1,HDH 418B
GEK10089.1,NMH 104A
GEK10094.1,NMH 411
GEK10095.2,OH 405
GEK10096.1,HDH 418B
GEK10096.2,HDH 425B
GEK10097.1,OH 405
GEK10098.2,HCA 2층
GEK10099.1,NMH 410A
GEK20011.2,NTH 310
GEK20011.3,NTH 313
GEK20016.1,NMH 404
GEK20021.2,NTH 213
GEK20028.1,SU 101
GEK20028.2,SU 101
GEK20038.1,HDH 419
GEK20042.1,OH 402
GEK20044.1,NMH 405
GEK20053.1,HDH 418B
GEK20058.1,OH 403
GEK20058.2,NMH 404
GEK20059.3,OH 403
GEK20060.1,NMH 404
GEK20060.2,NMH 404
GEK20062.1,NMH 403
GEK20062.3,NMH 403
GEK20065.1,OH 403
GEK20065.2,OH 403
GEK20065.3,NMH 403
GEK20065.4,NMH 403
GEK30014.1,OH 402
GEK30014.2,OH 420
GEK30014.3,OH 420
GEK30022.1,SU 101
GEK30045.1,NTH 213
PCO10057.1,HDH 418B
CCE20003.1,NTH 310
CCE32002.1,NMH 110
GEA20002.1,NTH 113
GEA20008.1,ANH 313
GEA20009.1,ANH 313
GEA20011.1,NMH 410B
GEA30005.1,ANH 313
GEA30011.1,ANH 313
GEA30012.1,ANH 313
GEA30022.1,ANH 304
ISE10002.1,HDH 303A
ISE10022.1,HDH 326A
ISE10051.1,HDH 318
ISE10052.1,HDH 318
ISE20039.1,HDH 323C
ISE20040.1,HDH 326A
ISE20042.1,HDH 323C
ISE20052.1,HDH 323C
ISE20056.1,HDH 318
ISE20084.1,HDH 318
ISE30077.1,HDH 326A
ISE30082.1,HDH 320A
ISE30094.1,HDH 323C
ISE40079.1,HDH 320A
ISE40080.1,HDH 324
CCC20056.1,NMH 105
CCC20072.1,NMH 405
CCC20081.1,NMH 405
CCC20085.1,NMH 405
CCC20094.1,NMH 405
CCC30037.1,NMH 410B
CCC30052.1,NMH 410B
CCC30069.1,NMH 105
CCC30073.1,NMH 405
CCC40041.1,NMH 410B
CCC40074.1,NMH 402
CCC40075.1,NMH 406
CCC40085.1,NMH 405
GMP10001.1,NMH 106
GMP20002.1,NMH 307
GMP20003.1,NMH 309
GMP20004.1,NMH 103A
GMP30001.1,NMH 104A
GMP30001.2,NMH 110
GMP30007.1,NMH 309
MEC10001.1,NMH 106
MEC10002.2,NMH 310
MEC10002.3,NMH 106
MEC20001.1,NMH 105
MEC20002.1,NMH 110
MEC20002.2,NMH 107
MEC20006.1,NMH 107
MEC20051.1,NMH 103A
MEC20051.2,NMH 103A
MEC20054.2,NMH 307
MEC20055.1,NMH 309
MEC20055.2,NMH 103A
MEC20058.1,NMH 106
MEC20059.2,NMH 104A
MEC20059.3,NMH 110
MEC30007.1,NMH 107
MEC30010.1,OH 305
MEC30066.1,NMH 309
MEC30066.2,NMH 309
MEC30068.1,NMH 110
MEC30069.1,NMH 309
MEC30071.1,NMH 106
MEC30074.1,NMH 103A
MEC40002.1,NMH 107
MEC40003.1,NMH 103A
MEC40011.1,NMH 107
MEC40058.1,NMH 105
MEC40072.1,NMH 103A
LAW20010.1,ANH 302
LAW30015.1,NTH 214
LAW30033.1,ANH 304
LAW30075.1,ANH 304
LAW40005.1,ANH 304
LAW50005.1,ANH 305
UIL20012.1,ANH 305
UIL20013.1,ANH 305
UIL30068.1,ANH 305
UIL30093.1,ANH 305
UIL40017.1,ANH 305
UIL40092.1,ANH 305
CSW20001.1,HDH 320B
CSW20001.2,ANH 313
CSW20001.3,HDH 323C
CSW20002.3,NMH 402
CSW20013.1,NMH 207
CSW20016.1,NMH 207
CSW20055.1,HDH 318
CSW20065.1,HDH 320A
CSW30006.1,HDH 320B
CSW30009.1,OH 420
CSW30009.2,OH 305
CSW30009.3,NMH 207
CSW30020.1,HDH 320A
CSW30023.1,HDH 303A
CSW30023.2,NMH 105
CSW30053.1,HDH 318
CSW30055.1,NMH 207
CSW40010.2,NMH 207
BFT20005.1,NMH 310
BFT20012.1,NMH 410B
BFT20013.1,NMH 410B
BFT30007.1,NMH 307
BFT30021.1,NMH 307
BFT30024.1,NMH 310
BFT30053.1,NMH 310
BFT30054.1,NMH 307
BFT30056.1,NMH 307
BFT30059.1,NMH 310
BFT30059.2,NMH 309
BFT40006.1,NMH 310
BFT40010.1,NMH 307
ECE10002.1,NTH 313
ECE10002.2,NTH 313
ECE10020.2,ANH 313
ECE20013.1,OH 401
ECE20018.1,OH 401
ECE20018.2,OH 401
ECE20053.1,OH 401
ECE20063.1,NTH 413
ECE30057.1,NTH 417
ECE30076.1,NTH 413
ECE30085.1,NTH 310
ECE30086.1,OH 405
ECE40026.1,NTH 313
ECE40044.1,NTH 311
ECE40086.1,NTH 310
ITP20005.1,NTH 313
ITP30003.1,OH 405
ITP30003.2,OH 305
IID10005.1,NMH 204
IID10005.2,NMH 204
IID20003.1,NMH 204
IID20015.2,NMH 208
IID20057.1,HDH 402
IID20060.1,NMH 205B
IID20060.2,NMH 205B
IID20062.1,NMH 204
IID20063.1,NMH 208
IID30008.1,HDH 402
IID30072.1,NMH 208
IID30072.2,OH 306
IID30087.1,NMH 202
IID40002.1,OH 306
HMM10001.1,NTH 120B
HMM10001.2,NTH 118
HMM10091.1,NTH 120B
HMM10091.2,NTH 214
HMM20027.1,OH 305
HMM20042.1,OH 401
HMM20042.2,ANH 302
HMM20052.1,ANH 302
HMM20075.1,NTH 214
HMM30015.1,NTH 120B
HMM30027.1,NTH 214
HMM40064.1, 
CUE10003.1,NTH 212
CUE20004.1,NTH 212
CUE30007.1,NTH 211
CUE30010.1,NTH 212
CUE30032.1,NTH 218
CUE30057.1,NTH 313
CUE40020.1,NTH 212
CUE40056.1,NTH 212
