Source course,Dest course,Count
GEK10096.1,GCS10010.2,2
GEK10096.1,GCS10040.2,2
GEK10096.1,GCS10003.2,8
IID40002.1,GCS20002.6,1
IID40002.1,GCS10037.2,1
IID40002.1,GEK20060.2,1
IID40002.1,GCS10061.1,1
IID40002.1,GEA20011.1,1
GEK10096.2,GEK10082.1,2
GEK10096.2,GEK10095.2,2
GEK10096.2,GEK10021.2,1
GEK10096.2,GCS10058.3,2
GEK10096.2,GEK10057.2,2
GEK10096.2,GCS10003.6,2
GEK10096.2,GEK10022.1,4
CCC30052.1,CCC20094.1,4
IID20062.1,GEK10099.1,1
GEA30022.1,GEK20062.3,1
GEA30022.1,GCS10003.4,1
LAW30015.1,GCS10053.8,2
LAW30015.1,GEK10029.1,2
LAW30015.1,GEK20044.1,3
GCS10019.1,GCS10003.2,6
UIL30068.1,LAW50005.1,1
UIL30068.1,GEK30014.3,4
UIL30068.1,GEK20044.1,1
UIL30068.1,GEK20058.2,2
UIL30068.1,ISE30082.1,2
MEC20054.2,GCS10038.3,2
MEC20054.2,GEK20062.1,4
MEC20054.2,GEK10029.1,2
BFT40010.1,GEK20062.3,2
BFT40010.1,GEK10041.2,2
CUE30057.1,GCS10010.1,2
CUE30057.1,GCS10002.1,2
CUE30057.1,CSW20001.2,2
CUE30057.1,MEC20001.1,2
CUE30057.1,GEK20016.1,2
CCC30069.1,GCS10003.4,1
GEA20002.1,GCS10003.4,2
MEC20055.2,GCS10053.8,2
MEC20055.2,GEK30014.3,4
GCS20001.1,GCS10040.2,2
GCS20001.2,GCS10042.1,1
GEK10040.1,GCS10007.1,1
GEK10040.1,GCS10003.3,1
GCS20002.10,GCS10007.1,2
ECE20018.2,GEK20062.3,4
IID20003.1,GEK20062.3,2
IID20003.1,CSW30023.2,1
CSW30020.1,CSW20016.1,1
CSW30020.1,CSW20001.3,4
CSW30020.1,CSW30009.1,4
CSW30020.1,CCC40041.1,2
IID10005.2,GCS10003.4,3
IID10005.1,GCS10003.5,1
IID10005.1,GEK10099.1,3
IID10005.1,GCS10037.2,1
IID10005.1,GEK20060.2,1
IID10005.1,GCS10004.3,1
GEK10042.1,GCS10052.2,4
GEK10042.1,GCS10037.2,2
GEK10042.1,GCS10061.1,2
GEK10042.1,GCS10053.2,2
GEK10042.1,GCS10003.5,10
GEK10042.1,GCS10007.4,2
ISE20039.1,GCS10003.5,2
ISE20039.1,GCS10007.4,2
HMM20042.1,GEK20065.2,2
HMM20075.1,HMM20042.2,3
HMM20075.1,GEK10082.1,1
HMM20075.1,HMM20042.1,2
HMM20027.1,GEK10053.1,6
HMM20027.1,GCS10037.2,2
HMM20027.1,GCS10004.3,2
HMM20027.1,GCS20002.6,2
HMM20027.1,GEK20060.2,4
HMM20027.1,GCS10007.4,2
IID30072.2,ECE20018.2,1
GCS10052.4,GCS10004.2,4
PCO10057.1,GCS20002.4,2
MEC30010.1,GEK20062.3,1
MEC30010.1,GCS10003.4,2
GEK10082.1,GCS10034.1,2
GEK10053.1,GCS10053.3,2
UIL20013.1,GCS10033.4,2
UIL20013.1,GEK30014.1,2
UIL20013.1,GEK10022.1,2
UIL20013.1,ISE40079.1,2
CSW20065.1,GEK10041.1,2
CSW20065.1,GCS20001.2,2
CSW20065.1,GEK10070.1,2
CSW20065.1,GEK10042.1,6
CSW20065.1,GEK10059.2,4
CSW20065.1,GEK10062.2,2
CSW20065.1,CCC20094.1,2
CSW20065.1,LAW20010.1,4
CSW20065.1,MEC10002.3,2
CSW20065.1,GEK10098.2,4
ISE30077.1,GEK10089.1,1
CUE40020.1,CUE30032.1,2
GEK20065.1,GCS10034.1,4
GEK20065.1,GEK20044.1,3
GEK20065.1,GEK20062.1,4
GEK20065.1,GEK10020.1,4
GEK20065.1,GCS10007.1,8
GEK20065.1,GCS10053.8,2
GEK20065.1,GEK10097.1,8
GEK20065.1,GCS10038.3,4
GEK20065.1,GEK10021.1,1
GEK20065.1,GCS10003.3,12
GEK20065.2,GEK20062.3,2
GEK20065.2,GCS10003.4,14
GEK20065.2,GEK20021.2,1
GEK20065.2,GEK10041.2,2
GEK20065.3,GEK10040.1,1
GEK20065.3,GCS10052.2,4
GEK20065.3,GCS10061.1,4
GEK20065.3,GEK10099.1,2
GEK20065.3,GEK10096.2,2
GEK20065.3,GCS10053.2,2
GEK20065.3,GCS10014.1,1
GEK20065.3,GCS10007.4,4
GEK20065.3,GEK10053.1,2
GEK20065.4,GCS10034.1,2
GEK20065.4,GEK20044.1,1
