Source course,Dest course,Count
BFT30016.1,GCS20001.12,2
BFT30016.1,LAW20003.1,2
BFT30016.1,BFT20002.1,20
BFT30016.1,CSW20015.1,1
ECE40012.1,GCS20001.12,2
ECE40012.1,GCS20001.14,2
BFT20002.1,GCS10037.9,2
BFT20002.1,GEK10090.2,2
BFT20002.1,GCS10053.9,4
BFT20002.1,CSW30012.1,2
BFT20002.1,GEK20017.1,8
BFT20002.1,GCS10007.3,20
BFT20002.1,GCS10053.7,8
BFT20002.1,GEK10098.1,2
BFT20002.1,GCS10039.1,2
BFT30001.1,GCS10037.12,2
BFT30001.1,GCS20002.13,4
BFT30001.1,GEK30030.1,2
BFT30001.1,GCS10039.2,2
BFT30001.1,GCS20006.2,2
GEK20063.4,GEK10088.1,1
GEK20063.4,GCS10062.8,2
GEK20063.4,GEK20028.3,1
GEK20063.4,GCS10062.4,10
GEK20063.3,GEK10095.2,10
GEK20063.3,GEK10090.1,8
GEK20063.3,GEK10070.1,2
GEK20063.3,GEK10093.1,4
GEK20063.3,GCS10037.3,2
GEK20063.3,GCS10001.2,6
GEK20063.3,GCS10037.12,2
GEK20063.3,GCS10062.3,4
GEK20063.3,GCS10002.7,12
GEK20063.3,GCS10041.2,3
GEK20063.3,GCS10062.9,2
GEK20063.3,GEK10061.2,4
GEK20063.3,GCS10053.4,2
CUE20005.1,GCS10023.1,1
CUE20005.1,GCS10001.3,1
CUE20005.1,CUE20003.1,7
CUE20005.1,GCS10053.9,1
CUE20005.1,GCS10033.3,1
CUE20005.1,ISE20085.1,1
CUE20005.1,GCS10053.5,1
ITP20007.2,GEA20004.1,1
ITP20007.2,BFT20002.1,2
ITP20007.2,MEC10002.2,2
ITP20007.2,ITP20003.1,10
IID30020.1,IID20055.1,1
ITP20007.1,MEC10001.3,4
ITP20007.1,GEK30030.1,4
ITP20007.1,GEK10095.2,2
ITP20007.1,GEK20058.5,2
ITP20007.1,GCS10037.3,2
ITP20007.1,MEC20054.2,6
ITP20007.1,ECE20010.2,16
ITP20007.1,GEK10061.2,2
ITP20007.1,CSW20054.1,2
CCC20086.1,GEK10093.1,2
CCC20086.1,ISE30015.1,4
CCC20086.1,GCS20002.13,2
CCC20086.1,GCS10028.1,2
CCC20086.1,GEK10061.2,2
CSW20079.1,GCS20002.12,2
CSW20079.1,GEK20028.4,1
CSW20079.1,GCS10037.7,2
CSW20079.1,GCS10033.1,2
CSW20079.1,CCC20086.1,2
CSW20079.1,GCS10053.1,2
CSW20079.1,CSW20012.1,4
ITP30008.1,GEK30030.1,2
ITP30008.1,ECE20010.2,4
ITP30008.1,ECE40012.1,2
ITP30008.1,ITP20007.2,8
ITP30008.1,GCS10033.2,2
ITP30008.1,GCS20001.11,2
ITP30008.1,GEK10061.2,4
IID30086.1,IID20059.2,2
GEA20053.1,GEA20004.1,2
GEK20028.4,GCS20001.12,1
GEK20028.4,GEK10088.1,1
CCC30035.1,GEK10093.1,2
CCC30035.1,ISE30015.1,2
GCS20001.10,GCS10039.2,2
CSW20085.1,GEK20017.1,2
CSW20085.1,GCS20001.15,2
UIL30014.1,GCS20006.2,2
UIL30014.1,ISE30015.1,2
UIL30014.1,GEA20053.1,2
UIL30014.1,GCS10028.1,2
