year,semester,subjectCode,num_x,capacity,classroom,student_count,time,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,time_conv,course,random.ID,num_y
2016,1,GCS10001,1,45,HDH 424,51,"T2,F2",,,,,,,,,"[14, 50]",GCS10001.1,uPhSjJ7Q,1
2016,1,GCS10001,1,45,HDH 424,51,"T2,F2",,,,,,,,,"[14, 50]",GCS10001.1,Uv0r3crx,1
2016,1,GCS10001,1,45,HDH 424,51,"T2,F2",,,,,,,,,"[14, 50]",GCS10001.1,qOjVrmzi,1
2016,1,GCS10001,1,45,HDH 424,51,"T2,F2",,,,,,,,,"[14, 50]",GCS10001.1,7ueB5eIB,1
2016,1,GCS10001,1,45,HDH 424,51,"T2,F2",,,,,,,,,"[14, 50]",GCS10001.1,LHdKGnTS,1
2016,1,GCS10001,1,45,HDH 424,51,"T2,F2",,,,,,,,,"[14, 50]",GCS10001.1,XfX8V2Bo,1
2016,1,GCS10001,1,45,HDH 424,51,"T2,F2",,,,,,,,,"[14, 50]",GCS10001.1,Gk8EVHlb,1
2016,1,GCS10001,1,45,HDH 424,51,"T2,F2",,,,,,,,,"[14, 50]",GCS10001.1,wF8JetY3,1
2016,1,GCS10001,1,45,HDH 424,51,"T2,F2",,,,,,,,,"[14, 50]",GCS10001.1,sW91AKmi,1
2016,1,GCS10001,2,45,HDH 424,50,"T3,F3",,,,,,,,,"[15, 51]",GCS10001.2,vGgxUgv2,2
2016,1,GCS10001,2,45,HDH 424,50,"T3,F3",,,,,,,,,"[15, 51]",GCS10001.2,7bh8VfBW,2
2016,1,GCS10001,2,45,HDH 424,50,"T3,F3",,,,,,,,,"[15, 51]",GCS10001.2,UmYxwvOs,2
2016,1,GCS10001,2,45,HDH 424,50,"T3,F3",,,,,,,,,"[15, 51]",GCS10001.2,X8LteOrs,2
2016,1,GCS10001,2,45,HDH 424,50,"T3,F3",,,,,,,,,"[15, 51]",GCS10001.2,j0kdcTXr,2
2016,1,GCS10001,2,45,HDH 424,50,"T3,F3",,,,,,,,,"[15, 51]",GCS10001.2,aTh05bST,2
2016,1,GCS10001,2,45,HDH 424,50,"T3,F3",,,,,,,,,"[15, 51]",GCS10001.2,9HQfnEBx,2
