course,classroom
ENG20021.1,NMH 410A
ENG20022.1,NMH 207
GCS10001.1,HDH 424
GCS10001.2,HDH 424
GCS10001.3,HDH 403
GCS10001.4,OH 302
GCS10002.1,HDH 403
GCS10002.2,HDH 403
GCS10002.3,HDH 403
GCS10002.4,HDH 403
GCS10010.1,NMH 402
GCS10010.2,NMH 402
GCS10010.3,NMH 104A
GCS10010.4,HDH 303A
GCS10033.1,OH 421
GCS10033.2,OH 421
GCS10037.1,HDH 303B
GCS10037.2,HDH 303B
GCS10037.3,HDH 303B
GCS10037.7,NMH 104A
GCS10039.1,NMH 104A
GCS10039.2,NMH 104A
GCS10041.1,NTH 213
GCS10041.2,NTH 213
GCS10042.1,NTH 213
GEE30023.1,OH 402
GEK10021.2,NTH 213
GEK10022.1,OH 420
GEK10022.2,OH 420
GEK10033.1,HDH 418B
GEK10038.1,HDH 419
GEK10038.2,HDH 419
GEK10038.3,HDH 419
GEK10040.2,NMH 105
GEK10041.1,ANH Auditorium
GEK10042.1,OH 405
GEK10057.1,NMH 410A
GEK10057.2,NMH 404
GEK10057.3,NMH 404
GEK10058.1,NMH 207
GEK10059.1,HDH 418B
GEK10059.2,NMH 410A
GEK10059.3,OH 402
GEK10060.1,NMH 207
GEK10062.1,NMH 410A
GEK10062.2,NMH 410A
GEK10070.1,NMH 105
GEK10074.1,HDH 303B
GEK10094.1,NMH 411
GEK10095.2,HDH 418B
GEK10096.1,OH 403
GEK10096.2,OH 403
GEK10096.3,HDH 425B
GEK10098.2,SU 101
GEK10099.1,NMH 410B
GEK20011.2,OH 420
GEK20011.3,OH 420
GEK20019.1,HDH 303B
GEK20021.1, 
GEK20021.2,NTH 213
GEK20028.1,SU 104
GEK20028.2,SU 101
GEK20028.3,NMH 405
GEK20033.1,HDH 425B
GEK20042.1,OH 402
GEK20044.1,NMH 404
GEK20053.1,HDH 425B
GEK20058.1,NMH 410A
GEK20058.2,NMH 410A
GEK20058.3,OH 403
GEK20058.4,OH 403
GEK20058.5,OH 403
GEK20058.6,OH 403
GEK20059.1,NMH 403
GEK20059.2,NMH 403
GEK20062.1,NMH 403
GEK20063.1,NMH 403
GEK20064.1,NMH 403
GEK20064.2,NMH 404
GEK20064.3,NMH 404
GEK30014.1,OH 402
GEK30022.1,SU 101
ISL10046.1,GLC 204
ISL30036.1,GLC 305
PCO10012.1,GLC 305
PCO10012.2,GLC 305
PCO10012.3,GLC 305
PCO10012.4,GLC 303
PCO10012.5,GLC 303
PCO10012.6,GLC 303
PCO10012.7,GLC 303
PCO10012.8,GLC 303
PCO10012.9,GLC 303
PCO10012.10,GLC 304
PCO10012.11,GLC 304
PCO10013.1,GLC 302
PCO10013.2,GLC 302
PCO10013.3,GLC 302
PCO10013.4,GLC 301
PCO10013.5,GLC 301
PCO10013.18,GLC 301
PCO10013.19,GLC 301
PCO10016.1,HDH 303A
PCO10024.1,HDH 418B
PCO10024.2,HDH 418B
PCO10052.1,HDH 425B
PCO10052.2,HDH 303A
PCO20004.4,GLC 305
PCO20004.5,GLC 304
PCO20004.6,GLC 305
PCO20004.7,GLC 101
PCO20004.8,GLC 202
PCO20004.9,GLC 202
PCO20004.15,GLC 106
PCO20004.16,GLC 106
PCO20005.3,GLC 202
PCO20005.4,GLC 202
PCO20005.5,GLC 101
PCO20005.6,GLC 101
PCO20005.7,NTH 310
PCO20005.8,NTH 310
PCO20051.1,HDH 424
PCO20051.2,HDH 424
PCO20051.3,HDH 424
PCO20058.1,NMH 205B
PCO20058.2,NMH 205B
CCE20003.1,OH 421
GEA20002.1,ANH 313
GEA20008.1,ANH 313
GEA20009.1,ANH 313
GEA30011.1,ANH 313
GEA30012.1,ANH 313
GEA30022.1,NTH 310
ISE10022.1,HDH 320A
ISE10051.1,HDH 318
ISE10052.1,HDH 318
ISE10052.2,HDH 318
ISE10052.3,HDH 318
ISE20040.1,HDH 326A
ISE20042.1,HDH 323C
ISE20075.1,HDH 418B
ISE20084.1,HDH 318
ISE30071.1,HDH 326A
ISE30096.1,HDH 324
ISE30097.1,HDH 323C
ISE40075.1,HDH 324
ISE40078.1,HDH 320A
ISE40095.1, 
CCC20055.1,NMH 402
CCC20065.1,NMH 410B
CCC20065.2,NMH 402
CCC20074.1,NMH 405
CCC30052.1,NMH 105
CCC30081.1,NMH 109
CCC30083.1,NMH 406
CCC30085.1,NMH 405
CCC30093.1,NMH 405
CCC40042.1,NMH 410B
